line,annotated
[Intro : Abou Debeing],0
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
Jusqu’au beau jour…,1
[Refrain : Abou Debeing],0
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"Adios, Adios",1
"Adios, Adios",1
"Adios, Adios",1
"Adios, Adios",1
[Couplet 1 : Abou Debeing],0
Je ne comprends pas pourquoi vous m’en voulez,0
Tout ce que j’ai eu je ne l’ai pas volé,0
"En bien ou en mal, je sais que ça parle de moi",0
Si je t'ai fais du mal… Pardonne moi,0
Je me souviens de tous les moments forts de ma vie,0
Tous les hypocrites sont hors de ma vue,0
Je me rappelle de toutes ces nuits blanches dans Paris,0
Les descentes de keuf en bas de ma rue,0
Toute ces filles au cœur fragile,1
Qui m’ont aimé mais sans retour,1
Je n’ai rien dis car je me méfie,1
Je m’ouvrirais peut être un jour,1
[Refrain : Abou Debeing],0
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"Adios, Adios",1
"Adios, Adios",1
"Adios, Adios",1
"Adios, Adios",1
[Couplet 2 : Black M],0
Trop rêveur,0
J'aimerais voir ma vie en reverse,0
"J’ai pris de l’âge, du kilométrage",0
"La même rage, dis-leur",0
Depuis le temps que je barode,0
"Les gens qui me disent : ""Tu n’y arriveras pas"", j’en ai vu d’autres",0
Depuis j’ai fait mon bout de chemin,0
"Mais l’importance c’est la fin, je dirais pas que j’ai commis aucune faute",0
"Paris ma ville, des comme elle, y'en a pas mille",0
"Mais sur le périph', je roule en pensant à une île",0
Où il y aurait des gros requins en guise de videurs,0
Une île où j’irais me poser pour faire le vide,0
Une île où personne ne parle de musique et de feat,0
"Pas la peine d’appeler, y'a personne au bout du fil",0
J’ai pas changé donc arrêtez de vous faire des films,0
"Faut que j’vous dise ""Adios"", parce que rien que ma vie défile",0
[Pont : Abou Debeing],0
"Adios, Adios",0
"Adios, Adios",0
[Refrain : Abou Debeing],0
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
"La nuit, je barode, posé dans mon gamos",1
"Je veux bombarder, on me dit ""vamos""",1
"Mais je prends mon temps, je fais les choses",1
"Jusqu’au beau jour où j'vous dirai ""Adios""",1
[Outro],0
"Adios, Adios",0
"Adios, Adios",0
"Adios, Adios",0
"Adios, Adios",0
"Adios, Adios",0
"Adios, Adios",0
"Adios, Adios",0
"Adios, Adios",0
