line,annotated
"[Letra de ""Advertencia""]",0
[Intro],0
"Bien, soy humilde como un can callejero",1
Pero es que Canserbero vale más que tu joyero entero,1
,1
El que no siente la superioridad cuando hablo,1
Más sentido rimando tengo que tú conversando,1
"""I'm not on the mood son...""",0
"Soy la verdad, la desnuda sinceridad",1
"Así me disparen a matar, mi letra será recordada",1
,1
"Yo soy real porque lo soy, no por decir que soy real",1
[Verso 1],0
No sé si soy un hijo 'e Dios o soy un ángel del Diablo,0
"Lo único que sé, es que si estoy aquí es por algo",0
Con un lápiz en la derecha y en la izquierda un ron amargo,0
Como cada uno de los versos con los que les hablo,0
"Algunos me dicen ""no pierdas tiempo compitiendo""",0
Sigue escribiendo temas como lo vienes haciendo,0
"Sé que es lo mejor, pero hay una voz que me dice",0
Que asesine a letras a to' esos mediocres que me maldicen,0
"Me malinforman, no se conforman con las migajas",0
Y creen que hablando paja van a callar un movimiento,0
"Llamado sinceridad, realidad, verdad o como quieran",0
Ni disparándome podrán hacer que mi voz muera,1
,1
"Porque están mis temas, varios de ellos en cuarentena",1
"Esperando, sonriendo, el momento pa' coñacear el sistema",1
"Sé que soy un problema, un vidrio dentro 'e su zapato",0
"Una piña bajo su brazo, una gran mancha en su contrato",0
Por eso de hace rato me están haciendo campaña,1
"Canciones mías de niño, montajes y demás patrañas",1
Por qué les extraña que un culpable se vuelva juez,1
Corrija sus errores y triunfe como lo hizo Malcolm X,1
¡Pero qué van a saber los ignorantes de eso!,0
Si ellos solo están aquí por las putas y por los pesos,0
Gente religiosa dice que me montaron rezos,0
En ollita de presión con cadáveres y con huesos,0
Pero ni eso va a hacer que el Canser descanse y no alcance los chances que la vida le ha dado pa' superarse,0
Dejen de humillarse hablando mal de mí en los foros,0
"Mejor mídanse conmigo en tarima, yo contra todos",0
"Estrofa por estrofa, beat por beat, coro por coro",0
"Frente a un público real, no frente a unos malditos bobos",0
Que se reúnen los fines pa' decir que son raperos,0
Cantando hasta pop y moviendo el hueco del trasero,0
"Odio hablar de esto, desperdiciar una gran pista",0
¿Pero cómo hago? Si me sobran letras pa' los masoquistas,0
Tengo la vista puesta en representar mi bandera,0
"Estado, ciudad, municipio, barrio La Pica, Ovallera",0
Callando hijos de puta y grosero hasta que me muera,0
"Porque pa' sembrar conciencia hay que regañar, aunque en verdad no quiera",0
Ojalá y los que hoy en día me ofrecen tiros,0
No maduren nunca y nunca entiendan lo que escribo,0
Porque es triste cuando sabes que fallaste,0
Y te faltan las bolas pa' pedir perdón y echar pa'lante,0
"No obstante, seguiré diciendo Venezuela",0
Así Hugo Chávez me diga escuálido algún día en cadena,0
Le escribiré un tema de lo que pienso y lo que veo,0
Pues no me importa hablarle feo a quien sea por lo que creo,0
Le escribiré un tema de lo que pienso y lo que veo,0
Pa' que sepan que canto lo que me sale por… ¡Buah!,0
[Coro],0
"Y si hay un Dios arriba, larga vida pido",0
A todos esos hermanos que hoy me arrojan saliva,0
Para qué de ira mueran cuando en la cima yo esté,0
Y no puedan hacer más que verme de abajo arriba,0
Larga vida pido pa' mis enemigos,0
(E-wo-wo-wo-wo),0
Para que vean mis triunfos tanto o más que yo,0
¡Yeah!,0
[Verso 2],0
Ya no me hagan sacar un tema normal semanal,1
Empiecen a respetar y reconocer lo que es real,1
"No los voy a nombrar, no porque me las de que tal",1
Sino es que en verdad sus nombres no los puedo recordar,1
Ya no me hagan crear más temas de competición,0
Que parecen más bien pisadas de un gigante en un ratón,0
"Me ha dado la impresión, que mientras más buscan callarme",0
"Me hacen más imparable, de Hip-Hop pesado incesable",0
"Mis manos en la cabeza, ron derramado en el suelo",1
"Mi cuaderno es mi piel, mi lápiz el escalpelo",1
Mis ojos en actitud de duelo y una voz que se esfuerza más,1
Para que más la critiquen los mamagüevos,1
MC's e' mierda amarilla duermen en camilla soñando ser yo,0
Se despiertan en pesadillas,0
"Queriendo se las dar de sabios, cuando es muy obvio",0
Que es pura mierda lo que escupen por sus labios,0
Me dan la mano de Judas desnuda de envidia pura,0
Que los tortura al saber que no alcanzan mis escrituras,0
Si comparas mi experiencia con sus incoherencias,0
Con un poco de paciencia notaras la diferencia,0
Un exceso 'e palabras que los trauma,0
Que cortan desplace de hipócritas en esta fauna,0
"Soy verdadero guerrero con el tintero, artillero",0
Pero mejor conocido por Canserbero,0
Escribir par de rimas lo pudiera hacer cualquiera,0
El flow y la coherencia no las tiene to' el que quiera,0
Si ellos supieran contra quien se metieran,0
