line,annotated
[Intro],0
"You like to fuck, yeah yeah",0
"Smoked dope 'til you couldn't, yeah yeah",0
Bang bang,0
Bang bang,0
Let's get it,0
Catch up,0
Ohh yeah yeah yeah,0
Ohh yeah yeah yeah,0
[Verse 1],0
You should go and want to live your life,0
I am not trying to read you your rights,0
You feeling like Chief Turbo did you wrong,0
You thought that you had Turbo in your palm,0
"If I got you baby girl, it's for the night",0
You should want to go and live your life,0
You know that my bitches come in eighths,0
I am not trying to read you your rights,0
"You crying, baby what is going on?",0
You feeling like Chief Turbo did you wrong,0
You thought that you had Turbo in your palm,0
"You got trust issues, girl you are not alone",0
[Outro],0
You feeling like Chief Turbo did you wrong,0
You thought that you had Turbo in your palm,0
