line,annotated
[Verse 1: Pimp Flaco],0
"Hola soy Dani, vivo en Barcelona y me encanta el dinero",0
"Tengo tres mil niña, llorando por mí pero sigo soltero",0
Esa puta me dice cariño te quiero y la dejo en leido,0
Siempre quiero a la que no me quiere y la chuto cuando la consigo,0
Yo estoy muerto ya de hace tiempo que alguien me traiga unas flores,0
Mi tumba es de mármol y pone hijoputa nunca te enamores,0
Si tu novia no puede venir y estoy solo me follo a la sole,0
"Si te crees que te quiere, tienes más cuernos que un sacocaracoles",0
[Hook: Tommy Cash],0
Barce-Barce Barcelona,0
All the stoners stay in coma,0
I've washed my teeth with some Coca-Cola,0
"Cokery, cokery, cokery",0
[Verse 2: Tommy Cash],0
"They keep selling me real, while being a fake",0
"Give me a shotgun, or give me a stake",0
"I lost the fate, I'm beginning to wake",0
"I fix, now I break —",0
сука,1
"I gave it a bitch, now I will take",0
"My birthday, a lifestyle, give me a cake",0
Your pinkie is warded and I will be Drake,0
"Shout out to Rubchinsky, shout out to the aim",0
"I know I was early, now, day a bit late",0
They told I'm a lemon but turned on Grey,0
But Michael Jackson died in the fire of a blade,0
In the fire of a blade — do not make mistakes,0
I will be bit late...,0
I will be bit late...,0
Do not make mistakes...,0
I will be bit late...,0
[Verse 3: Kinder Malo],0
Soy el mejor de todos los tiempos,0
Vivo agarrado a la cola del viento,0
"Recojo, no siembro",0
Quiero llorar pero no tengo tiempo,0
So lo tengo talento,0
Soy el mejor por aburrimiento,0
"Pa serte sincero, yo siempre te miento",0
Pero no me arrepiento,0
Mi nombre en las tetas de una choni,0
Mi nombre es dinero como,0
Tommy,1
Yo firmando con la polla los chequetes,0
De mi mujer se llama,0
Monica pero la llamo money,1
Antes escribia en mi cuarto,1
Y ahora escribo dentro del avión —,1
сука,1
Esas putas quieren veneno,0
Y que yo les clave el aguijón,0
[Hook: Tommy Cash],0
Barce-Barce Barcelona,0
All the stoners stay in coma,0
I've washed my teeth with some Coca-Cola,0
"Cokery, cokery, cokery",0
