line,annotated
[Intro: Juvenile],1
Cash Money Records taking over for the '99 & the 2000,1
[Verse 1: Juvenile],0
"Girl you working with some ass, yeah, you're bad, yeah",1
"Make a nigga spend his cash, yeah, his last, yeah",1
"Hoes frown when you pass, yeah, they mad, yeah",1
"You gon' ride in the Jag, yeah, with dad, yeah",1
"You could smoke or buy a bag, yeah, of grass, yeah",0
"Got money I confess, yeah, and trash, yeah",0
"I'm a Big Tymer nigga, yeah",1
",",0
"pulling trigger, yeah",1
"A player hater to flip with, yeah, going head and fill it, yeah",0
"I be slanging wood, yeah",1
", out the hood, yeah",0
"Let it be understood, yeah, it's all good, yeah",0
"Got a nigga screaming large, yeah, on the hard, yeah",0
"A smooth ghetto broad, yeah, I want the broad, yeah",0
"A nigga do a trick, yeah, on the dick, yeah",0
"You claiming you want a bitch, yeah, that ain't shit, yeah",0
"The nigga with the money, yeah, don't act funny, yeah",1
"Got birds and I'm running, yeah, 'bout a hundred, yeah",1
[Chorus: Juvenile],0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
Call me big daddy when you back that ass up,0
Hoe who is you playing with? Back that ass up,0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
Call me big daddy when you back that ass up,0
Girl who is you playing with? Back that ass up,0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
[Verse 2: Juvenile],0
"You got a stupid ass, yeah, make me laugh, yeah",1
"Make a nigga wanna grab that, autograph that",1
"I'm sweating on the drawers, yeah, on hard, yeah",0
"Wanna walk it like a dog, yeah, break you off, yeah",0
"Get mine, you gon' get yours, yeah, that's for sure, yeah",1
"You fucking with my nerves, yeah, to the curb, yeah",1
"I know you bitches know, yeah, and it show, yeah",0
"But a nigga got some more, yeah, I'm 'bout to flow, yeah",0
"Fresh bought some shit, yeah, in this bitch, yeah",0
"We be making hit, yeah, after hit, yeah",1
"Them titties sitting nice, yeah, I wanna bite, yeah",1
"I could fuck you right, yeah, all night, yeah",0
"Wanna bring it to my house, yeah, on the couch, yeah",0
"Knock the pussy out, yeah, get them out, yeah",0
"I wanna see these hoes, yeah, bend it low, yeah",0
"Let me run it in the hole, yeah, let me know, yeah",0
[Chorus: Juvenile],0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
Call me big daddy when you back that ass up,0
Hoe who is you playing with? Back that ass up,0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
Call me big daddy when you back that ass up,0
Hoe who is you playing with? Back that ass up,0
[Verse 3: Mannie Fresh],0
I know you can't stand it,1
", dick bandit",0
"Done landed,",0
see your drawers handed,1
"We can go get it y'all, gang split it y'all",1
Put the bitch on the wall and I hit it y'all,1
"Looking kind of lonely, I'm feeling horny",1
Put the dick in the middle like Monee,1
"Big thick plumber chick, and a Hummer chick",1
Beat the dick like a motherfucking,1
drummer chick,0
"Cinch that putty-cat, look at that",1
"I love a fucking hoody-rat, that's a fact",1
"You's a motherfucking get it girl, quit it girl",1
"I'm the nigga, the nigga nigga, that hit it girl",1
[Chorus: Juvenile],0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
Call me big daddy when you back that ass up,0
Hoe who is you playing with? Back that ass up,0
"Girl you looks good, won't you",0
back that ass up?,1
"You's a fine motherfucker, won't you back that ass up?",0
Call me big daddy when you back that ass up,0
Hoe who is you playing with? Back that ass up,0
[Outro: Lil Wayne],1
Now-now-now-now-now after you back it up then stop,1
"Then wha-wha-what, drop-drop it like it's hot",1
Now after you back it up then stop,1
"Now wha-wha-wha-what, drop it like it's hot",1
"Now drop it like it's hot, drop-drop it like it's hot",1
C-M-B make you drop it like it's hot,1
"Drop it like it's hot, drop-drop it like it's hot",1
"Drop it like it's hot, drop-drop it like it's hot",1
Ha!,1
