line,annotated
"[Verse 1: Irene, Seulgi]",0
Who dat who dat who dat boy,0
수많은 사람 속 눈에 띈,0
무심한 그 표정 I like that,0
내 호기심을 자극하지,0
"[Refrain 1: Yeri, Joy]",0
Oh 시크한 스타일은 덤,0
입은 옷은 신경 쓴 듯 안 쓴 듯,0
관심 없는 말투 I like that,0
외면해 봐도 끌려,0
[Pre-Chorus: Wendy],0
달라 도도한 날 웃게 하잖아,0
알잖아 요즘 내가 Hot ah ah,0
날 보는 시선 너도 느껴봐,0
"[Chorus: Joy, All]",0
홀린 듯 날 따라와,0
모두 환호해 너도 곧 Ooh ooh (Oh-eh-oh-eh-oh),0
아닌 척해도 넌 Ooh ooh (Oh-eh-oh-eh-oh),0
한 번 내기를 해볼까,0
"[Post-Chorus: Seulgi, All, Irene]",0
너무 쉽겐 오지 마,0
재미없잖아 거기서 Ooh ooh (Oh-eh-oh-eh-oh),0
밀고 당겨볼까 Ooh ooh (Oh-eh-oh-eh-oh),0
시작할게 Bad boy down,0
"[Hook: All, Wendy]",0
Whoa whoa,0
지금부터 Bad boy down,0
Whoa whoa,0
"[Verse 2: Yeri, Wendy]",0
잠깐 이리 와봐 너에게만 할 말이 있어,0
가까이 좀 와 고갤 숙여 키를 낮춰봐,0
다른 건 신경 쓰지 마,0
내 목소리에 집중해,0
"[Refrain 2: Irene, Joy,",0
Seulgi,0
],0
상황은 좀 달라져,0
주위를 맴도는 내가 궁금해,0
너도 알게 될 거야 (,0
뭘까?,0
) 알 거야 (,0
말해,0
),0
이미 늦어버렸단 걸,0
[Pre-Chorus: Seulgi],0
맞아 사실 꽤나 자신 있어 난,0
지는 게임 하진 않아 Ha ah ah,0
벌써 반쯤은 넘어왔잖아,0
"[Chorus: Joy, All]",0
홀린 듯 날 따라와,0
모두 환호해 너도 곧 Ooh ooh (Oh-eh-oh-eh-oh),0
아닌 척해도 넌 Ooh ooh (Oh-eh-oh-eh-oh),0
한 번 내기를 해볼까,0
"[Post-Chorus: Joy, All]",0
너무 쉽겐 오지 마,0
재미없잖아 거기서 Ooh ooh (Oh-eh-oh-eh-oh),0
밀고 당겨볼까 Ooh ooh (Oh-eh-oh-eh-oh),0
시작할게 Bad boy down,0
"[Bridge: Wendy, Joy, Seulgi, Irene]",0
혼란스런 맘이겠지 상상조차 못할 거야,0
헤어나려 노력해도 어떤 작은 틈도 없어,0
정답은 정해져 있어 자연스럽게 넌 따라와,0
난 널 선택해 난 널 선택했어 이미,0
"[Chorus: Joy, All]",0
홀린 듯 날 따라와,0
모두 환호해 말했지 Ooh ooh (Oh-eh-oh-eh-oh),0
결관 항상 같아 Ooh ooh (Oh-eh-oh-eh-oh),0
거봐 내가 또 이겼어,0
"[Post-Chorus: Joy, All]",0
너무 쉽겐 오지 마,0
재미없잖아 이제 넌 Ooh ooh (Oh-eh-oh-eh-oh),0
벗어날 수 없어 Ooh ooh (Oh-eh-oh-eh-oh),0
내겐 쉽지 Bad boy down,0
