line,annotated
[Chorus: Comethazine],0
"Bands-bands-bands, that's a check talkin'",0
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
"Ooh, bands-bands-bands, that's a check talkin'",0
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
[Verse 1: Comethazine],0
"Ayy, pull up with a choppa, let it eat, hey (I let it eat)",0
"Yeah, walkin', Jesus sandals on my feet, yeah (On my feet, yeah)",0
"Ooh, talk with shiny gold up on my teeth, yeah (On my teeth, yeah)",0
"Ooh, and I'm rockin' Goyard and Supreme, ayy (And Supreme, yeah)",0
"Yeah, pull up with the choppa, watch 'em freeze, ooh (Watch 'em freeze)",0
"I got a shooter, he gon' take off his knees, ayy (Take off his knees)",0
"All it take is two shots, watch his body drop, yuh (Watch his body drop)",0
Bitches on my dick 'cause I skrrt off the lot (I skrrt off the lot),0
"Ayy, Skechers on my feet, but I'm a rich guy, yah (I'm a rich nigga)",0
Cannot fuck with hoes 'cause they be picking sides (Just pick a nigga),0
"Ayy, ice-ice-ice, that's my neck talkin' (Shiny, talkin')",0
"Ooh, and I'm rocking Goyard and Supreme, ayy (That's that check)",0
[Chorus: Comethazine],0
"Bands-bands-bands, that's a check talkin'",1
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
"Ooh, bands-bands-bands, that's a check talkin'",0
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
[Verse 2: Rich the Kid],0
Way too many bands-bands-bands-bands,0
I've been plug walkin' (What?),1
"Run up on me, hit you with that fan",0
Got that choppa on me (Raah),0
I might cash out on a Wraith (Wraith),0
I got a plug on the way (Plug),0
"Trap open, servin' Jay (Trap)",0
Make 100 every day (100),0
"Bank roll, bank roll, bank roll (Bank roll)",1
Walkin' around with the hundos (Hundos),0
"Rich Forever, I'm the huncho (Huncho)",1
"I got the cheese, nachos (Nachos)",0
You niggas rapping for promo (Ha),0
"I need a coupe, not a four door (Skrt)",0
These niggas talking to po-po (Po-po),0
Stuck to the money like Velcro,0
Still got a beeper (Beeper),0
She a real eater (Eater),0
Really nice to meet ya (Meet ya),0
That's your mamacita (Whoa),0
"Callin' my phone, I can't pick up (Pick up)",0
Walk out the bank like a stick up (Brr),0
She comin' over and lick up (Lick up),0
"Take her phone, no pictures (Rich)",0
[Chorus: Comethazine],0
"Bands-bands-bands, that's a check talkin'",0
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
"Ooh, bands-bands-bands, that's a check talkin'",0
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
[Outro: Comethazine],0
"Ooh, bands-bands-bands, that's a check talkin'",0
Take off your pants-pants-pants,0
"Bitch, ain't no time for talkin'",0
Watch me do my dance-dance-dance-dance,0
Bands in my pocket,0
Come and get your mans-mans-mans,0
'Fore I up my rocket,0
