line,annotated
[Intro : Dadju],0
Hmm hee,0
Ohoh ah,0
[Couplet 1 : MHD],0
"J'ai commencé ma vie sans toi, j'vais pas terminer sans toi",0
"(aïe, aïe, aïe)",0
On s'quitte pour se retrouver et ça recommence à chaque fois,0
"(aïe, aïe, aïe, aïe)",0
"Y a pas de seconde chance avec toi, moi, j'ai trop parlé",0
(trop parlé),0
"Des p'tits caprices, tout l'temps que j'ai pris sur moi",0
(yay),0
"Elle s'rappelle de chaque seconde, des premiers rendez-vous qu'on s'faisait en soum",0
"Elle dit que j'fais l'effet d'une bombe, elle est prête à me suivre, même dans ma tombe",0
"Me parle pas d'amour : dans ma vie, j'ai trop donné",0
"(aïe, aïe, aïe, aïe)",0
"J'ai le cœur trop dur pour ça, faut me pardonner",0
"(aïe, aïe, aïe, aïe)",0
"Et dans sa tête, c'est cafou, cafou",0
(ah ,0
ouais),0
"Va pas plus loin, ton coeur, c'est moi et c'est tout, c'est tout",0
(yay),0
"Tes copines me regardent trop chelou, chelou",0
(aïe),0
De haut en bas comme un pas de danse de catchu catchu,0
"(aïe, aïe, aïe, aïe)",0
[Pré-refrain : Dadju],0
On cherche à nous barrer la route,0
(mmh),0
"Écouter les gens, c'est douloureux",0
J'veux même pas savoir qui te parle,0
C'est moi qui te parle,0
"Le couple, c'est nous deux",0
Arrête un peu de vivre pour eux,0
Trouve un juste milieu,0
N'écoute pas les gens qui te parlent quand c'est moi qui te parle,0
"Le couple, c'est nous deux",0
[Refrain : Dadju],0
"Ah, mon bébé",0
"Ah, mon bébé, ah, mon bébé, ah, mon bébé",0
"Ah, mon bébé, bébé, bébé, ah, mon bébé",0
"Ah, mon bébé, ah, mon bébé, ah, mon bébé",0
"Ah, mon bébé, bébé, bébé, ah, mon bébé",0
[Couplet 2 : Dadju],0
"Si tu veux que tout se passe mieux, commence d'abord par grandir",0
"Tu poses les mêmes questions cent fois, ça va mal finir",0
"Si t'écoutes tout le monde, nous deux, ça va pas durer",0
"C'est toi qui va donner la force à nos ennemis, eh",0
"Dans toutes les bouches, c'est ""Dadju, Dadju""",0
"Tu n'as pas compris que là-bas, c'est tous des jaloux, jaloux, mmh",0
"Les gens qui parlent sont partout, partout",0
"De gauche à droite comme un pas de danse de shaku, shaku (mmhh)",0
[Pré-refrain : Dadju],0
On cherche à nous barrer la route,0
(hé),0
"Écouter les gens, c'est douloureux",0
J'veux même pas savoir qui te parle,0
C'est moi qui te parle,0
"Le couple, c'est nous deux",0
"Arrête un peu de vivre pour eux, trouve l'juste milieu",0
N'écoute pas les gens qui te parlent quand c'est moi qui te parle,0
"Le couple, c'est nous deux",0
[Refrain : Dadju],0
"Ah, mon bébé",0
"Ah, mon bébé, ah, mon bébé, ah, mon bébé",0
"Ah, mon bébé, bébé, bébé, ah, mon bébé",0
"Ah, mon bébé, ah, mon bébé, ah, mon bébé",0
"Ah, mon bébé, bébé, bébé, ah, mon bébé",0
[Pont : MHD],0
"Hé, ma bébé, laisse-les parler",0
"T'es ma lumière, y a que toi qui me fait briller",0
"Hé, ma bébé , laisse-les parler",0
"T'es ma lumière, y a que toi qui me fait briller",0
[Refrain : Dadju],0
"Ah, mon bébé",0
"Ah, mon bébé, ah mon bébé, ah, mon bébé",0
"Ah, mon bébé, bébé, bébé, ah, mon bébé",0
"Ah, mon bébé, ah, mon bébé, ah, mon bébé",0
"Ah, mon bébé, bébé, bébé, ah, mon bébé",0
