line,annotated
[Chorus: Trey Songz],0
It's four in the mornin' and she callin' my phone,0
"She wanna be grown, we gon' get it on",0
She said that she lonely 'cause he's never around,0
"Said she like my style, he can lay it down",0
Say he can lay it down but I'ma beat it up,0
"I'ma beat it up, I-I-I'ma beat it up",0
"Say he can lay it down, but I'ma beat it up",0
"I'ma beat it up, I-I-I'ma beat it up, he can lay it down",0
[Verse 1: Gucci Mane],0
"I hop up out my bed, got my swag on",1
"Scrambled eggs, filet mignon,",0
two trees blown just for cologne,1
"Money never limited, so icy with benefits",0
"My driver need a passport, all my cars are immigrants",0
"It's so sickenin', history you're witnessin'",0
"I had a girl, she quit me, now I'm single, wanna get with me?",0
"Sticky cannot stick to me, if you see your chick with Gucci",0
"Think before confrontin' 'ruly, ain't my fault your lady choosin'",0
"4:30, still blowin' purpy, O.A. Verdy rollin' dirty",0
"Wardrobe clean, that's just detergent, got your girlfriend pickin' purses",0
"Say she lonely, Gucci only one way to meet me in person",0
When she get me home my nigga told me that she love my verses,0
[Chorus: Trey Songz],0
It's four in the mornin' and she callin' my phone,0
"She wanna be grown, we gon' get it on",0
She said that she lonely 'cause he's never around,0
"Said she like my style, he can lay it down",0
Say he can lay it down but I'ma beat it up,0
"I'ma beat it up, I-I-I'ma beat it up",0
"Say he can lay it down, but I'ma beat it up",0
"I'ma beat it up, I-I-I'ma beat it up, he can lay it down",0
[Verse 2: Gucci Mane],0
"Your girlfriend keep callin' me, I feel like she stalkin' me",0
"You at home and she with me, so mornin' it's an argument",0
"Gucci Mane be doggin' it, beatin' her down straight poundin' it",0
"Drillin' on your sheets, got your blanket at the laundromat",0
"Way baby girl throw it back, old man might catch heart attack",0
"Gucci Mane now hardly there, smack it like I'm mad at that",0
"Sweaty sex, so passionate, oral sex, she mastered that",0
Pornographic poses like she posin' for the Internet,0
"One hour not finished yet, never been a minute man",0
"Always been a business man, got her catchin' feelings, man",0
"Got a man? Oh really, ma'am? Actin' like I give a damn",0
"Used to like her, now I don't, got a real short attention span",0
[Chorus: Trey Songz],0
It's four in the mornin' and she callin' my phone,0
"She wanna be grown, we gon' get it on",0
She said that she lonely 'cause he's never around,0
"Said she like my style, he can lay it down",0
Say he can lay it down but I'ma beat it up,0
"I'ma beat it up, I-I-I'ma beat it up",0
"Say he can lay it down, but I'ma beat it up",0
"I'ma beat it up, I-I-I'ma beat it up, he can lay it down",0
[Verse 3: Gucci Mane],0
"Gucci, Trey Songz, put it on, my shirt off when I perform",0
"She say this her favorite song, she got on my favorite thong",0
"She so hot, too hot to touch, to feel it, too much for lames",0
"Gucci Mane, I'm extra clean, so extra rubbers on my brain",0
"Got your main thing screamin' Gucci, every Tuesday night we do it",0
"Wish we could do it more often, but I'm often somewhere flossin'",0
"Lay it down like carpet, Barbie, Aston Martin, double-park it",0
"Beat it like we got a problem, pop her 'til she call me papa",0
Freakin' partners probably never bother with a second option,0
"Hoppin', got the mattress poppin', rockin' while her girlfriend watchin'",0
Freakin' partners probably never bother with a second option,0
"Hoppin', got the mattress poppin', rockin' while her girlfriend watchin'",0
[Chorus: Trey Songz],0
It's four in the mornin' and she callin' my phone,0
"She wanna be grown, we gon' get it on",0
She said that she lonely 'cause he's never around,0
"Said she like my style, he can lay it down",0
Say he can lay it down but I'ma beat it up,0
"I'ma beat it up, I-I-I'ma beat it up",0
"Say he can lay it down, but I'ma beat it up",0
"I'ma beat it up, I-I-I'ma beat it up, he can lay it down",0
