line,annotated
[Intro],0
"(Uh, no way!)",0
Snow White,0
[,0
Verse 1,1
],0
I really cannot wrap my head around the fact it's,0
Taken me this long to finally realize I'm fantastic,0
I used to write my little raps,0
They'd always look right past it,0
Like it's average,0
Like I'm not who the fuck I am,0
"Like bitch, what's happenin'? (What's happenin'?)",0
"Porque yo tengo el ""Je ne sais quoi"", ah",0
"Flow que mata, ah",0
"""El que dirá"", a mí me vale, critica",0
Yo soy la fuckin' mexicana (Ah),0
Muy honesta la chava (¡Juh!),0
Yo no ando con pendejadas,0
"Aquí rifan las barras (Crash, crash)",0
"A mí me dijo mi madre (Ja, ja)",0
Que yo nunca me raje,0
Que no hable el que no sabe,0
Nosotros somos de calle,0
Este es mi territorio yo traigo llave y se abre,0
Lo que quiero yo tengo (Ja),0
Punto y aparte,0
Plus I got a bitch in my DM's,0
"Talkin' 'bout where her man, did I see him?",0
Talkin' 'bout he comment pics that I be in,0
I just tell my friends y se ríen,0
"Bitch, I ""Jaja"" con jota",0
"""Hahaha"" with the 'J'",0
I speak English and Spanish,0
I'm bi-lingual all day,0
Fuck Trump,1
"Wait, oops that, slipped out",1
"Man, I never know who's in this crowd",1
Need a prayer and a crucifix now,0
Never really know who shoot this bitch down,0
Ni de aquí ni de allá,0
A mí me gustan los dos,0
Mucha crema a tus tacos,1
Y se te quema el arroz,1
[,0
Chorus,1
],0
"Hola, ¿qué tal? (-al)",0
Dime como están (-án),0
"Yo ni soy de aquí ni soy de allá, ah (Soy de allá)",0
"Hola, ¿qué tal? (-al)",0
Dime como están (-án),0
Yo sí soy de aquí y soy de allá,0
Una horchata y dos de lengua,0
[Interludio],0
"(Yah, yah, yah)",0
Un-Una horchata y dos de lengua (Y dos de lengua),0
"(Yah, yah)",0
Look,0
Una horchata y dos de lengua,0
[,0
Verse 2,1
],0
Va a estar duro que a mí me paren,0
Yo soy desmadrosa de a madres,0
Yo tengo a mis primos con jales,0
Tengo influencias en varios canales,0
Yo speak Spanish y speak English,0
Yo vendo CDs and DVDs,0
"Yo soy muy cara, tú eres cheapy",0
¿Tás' en mi camino? Beep-beep-beep-beep-beep,0
Get the fuck up out my way,0
Esos güeyes know my name,0
Quieron qué yo me de,0
Pero ya reté a los United States,0
Y parece que alguien la trae contra mí,0
"Porque de mi parte parece que ni los de allá me quieren, ni tampoco acá",0
Que porque soy mujer y tan fenomenal,0
"Y si quieren líneas, yo traigo un costal",1
And if you want some dope,0
"I'll give it to you, non stop",0
Porque tengo barras y hasta tengo de más,0
Por eso la disquera me quiso acabar,0
"Por eso me safé, y se me safó",0
Se va poner bien porque vengo yo,0
Búscame en la red como el pez Nemo,1
Tengo varios años con el mismo flow; soy Snow,0
[Chorus],0
"Hola, ¿qué tal?",0
"Dime, ¿cómo están?",0
Yo ni soy de aquí ni soy de allá (Soy de allá),0
"Hola, ¿qué tal? (-al)",0
"Dime, ¿cómo están? (-án)",0
Yo sí soy de aquí y soy de allá,0
Una horchata y dos de lengua,1
Un-Una horchata y dos de lengua,1
[Outro],0
Una horchata y dos de lengua,0
"Ah, ya; ah, ya; ah, ya",0
"Bitch I ""Jaja"" con jota, ""Hahaha"" with the j",0
I speak English and Spanish,0
"I'm bi-lingual all day, okay",0
