line,annotated
[Intro],0
"À c'qui paraît, c'est N.I. qu'ils veulent, hein",1
"Ils sont bons qu'à pé-pom, qu'à avaler",0
"Voilà, j'ai pris le contrôle de la calle",1
"Et pour prendre le contrôle de la calle, fallait des couilles",0
Une équipe solide et des douilles,0
Binks binks binks,0
Le sixième,1
"Tiens, tiens, retiens",1
[Couplet 1],0
"À c'qui paraît, c'est N.I. qu'ils veulent, hein",1
"Ils sont bons qu'à pé-pom, qu'à avaler",0
"Voilà, j'ai pris le contrôle de la calle",1
"Et pour prendre le contrôle de la calle, fallait des couilles",0
Une équipe solide et des douilles,0
"Nous, on s'en bat les couilles de ce qu'ils disent",0
"Tous les jours, c'est holidays",0
Binks binks binks binks binks binks,0
J'ai mis MK au poignet de ma mère,1
AP au poignet de mon père,1
On vit très bien d'l'autre côté de la mer,0
"À chaque rime, j'me rapproche de l'enfer",0
"10 euros pour la canette de Coca, les garos et les grandes masses",1
Résultat : il me reste 9 990€ dans la poche droite,1
"À part ça, tout va bien",0
"Une entrecôte, un verre de vin",1
Et nique sa mère la vie d'avant,1
"J'suis dans l'cinquième, j'ai rendez-vous",1
"Toi, tu vas pas nous cher-bran, gros, on n'est plus des tits-pe",0
"Et s'il pleut, on ouvrira le feu, tu sais qu'on parle peu",0
"J'entends : ""N.I. tue-les tous",0
"Wallaye billaye, tu peux l'faire""",0
"Toute la cité sur écoute, on avait des liasses plein la tête",0
Et j'remonte à bord du GP800,1
pour les sanctionner,0
"Tout s'est passé comme prévu, j'prépare l'album de l'année",1
"Ouais, ouais, ouais",0
[Pont],0
"Vous croyez tout savoir sur c'putain d'système dehors. Mais vous savez que dalle, ouais. À c'que je vois, t'as réussi à t'monter un business ? C'est très bien, ouais c'est très bien, tu commences à palper mais quand tu commences à palper, y a des règles à apprendre si tu veux continuer. Tu dois apprendre à faire la différence entre les armes et l'beurre. Y'a deux types de blackos dans l'monde : les blacks avec des armes, et les blacks avec du beurre. Les armes, qu'est-ce que c'est ? Les armes, c'est ta seule vraie richesse, c'est des valeurs boursières, des œuvres d'art tu vois, des conneries qui se monnaient et qui grimpent en valeur",1
"C'est quoi le beurre ? Une caisse, des fringues, une montre, toute cette came de merde que t'achètes et qui vaut plus rien une fois que tu l'as. Cherche pas ailleurs mec, des armes et du beurre, point barre",1
[Couplet 2],0
J'ai promis qu'j'reviendrais fortuné,0
Et qu'c'est pas une,0
schnek de Latina,1
Qui pourrait me faire changer d'idée,0
"Démodé, j'reviens côté comme FILA",1
Et j'ai rien vu d'affolant quand t'es venu,0
Y'a rien qui fait plus mal que la té-véri,1
"Moi, j'me fais rare, et quand tu m'verras",0
Ça s'ra pas pour faire du bel3ani,0
"Ring ring, allô room service ?",0
Bouge-toi de là quand mes shooters visent,0
"Tic tac, la montre ira jusqu'à minuit",0
Tant qu'les clients sont pas servis,0
"J'ai la veine au front, j'vais les balafrer",0
"T'as la boule au ventre, t'as ton corps au front",0
"T'as la boule au ventre, hein, les grosses baltringues comme oi-t, t'inquiète, j'les connais",0
Et j'm'en vais boire un verre avec Vladimir,0
Poutine en Russie,0
Rien d'intéressant à gratter vers ici,0
Tout est noir dans mi corazón,1
Viens que j'te raconte mes récits,0
Et y'a personne qu'on idolâtre,0
Va le dire à l'autre,0
Remonter les litres ou les redescendre,0
"J'm'arrête à Roubaix, j'm'arrête à Roubaix",1
Toi-même tu sais c'que l'on manigance,0
[Refrain],0
"On a les armes, on a le beurre",0
Et on surveille le rain-té comme nos sœurs,0
"On fait l'gent-ar, dis-moi de quoi t'as peur ?",0
"Mon renoi, dis-moi de quoi t'as peur ?",0
Électronique est le bracelet,1
Donc le frérot rentre à 18 heures,1
On récoltera ce qu'on a semé,0
"Ça y est, ça y est, j'suis d'mauvaise humeur",0
"On a les armes, on a le beurre",0
Et on surveille le rain-té comme nos sœurs,0
"On fait l'gent-ar, dis-moi de quoi t'as peur ?",0
"Mon renoi, dis-moi de quoi t'as peur ?",0
Électronique est le bracelet,0
Donc le frérot rentre à 18 heures,0
On récoltera ce qu'on a semé,0
"Ça y est, ça y est, j'suis d'mauvaise humeur, binks",0
