line,annotated
[Intro],0
"I don't like you, T-Series",1
"Nothing personal, kid",1
But I must go all out,1
Just this once,1
[Verse 1],0
"Bobs or vegana, whichever will it be?",1
"Sit the fuck down, T-Series, I'm here to spill the real tea (Uh)",1
You tryna dethrone me from spot on number one,1
"But you India you lose, so best think you haven't won",1
When I'm through with you we're gonna be completely fuckin' done,1
"'Cause we only just begun, I review you *clap clap* zero, bye bitch, gone",1
"So come on T-Series, looking hungry for some drama",1
"Here, let me serve you bitch lasagna",1
[Chorus],0
"Bitch lasagna, bitch lasagna",1
T-Series ain't nothing but a bitch lasagna,1
"Bitch lasagna, bitch lasagna",1
"Look at T-Series, they just crying for their momma",1
"Bitch lasagna, bitch lasagna",1
T-Series ain't nothing but a bitch lasagna,1
"Bitch lasagna, bitch lasagna",1
T-Series just wet themselves in their pajamas,1
[Verse 2],0
So who the hell is Bob and why you wanna kiss him? (Ew),1
I'm a Blue-Eyes White Dragon while you're just Dark Magician (Oof),1
"You got a fifth of the population in your nation, but",1
I got nine-year-olds of worlds so hold your defecation (Oops),1
"Motu Patlu, what the fuck is that even supposed to mean?",1
Your language sounds like it comes from a mumble rap community,1
"No Papa, no Papa, yes Papa; Johny",1
Now down all of this sugar and let's throw this fuckin' party with some—,1
[Chorus],0
"Bitch lasagna, bitch lasagna",1
"Look at T-Series, they're just crying for their momma",1
"Bitch lasagna, bitch lasagna",1
T-Series ain't nothing but a bitch lasagna,1
"Bitch lasagna, bitch lasagna",1
"Look at T-Series, they just wetting their pajamas",1
"Bitch lasagna, bitch lasagna",1
T-Series ain't nothing but a bitch lasagna,1
[Outro],0
You got a population of one point three-two billion,1
But most your videos can't seem to hit even a million,1
Sub-bot!,1
