line,annotated
[Intro: Jasper Dolphin],0
"Oh, shit",0
Three icy ass niggas from Odd Future doin' some crazy shit,0
"By the way, we do punch bitches",0
[Verse 1: Jasper Dolphin],0
"I'm swagging bitch, I'm iced out",0
"Oh, you mad, bitch? 'Cause I'm laying on the couch",0
"Smoke a blunt, fuck a bitch in the butt, I'm bossing",0
"Don't give a fuck, I never roll Slauson",0
"I'm fly bitch, I should poke you in your eye bitch",0
"Got the burner bitch, bow, bow",1
"You dead bitch, I'm hot as fuck",0
"I ain't never cold, but I'm icy bitch",0
[Hook],0
My bitch suck dick like she suck dick,0
My bitch suck dick like she suck dick,0
My bitch suck dick like she suck dick,0
My bitch suck dick like she suck dick,0
"[Verse 2: Tyler, The Creator]",0
"Got the bops in the house, socking bitches in they mouth",0
"See my neck? Iced the fuck out! (I'm getting money, nigga!)",1
"She at the fucking mall, 40 bitches on my nutsack",0
"I pulled up on a mothafuckin' unicorn (I'm getting ponies, nigga)",1
"Wolf Gang, nigga! Scream that 'til they mothafuckin' show me death",0
"Golf Wang, nigga!",1
Free Earl better show some motherfuckin' respect,1
"All this ice around my neck, all this ice around my dick",0
"Gun to her head, make your bitch massage my shoulders",0
[Hook],0
My bitch suck dick like she suck dick,0
My bitch suck dick like she suck dick,0
My bitch suck dick like she suck dick,0
My bitch suck dick like she suck dick,0
[Verse 3: Travis Taco],0
"Shut up, bitch! Suck my dick! (suck my nuts)",0
"You fuckin' bop, you better swallow it!",0
I got a chain with a fuckin' platinum plaque on it,1
Is that a hundred dollar bill? I'll shit on it,0
"I bought a fuckin' whale, cause I'm ballin'",0
"Your bitch work for me, she my",0
dick washe,1
r,0
"Swag on my dick, 30 thousand million, nigga",0
[Hook],0
"My bitch suck dick like she suck dick
My bitch suck dick like she suck dick
My bitch suck dick like she suck dick",0
[Verse 4: Jasper Dolphin],0
Goddamn!,0
You boppin' bitch (question mark!) You like this dick?,0
"We all know why, cause you's a boppin' bitch",0
"I got the burner, I pop you in your lip",0
"Zoom-zoom, yeah, I'm going fast bitch",0
"I'm loud as fuck, I'm ignorant",0
Punch a bitch in her mouth just for talkin' shit,0
"You lurkin' bitch? Well, I see that shit",0
Once again I gotta punch a bitch in her shit,0
"I'm icy bitch, don't look at my wrist",0
"Because if you do, I might blind you bitch",0
Mount Everest ain't fuckin' with my fuckin' wrist,1
"Fuck global warming, this the Ice Age bitch",0
"[Outro: Tyler, the Creator and Jasper Dolphin,",0
"Tyler, the Creator",0
",",0
Jasper Dolphin,0
],0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Swag, swag, punch a bitch",0
"Yo, yo, Jasper, Taco, y'all my niggas, man",1
"I love y'all niggas, I'm sorry",1
(*Gunshot*),1
Ow! What the fuck?!,1
