line,annotated
[Intro],0
"Oh, oh",0
[Verse 1],0
"Know when I leave, you be goin', seein' different faces",1
"But when I leave, I be fuckin' bitches, different places",1
"Still in these streets, I got charges that a nigga facin'",1
So I don't got time for a nigga and his fuckin' drinkin',1
"Off of the weed, I'm talkin' cat piss",0
"And he ain't no gangster, he just an actress",1
"I be layin' it down, I'm talkin' mattress",0
"And when you suckin' the D, I tell you catch this",0
[Chorus],0
"'Cause bitch, you a, bitch, you a",1
"Bitch, you a, bitch, you a, bitch, you a, bitch, you a",1
"Bitch, you a dog and your homegirl too, ayy",1
"She hit me back like, ""Your dawg is too,"" ayy",1
"We can meet up, we can meet in groups, ayy",1
"With you and I, it can be us two like",1
I'm in the club drinkin' Henny and a Black & Mild,1
"Got my gun and I can wave it, I'ma start actin' wild",1
But I won't do that 'cause the gangster shit is out of style,1
And that's why I left the club early,1
[Verse 2],0
"Bitch, you a dog and your homegirl too",0
That's why I never got the chance to come and stay with you,0
I know you fuck with the whole damn crew,0
That's why I never got the chance to come and lay to you,1
Fuck then I leave 'cause I don't want you,1
That's why I never got the chance to come and stay with you,0
"Make you my baby, make you my lady, take you away",1
[Chorus],0
"'Cause bitch, you a, bitch, you a",0
"Bitch, you a, bitch, you a, bitch, you a, bitch, you a",0
"Bitch, you a dog and your homegirl too, ayy",0
"She hit me back like, ""Your dawg is too,"" ayy",0
"We can meet up, we can meet in groups, ayy",0
"With you and I, it can be us two like",0
I'm in the club drinkin' Henny and a Black & Mild,0
"Got my gun and I can wave it, I'ma start actin' wild",0
But I won't do that 'cause the gangster shit is out of style,0
And that's why I left the club early,0
[Outro],0
"'Cause bitch, you a, bitch, you a",0
"Bitch, you a, bitch, you a, bitch, you a, bitch, you a",0
"Bitch, you a dog and your homegirl too",0
"She hit me back like, ""Your dawg is too""",0
"We can meet up, we can meet in groups",0
"With you and I, it can be us two like",0
I'm in the club drinkin' Henny and a Black & Mild,0
"Got my gun and I can wave it, I'ma start actin' wild",0
But I won't do that 'cause the gangster shit is out of style,0
And that's why I left the club early,0
