line,annotated
[Chorus],0
"Wasted, wasted",1
"Wasted, wasted",1
"Wasted, wasted",1
"Wasted, wasted",1
You ain't talkin' 'bout no bread or no guap or no fetti or no cake,1
"Get the fuck up out my face, what you say?",1
"Wasted, wasted",1
"Wasted, wasted (Woop, woop)",1
"Wasted, wasted",1
[Verse 1],0
"Living like I'm 'posed to, yeah",0
"I'ma fuck up like I'm 'posed to, yeah",0
Who knew failure make you better?,1
"My adversities done turned me to a killer, uh",1
"Sabotage, uh, men who washed, uh, give me cars",0
"Hundred horse, uh, give me yours, uh, back and forth",0
"Fast life, got the rock, mane, it's a ball game",0
"Cop chain, get a Benzo, it's a black thang",0
"Court case, nigga, shell case, it's a heat wave",0
"Done for, killed the whole flow, no need for encore",0
"I run this, I'd rather gun shit, I'll hit the function",0
"I'm basic, don't wanna chase it, my talent wasted",0
"I knows it, somehow I lost it, the way I folded",0
The black mind is where it started 'cause we was chosen,0
The water is where we crossed it and got to build it,0
"With dreaming but lost the feeling, we stopped believing in, uh",0
[Chorus],0
"Wasted, wasted",0
"Wasted, wasted",0
"Wasted, wasted",0
"Wasted, wasted",0
You ain't talkin' 'bout no bread or no guap or no fetti or no cake,0
"Get the fuck up out my face, what you say?",0
"Wasted, wasted",0
"Wasted, wasted (Woop, woop)",0
"Wasted, wasted",0
[Verse 2],0
"Well, I got it, it was great",0
"'Til you know, then you start to hate",0
"You know a fake nigga, his favorite words is, ""He fake""",0
"Talking 'bout, ""I'll pay you back,"" bitch, do that with your down payment",0
"All that damn hating, I'm better at love-making",0
Tryna stay positive out of negative energy,0
"Nigga, don't play with me",0
"You must think my loyalty slavery, uh",0
[Outro],0
"Wasted, wasted",0
"Wasted, wasted",0
"Wasted, wasted",0
"Wasted, wasted",0
