line,annotated
[Hook :],0
I keep that hot shit like a Tea pot,0
OG stuffed in a cookie jar,0
"Pull up, boy you better have the guap",0
"I'm a doctor, give ya pussy ass a shot",0
"While you was on a hill, I was somewhere in the field",0
"Now I'm working towards a billon, and I'm living in the hills",0
"Tucked in my drawls, bitch I got the Tommy Hil-",0
"-figer if it sizzle's,",0
"its a scary site, ew",1
Pussy you be talking bout a bunch of nonsense,0
Money all up on my conscience,0
"Latex, we can get it poppin'",0
"Led Zeppelin, and you know how I'm rocking'",0
"Ridin with the mop, going up like a stock",0
Whats up in my pocket? its a muthafucking knot,0
Pull that bitch out make it rain on a thot,0
"My pistol got a dick, make it piss on a opp",1
[Verse 1],0
"10, 20, 30, Bullets flying like birdy",0
"I'm a Chiraq warrior, and I'm balling like I'm Curry",0
"If you looking for Chief Sosa, I'm where? Eating curry",0
"Yous eating on that bitch, she was sucking me early",0
"Choppa click clack, dududu, make him twirl",0
"Keep talking all that shit, now he screaming like a girl",0
I do this shit for blood thats my boolin' side,0
"When I start cappin, thats my coolin' side",0
Damn Sosa how you get the tool inside?,0
I own this muthafucka and I do as I does,0
"Bullets eat his skin, bitch food his ass",0
"Fly shit, Peacoat got my tool inside",0
"Runnin' from the cops, dodging hole pots",0
"When it comes to guap, get a whole lot",0
"When it comes to opps, get a toe tag",0
Fuck nigga thought I wasn't on that,0
[Hook :],0
I keep that hot shit like a Tea pot,0
OG stuffed in a cookie jar,0
"Pull up, boy you better have the guap",0
"I'm a doctor, give ya pussy ass a shot",0
"While you was on a hill, I was somewhere in the field",0
"Now I'm working towards a billon, and I'm living in the hills",0
"Tucked in my drawls, bitch I got the Tommy Hil-",0
"-figer if it sizzle's,",0
"its a scary site, ew",1
Pussy you be talking bout a bunch of nonsense,0
Money all up on my conscience,0
"Latex, we can get it poppin'",0
"Led Zeppelin, and you know how I'm rocking'",0
"Ridin with the mop, going up like a stock",0
Whats up in my pocket? its a muthafucking knot,0
Pull that bitch out make it rain on a thot,0
"My pistol got a dick, make it piss on a opp",1
[Verse 2],0
"I'm digital, like Sonny nigga",0
"Do something, go and get some money nigga",0
'Fore I hit ya ass with the Tommy nigga,0
"I ain't winnie the poo, this ain't honey nigga",0
"Act like you want smoke, you funny",0
"Doing walk up with the pistols, you running",0
"I talk all this shit, cause I can back it up",0
"No ‘tivis bitch, I'm acting up",0
"Who the fuck you is, Bernie Mac it up",0
"Like Kash Doll, bitch I'm accurate",0
"Hop in my car, and I rev it up",0
RIP to the damn competitors,0
Bitch I'm a predator,0
"Had a meeting at 10, went at 11 somthin",0
Don't be up in the lane when I'm bowling guns,0
Fuck nigga better not blow ya nose or nun,0
[Hook :],0
I keep that hot shit like a Tea pot,0
OG stuffed in a cookie jar,0
"Pull up, boy you better have the guap",0
"I'm a doctor, give ya pussy ass a shot",0
"While you was on a hill, I was somewhere in the field",0
"Now I'm working towards a billon, and I'm living in the hills",0
"Tucked in my drawls, bitch I got the Tommy Hil-",0
"-figer if it sizzle's,",0
"its a scary site, ew",1
Pussy you be talking bout a bunch of nonsense,0
Money all up on my conscience,0
"Latex, we can get it poppin'",0
"Led Zeppelin, and you know how I'm rocking'",0
"Ridin with the mop, going up like a stock",0
Whats up in my pocket? its a muthafucking knot,0
Pull that bitch out make it rain on a thot,0
"My pistol got a dick, make it piss on a opp",1
