line,annotated
[Intro: Ponderosa Twins Plus One & Brenda Lee],1
B-B-B-B-Bound to fall in love,1
Bound to fall in love,1
"Uh-huh, honey",1
[Refrain: Kanye West],0
"All them other niggas lame, and you know it now",1
"When a real nigga hold you down, you s'posed to drown",1
"[Chorus: Ponderosa Twins Plus One, Brenda Lee & Kanye West]",1
Bound to fall in love,1
B-B-B-B-Bound to fall in love (bound),1
"Uh-huh, honey",1
[Verse 1: Kanye West],0
What you doin' in the club on a Thursday?,1
She say she only here for her girl birthday,1
They ordered champagne but still look thirsty,1
Rock Forever 21 but just turned thirty,1
I know I got a bad reputation,1
Walking-round-always-mad reputation,1
Leave-a-pretty-girl-sad reputation,1
"Start a Fight Club, Brad reputation",1
I turnt the nightclub out of the basement,1
"I'll turn the plane around, your ass keep complainin'",0
How you gon' be mad on vacation?,0
Dutty wining 'round all these Jamaicans,1
"Uh, this that prom shit",1
This that what-we-do-don't-tell-your-mom shit,1
This that red-cup-all-on-the-lawn shit,1
"Got a fresh cut, straight out the salon, bitch",1
[Bridge: Charlie Wilson & Brenda Lee],1
"I know you're tired of lovin', of lovin'",1
"With nobody to love, nobody, nobody",1
"(Uh-huh, honey)",1
"[Chorus: Kanye West, Ponderosa Twins Plus One & Brenda Lee]",1
Close your eyes and let the word paint a thousand pictures,1
One good girl is worth a thousand bitches,1
Bound (,0
Bound to fall in love,0
),0
Bound (,0
Bound to fall in love,0
),0
"Uh-huh, honey",1
[Verse 2: Kanye West],0
I wanna fuck you hard on the sink,1
"After that, give you somethin' to drink",1
"Step back, can't get spunk on the mink",1
"I mean damn, what would Jeromey Romey Romey Rome think?",1
"Hey, you remember where we first met?",1
"Okay, I don't remember where we first met",1
"But hey, admittin' is the first step",1
"And hey, you know ain't nobody perfect",1
"And I know, with the hoes I got the worst rep",1
"But hey, their backstroke I'm tryna perfect",1
"And hey, ayo, we made it: Thanksgivin'",1
"So hey, maybe we can make it to Christmas",1
She asked me what I wished for on my wishlist,1
Have you ever asked your bitch for other bitches?,1
Maybe we could still make it to the church steps,1
"But first, you gon' remember how to forget",1
After all these long-ass verses,1
"I'm tired, you tired, Jesus wept",1
[Bridge: Charlie Wilson & Brenda Lee],1
"I know you're tired of lovin', of lovin'",1
"With nobody to love, nobody, nobody",1
"So just grab somebody, no leavin' this party",1
"With nobody to love, nobody, nobody",1
"Uh-huh, honey",1
"[Chorus: Kanye West,",0
Ponderosa Twins Plus One,0
", &",0
Brenda Lee,0
],0
"Jerome's in the house, watch your mouth",1
"Jerome's in the house, watch your mouth",1
Bound to fall in love,1
Bound,1
Bound to fall in love,1
Bound,1
"Uh-huh, honey",1
"[Produced by Kanye West and Che Pope with additional production from Eric Danchild, Noah Goldstein, No ID and Mike Dean]",1
[Video directed by Nick Knight],1
