line,annotated
[Intro: Trouble],0
Let do it,0
Money man,0
"Go get your money man, go get that",0
"Go for that shit now, go get your money man",0
"Mike Will Made-it, bitch",0
[Pre-Chorus: Trouble],0
Ounces in my mothafuckin' pantry (Aha),0
"Diamonds on a young nigga, dancin', yeah",1
"Just dropped some bandos on some glasses, yeah",0
"Just dropped your bitch off, man, that hoe so nasty",0
"Huh, all about that paper, can't miss a beat, yeah",0
"I'ma get some cho-cho, one thing 'bout me, yeah",1
"Gossip all that hoe shit, miss me with that (Yeah)",0
"I could put you frontline, just bring it back",0
[Chorus: Trouble],0
"Bring it back, bring it back, yeah",0
"Bring it back, bring it back, bring it back, yeah",0
Don't wanna have to chase you down 'bout them stack,0
"'Cause I will blow ya back, bring it back, this ho here throw it back",0
[Verse 1: Trouble],0
"Yeah, tryna show me that she 'bout it",0
"'Bout it, 'bout it, yeah, shawty 'bout it, 'bout it, yeah",0
"Take the charges prolly, shawty say she 'bout it",0
"I gotta come for you, you shot at my lil' partner dem",0
"The loud wild off the gate, don't need your molly",0
"As a git, I used to get the candy from Mr. Charlie (Mr. Charlie)",1
Nowadays I ride a foreign by Mr. Charlie (Mr. Charlie),1
"I got the candy now, sorry Mr. Charlie",1
(Mr. Charlie),0
"Aye, she say you so mothafuckin' hood",0
But you ain't no mothafuckin' good,0
"Might be right, gift and a curse, I take it all as blessin'",0
"Know you fuckin' with a real one though, no question (No doubt)",0
Partna you gon' get spent doin' all that flexin',0
"So many of us shootin' you straight, ain't no pressure (Oh yeah)",0
Hatin' on that man won't do you no blessin' (I swear),0
Tryna teach a young nigga flexin',0
"Wanna go to war, but you ain't got no money (No money)",0
Worry 'bout these hoes and you ain't got no money (No money),1
Mike Will Made-It (Will Made-It),0
"Big Trouble, baby (Big Trouble, baby)",0
[Pre-Chorus: Trouble],0
Ounces in my mothafuckin' pantry (Yeah),0
"Diamonds on a young nigga, dancin', yeah",1
"Just dropped some bandos on some glasses, yeah",0
"Just dropped your bitch off, man, that hoe so nasty",0
"Huh, all about that paper, can't miss a beat, yeah",0
"I'ma get some cho-cho, one thing 'bout me, yeah",0
"Gossip all that hoe shit, miss me with that, yeah",0
"I could put you frontline, just bring it back",0
[Chorus: Trouble],0
"Bring it back (What), bring it back, yeah",0
"Bring it back, bring it back (Sure), bring it back, yeah",0
Don't wanna have to chase you down (I swear) 'bout them stack,0
"'Cause I will blow ya back, bring it back, it's on here, throw it back, damn",0
[Verse 2: Drake &,0
Trouble,0
],0
"Yeah, I don't play no games boy, I'm at your head (",0
At your head,0
),0
"All about the family, niggas took the pledge (",0
Took that shit,0
),0
Now you gotta own up to that shit you said,1
"You can't push us to the edge, Trouble from the edge",1
Hit the gas and we outta there,0
"Do it for the six, because we started there (Started)",1
I got a girl that used to ride around with 'Pac an' them ('Pac),1
"I gotta get it, you came from my lil' partner then (Fuck)",1
"Yeah, Richard Mille, heavy on the watch (Bitch)",1
"Extra million just to see the Maybach drop (Drop, drop)",1
Crest white smile on my face,1
Once I get to snappin' ain't nobody safe,1
(,0
Nobody,0
),0
Reality gon' hit ya or we gon' hit ya,0
"Either way if they was with ya, they goin' with ya",0
Mike WiLL Made-It (,0
Mike WiLL,0
),0
Me and Big Trouble baby (,0
DTE,0
),0
[Pre-Chorus: Trouble],0
Ounces in my mothafuckin' pantry (Yeah),0
"Diamonds on a young nigga, dancin', yeah",1
"Just dropped some bandos on some glasses, yeah",0
"Just dropped your bitch off, man, that hoe so nasty",0
"Huh, all about that paper, can't miss a beat, yeah",0
"I'ma get some cho-cho, one thing 'bout me, yeah",1
"Gossip all that hoe shit, miss me with that, yeah",0
"I could put you frontline, just bring it back",0
[Chorus: Trouble],0
"Bring it back, bring it back, yeah",0
"Bring it back, bring it back, bring it back, yeah",0
Don't wanna have to chase you down 'bout them stack,0
"'Cause I will blow ya back, bring it back, it's on here, throw it back",0
