line,annotated
[Intro],0
"Ladies and Gentlemen, as you know we have something special down here at Birdland this evening",1
A recording for Blue Note Records,1
What's that? Yeah...yeah...yeah,0
"Funky, funky",0
How 'bout a big hand now,1
"Wait, wait a minute",0
[Verse 1],0
Groovy groovy jazzy funky pounce bounce,1
dance as we,0
"Dip in the melodic sea, the rhythm keeps flowin', and drips to MC",1
Sweet sugar pop sugar pop rocks it pop,0
Ya dont stop 'til the sweet beat drops,0
I show and prove as I,0
stick and move,1
Vivid poems recited on top of the groove,0
"Smooth, my,",0
floating like a butterfly,1
Notes set afloat,1
", sung like a lullaby",0
Brace yourself as the beat hits ya,0
"Dip trip, flip fantasia",0
(Yeah...yeah...yeah...What's that?),0
Itty bitty bop (Yeah),0
"Itty bitty bop (Funky, funky)",0
[Verse 2],0
Feel the,0
beat drop,1
", jazz and hip hop",0
Drippin in your dome,1
", makes you",0
zone and bop,1
"Funk and fusion, a fly illusion",0
Keeps ya coastin' on the rhythm you're cruisin',0
"Up down, round and round, rhymes profound",0
But nevertheless ya gots to get down,0
Fantasy freak thru the beat so unique,0
"Ya move your feet, the sweat from the heat",0
Back to the fact I'm the mack and I know that,1
"The way I kick the rhymes, some would call me a poet",0
"Poems steady flowin', growin', showin' sights and sound",0
Caught in the groove in Fantasia I'm found,0
Many trip the tour upon the rhymes they soar,0
To an infinite height to the realm of the hardcore,0
Here we go off I take ya,0
"Dip trip, flip fantasia",0
(Yeah...yeah...yeah...What's that?),0
Itty bitty bop (Yeah),0
"Itty bitty bop (Funky, funky)",0
(Yeah...yeah...yeah...What's that?),0
"(Yeah...yeah...yeah...Funky, funky)",0
[Verse 3],0
"Jump to the jam, boogie woogie jam slam",0
"Bust the dialect, I'm the man in command",0
Come flow with the sounds of the mighty mic master,0
"Rhyming on the mic, I'm bringing suckas their disaster",0
Beaucoup ducs,1
but I still rock Nike,1
"With the razzle dazzle, star I might be",0
Scribble drabble scrabble on the microphone I babble,0
"As I flip the funky words, into a puzzle",0
"Yes yes yes, on and on as I flex",0
"Get with the flow, words manifest",0
Feel the vibe from here to Asia,0
"Dip trip, flip fantasia",0
Out,0
[Outro],0
Ya don't stop,0
"C'mon, c'mon, c'mon, c'mon",0
"C'mon, c'mon, c'mon",0
Gimme more,0
Of that funky horn,0
