line,annotated
[Intro],0
"Yeah, huh",0
"Yeah, yeah, yeah, yeah, yeah, yeah",0
"Huh? Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah",0
Hahaha,0
"I ain't doin' no playing Jack, you hear me?",0
"Yeah, yeah, hrrroww",0
"Bow, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah",0
[Chorus],0
"I'm tired of him breathing, I'm taking his breath (Huh?)",0
"Shoot to my right, my flag on the left",1
I earned my stripes but I'm not a ref,0
"These niggas, they woke, they overslept (Yeah)",1
"My bitch, she clutch because she a nurse",1
Whenever I'm down she give me a perc,1
"The police pull up, my gun in her purse",1
"The ops pull up, put him on a shirt",1
"Bitch, we came in this world and we lookin' for murder",1
Knock yo cap off and it's word to Bobby Shmurda,1
"Nigga watch yo mouth, I would hate to have to hurt ya",1
You would kill off a perc but snitch when you sober,1
"Man down in the street, man, this nigga tried to play me",1
I hit one in the head but his gun was on safety,1
"They askin' how I been, what I been feelin' lately",1
I got good aim in the pocket like I'm Brady,1
[Verse 1],0
Can't speak on the shit I did to you,1
"To be honest, them bullets wasn't meant for you",0
I'm sorry that they hit you,0
"Fuck that, spin again, shoot the friend too",1
See at first I was gon' stop and chill,1
"Hell nah, how them hollows feel?",1
"I'm independent, can't sign a deal",1
Won't sell out for a couple mill,1
"Before you try and rob, hit yo knees and pray to Buddha",1
"Soon as you up it, Lil Trey gonna shoot ya",1
Remember I was young and I used to be a hoopa,1
I got into guns then I turned to the shoota,0
"Knock off yo head, call that a fuckin' train wreck",0
"Bitch, close yo legs, Where the fuck is yo brain at?",0
"Wet a nigga block, make it look like we painted",0
"Man I used to struggle, now a nigga famous",1
[Verse 2],0
"I'm 16, with big dreams, I wanna be a star",0
"I used to spend money on lil things, now I want a car",1
"Aye, that Rollie or that Audemars, Where do I start?",1
"Man this lean fuckin' up my tummy, makin' me fart",1
Hunnid-sumthn shots in the rental,0
"My bitch, she bad, like Kendall",1
I'm poppin' niggas like pimple,0
"I'm in her mouth, that's dental",0
We strapped up like a gay ho,0
We kill niggas like Tadoe,0
We ruthless like Fredo and love totin' Dracos,0
"Mop a nigga with the .40, I'm a janitor",0
"We smokin' on gas, that's cannabis",0
"That's a lot in the Draco, I'm a animal",1
"In Florida, chillin' in Panama",1
"He said he want smoke, I hope that he ready",0
I put on my mask like Jason and Freddy,1
"You soft as a bear, just like Teddy",1
"I shoot him in the head, knock out his spaghetti (Yeah)",1
[Chorus],0
"I'm tired of him breathing, I'm taking his breath (Huh?)",0
"Shoot to my right, my flag on the left",0
I earned my stripes but I'm not a ref,0
"These niggas, they woke, they overslept (Yeah)",0
"My bitch, she clutch because she a nurse",0
Whenever I'm down she give me a perc,0
"The police pull up, my gun in her purse",0
"The opps pull up, put him on a shirt",0
"Bitch, we came in this world and we lookin' for murder",0
Knock yo cap off and it's word to Bobby Shmurda,0
"Nigga watch yo mouth, I would hate to have to hurt ya",0
You would kill off a perc but snitch when you sober,0
"Man down in the street, man, this nigga tried to play me",0
I hit one in the head but his gun was on safety,0
"They askin' how I been, what I been feelin' lately",0
I got good aim in the pocket like I'm Brady,0
