line,annotated
"[Letra de ""C'est La Mort""]",0
[Verso],0
Sean bienvenidos todos,0
A un mundo mental,0
"Por mí creado, y que por hoy los pienso dejar pasar",0
"Es Tyrone y Can, la peor pesadilla de cierta gente",1
¡al que detestan comúnmente por pensar diferen-te!,1
"Lamentablemente he muerto, pero no dejaré la música",1
Pues el alma no ha salido de mi cuerpo,1
Flotando al sitio donde sea supuesto,1
A recibir el determinado castigo si es que acaso lo merezco,1
"Pero mientras tanto fresco, clavando más rimas que Jordan",1
Balones en aros de baloncesto,1
y por supuesto,0
Cantando mis temas a los cuatro vientos,0
Y añorando no más que poder conocer a mis nietos,0
"Pensando más de la cuenta, estudiando para crecer",0
Y trabajando para pagar las rentas,0
Tachando metas de esta lista interminable de,0
"Cosas que quiero oír, vivir, conocer, ser y ver, ¡buah!",0
"Ya no son “diecipico”, son “veintipico”, y ni hablar del de la hoz",1
Que me está viendo de “lejitos”,1
Planeando cómo cumplir su responsabilidad,1
"Si con un crimen, un accidente o una enfermedad",1
"Ay, pero, ¡la verdad!",0
he visto tanto en tan poco que si pudiera,1
"Borrara recuerdos como borrar fotos del teléfono, ¿no?",1
Porque no sé si es que estoy loco y todo está normal,0
"Excepto yo, que no lo noto",0
"No estamos en el dos mil y pico, nada",1
Quién sabe cuántos siglos habrán transcurrido hasta esta velada,1
Pero qué más da! si el racismo sigue intacto,0
Y no hay tecnología que alivie el hambre y el dolor de tantos,0
¡Qué pena siento por esos!,1
Que no tienen pasiones diferentes al dinero o al sexo,1
"Y que viven, pero no están vivos, es decir",1
Que el que no tenga algo por que morir no debería vivir,1
Ideas me chocan cual viento a la popa,1
Disfruto la soledad cuando me toca,1
"Meditándola, cual gárgola del templo Notre Dame",1
Que pude ver cuando anduve en Europa,0
Y recuerdos me caen como lluvia de invierno,0
Cuando leo mis primeras canciones en mis cuadernos,0
"Reflexiono, aunque sin leer el futuro",0
Sino consumiendo el presente como quien se fuma un puro,0
"Y les juro, que siempre voy a ser igual",0
Y si un día no ando igual será porque ese día estuvo fatal,0
"Soy real porque lo soy, no por decir que soy real",1
Y saludos al bro que en esta frase me atreví a citar,1
"Yo, soy menos flow que sentimiento, lo acepto",0
Y no sé si es mi virtud o mi defecto en esto les apuesto,0
Que muchos me quieren ver muerto,0
Porque la envidia es más grande,0
