line,annotated
[Intro: Jay-Z (Pharrell)],0
"Wooo! Uh, uh, bounce is back",0
"Uhh, uh-uh uh uh, geyeah, uh, your boy is back",0
"(Sexy, sexy) I know y'all missed the bounce",0
"You need to bounce for the sexy, y'know?",0
"Hah, haha, uh, let's get it in",0
[Verse 1: Jay-Z],0
"Yeah ma, your dude is back, the Maybach Coupe is back",1
Tell the whole world the truth is back,0
You ain't gotta argue about who can rap,1
"'Cause the proof is back, just go through my raps",1
"(New York, New York!) Yeah, where my troopers at?",1
"Where my hustlers, where my boosters at?",1
I don't care what you do for stacks,0
I know the world glued your back to the wall,0
"You gotta brawl, do that",0
"I been through that, been shot at, shoot back",1
Gotta keep a peace like a Buddhist,1
I ain't a New Jack; nobody gon' Wesley Snipe me,1
"It's less than likely, move back",1
"Let I breathe, Jedi Knight",1
The more space I get the better I write,1
"Oh, never I write, but if, ever I write",1
"I need the space to say whatever I like, now just",0
[Chorus: Jay-Z (Pharrell)],0
"(Change clothes, and go)",0
"You know I stay fresh to death, a boy from the projects",0
"And I'ma take you to the top of the globe, so let's go",0
(So let's exchange numbers and go),0
"(And girl I promise you, no substitutes) It's just me",0
[Verse 2: Jay-Z],0
"And I ain't gon' tell you again, let's get ghost in the Phantom",1
"You can bring your friend, we can make this a tandem",0
Or you can come by yourself if you can stand him,0
"Best believe, I sweat out weaves",1
Give Afro Puffs like R.A.G.E,1
Aww you get if could move it,1
Back it on up like a U-Haul truck,1
Then run and tell them ducks you heard Hovi new shit,1
He and the boy Phar-real make beautiful music,1
He is to the East coast what Snoop is,1
"To the West Coast, what 'Face is to Houston",1
Young Hov' in the house is so necessary,0
"No bra with that blouse, that's so necessary",0
"No panties and jeans, that's so necessary",0
"Now why you fronting on me, is that necessary?",0
"Do I, to you, look like a lame",0
Who don't understand a broad with a mean shoe game,0
Who's up on dot dot dot and Vera Wang,0
Ma are you insane? Let's just,0
(What you want me to do?),0
[Chorus: Jay-Z (Pharrell)],0
"(Change clothes, and go)",0
"You know I stay fresh to death, a boy from the projects",0
"And I'ma take you to the top of the globe, so let's go",0
(So let's exchange numbers and go),0
"(And girl I promise you, no substitutes) It's just me",0
[Break: Pharrell (Jay-Z)],0
"Ha ha! Sexy sexy, ha ha! Sexy sexy",0
(It's so necessary ma),0
"Ha ha! Sexy sexy (woo, that's right, it's a groove)",0
"Ha ha! Sexy sexy (uh, uh, it's a groove, uh, bring it back)",0
Ha ha!,0
[Verse 3: Jay-Z],0
Young Hov' in the house is so necessary,0
"No bra with that blouse, that's so necessary",0
"No panties and jeans, that's so necessary",0
Why you frontin' on me?,0
"Let's go to my hotel, cause this don't go well",0
"With those S. Dots, gotta stay fresh ma",0
"Ma, I don't shop where the rest buy",0
"Ho no ma, please respect my",0
Jiggy this is probably Purple Label,0
Or that BBC shit or it's probably tailored,1
And y'all niggas actin' way too tough,0
"Throw on a suit, get it tapered up, and let's just:",0
[Chorus: Jay-Z (Pharrell)],0
"(Change clothes, and go)",0
"You know I stay fresh to death, a boy from the projects",0
"And I'ma take you to the top of the globe, so let's go",0
"(So let's exchange numbers and go) uh huh yeah, uh",0
"(And girl I promise you, no substitutes) It's just me",0
[Outro: Pharrell (Jay-Z)],0
"Ha ha! Sexy sexy (uh, uh, WOO, sing along)",0
"Ha ha! Sexy sexy (yeah, uh.. turn your radio up)",0
"Ha ha! Sexy sexy (woo, put your hands in the air if you in the club)",0
"Ha ha! Sexy sexy (snap your fingers now, uh, woo!)",0
"Ha ha! (Your boy is back, uh-huh, uh, uh)",0
"(The bounce is back, uh, uh woo!)",0
"(Uh, Young is back, hahahaha - PEACE!!!)",0
