line,annotated
[Intro: Swizz Beatz & (Slim Thug)],0
Swizz Beatz,0
"DC, Destiny Child (Slim Thug)",0
[Verse 1: Slim Thug],0
You need to stop playing 'round with all them clowns and the wankstas,0
Good girls gotta get down with the gangsta's,0
"Go 'head girl, put some back and some neck up on it",0
While I stand up in the background and check up on it,0
[Chorus: Beyoncé],0
"Ooh, boy, you looking like you like what you see",0
Won't you come over and check up on it,0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
[Verse 2: Beyoncé],0
"If you got it, flaunt it, boy, I know you want it",0
"While I turn around, you watch me check up on it",0
"Ooh, you watchin' me shake it, I see it in ya face",0
"Ya can't take it, it's blazin', you watch me in amazement",0
"You can look at it, as long as you don't grab it",0
"If you don't go braggin', I might let you have it",0
"You think that I'm teasin', but I ain't got no reason",0
"I'm sure that I can please ya, but first I gotta read you",0
[Chorus: Beyoncé],0
"Ooh, boy, you looking like you like what you see",0
Won't you come over and check up on it,0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
"Ooh, boy, you looking like you like what you see",0
Won't you come over and check up on it,0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
[Verse 3: Beyoncé],0
"I can tell you wanna taste it, but I'ma make you chase it",0
"You've got to be patient, I like my men patient",0
"More patience, you take my get you in more places",0
"You can't be abrasive, has to know to pace it",0
"If I let you get up on it, you gotta make a promise",0
"That you gon' put it on me, like no one's put it on me",0
"Don't bore me, just show me, all men talk, but don't please",0
"I can be a tease, but I really wanna please you",0
[Chorus: Beyoncé],0
"Ooh, boy, you looking like you like what you see",0
Won't you come over and check up on it,0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
"Ooh, boy, you looking like you like what you see",0
Won't you come over and check up on it,0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
[Verse 4: Slim Thug],1
"I'm checking on you boo, do what you do",0
"And while you dance, I'ma glance at this beautiful view",0
"To keep my hands in my pants, I need to glue 'em with glue",0
"I'm in a trance, all eyes on you and your crew",0
"Me and my man's don't dance, but to feel y'all bump and grind",0
It won't hurt if you gon' try one time,0
"They all hot, but let me see, this one's mine",0
It's Slim Thuga and DC outta H-Town,0
[Chorus: Beyoncé],0
"Ooh, boy, you looking like you like what you see (Yeah, yeah)",0
Won't you come over and check up on it,0
I'm-a let you work up on it (All my ladies),0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight (Yeah)",0
"(Check on it, check on it, check on it, check on it...)",0
"Ooh, boy, you looking like you like what you see",0
Won't you come over and check up on it,0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
(Hey),0
"Ooh, boy, you looking like you like what you see",0
"Won't you come over and check up on it (You, so sexy boy)",0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
(And I know you want it),0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
"(So baby, check up on me)",0
"Ooh, boy, you looking like you like what you see",0
(He having such a good time),0
Won't you come over and check up on it,0
"(I'm gonna work it, baby, you're mine)",0
I'm-a let you work up on it,0
"Ladies let 'em check up on it, watch it while he check up on it",0
"(All mine, all mine)",0
"Dip it, pop it, twerk it, stop it, check on me tonight",0
