line,annotated
[Intro],0
"Got, got it on smash",1
[Chorus: Chris Brown & Trey Songz],0
"(Yeah, yeah)",0
Pull up in that Bentley GT,1
"Skrrt, skrrt, beep, beep",0
"Girl, meet me in my bed",0
"I'ma go down eat, eat",0
Grab them chi chis,1
"Know I'ma skeet, skeet (All in it)",0
"Got me on repeat, bitch wanna freak me",1
"Girl, I know you ain't from 'round here",0
"Shut up, shut up, make you cum easy",0
What up? What up? Pussy come easy,0
[Verse 1: Trey Songz],0
"Yeah, she gon' make me go insane when I",0
"Kiss your lips, kiss your shit",0
When you spit on it,0
"Girl, I'ma let you feel that drip, feel that drip",0
Don't overthink or analyze,0
"Feel that tip, slow motion when I'm inside",1
Take that shhh,0
"Don't give me no lip (Yeah, yeah)",0
When you're layin' on your stomach,0
And I grip them hips tight,0
Don't you think 'bout runnin' from me,0
When I slip inside,0
[Chorus: Chris Brown & Trey Songz],0
"(Yeah, yeah)",0
Pull up in that Bentley GT,0
"Skrrt, skrrt, beep, beep",0
"Girl, meet me in my bed (Woo, yeah)",0
"I'ma go down eat, eat",0
Grab them chi chis,0
"Know I'ma skeet, skeet (All in it)",0
"Got me on repeat, bitch wanna freak me",1
"Girl, I know you ain't from 'round here",0
"Shut up, shut up, make you cum easy",0
What up? What up? Pussy come easy (Yeah),0
[Verse 2: Chris Brown],0
"They don't, they don't know,",0
Papi chulo,1
"Runnin' up a check, you see it",0
"If they on, they on go",0
Dame,1
Culo,1
", 'cause you know my shit amazin'",0
"They don't want no smoke, want no smoke",1
Bitches wanna have a nigga baby,0
"She get down on all fours, hop on the pole",0
A hunnid more minutes,0
"Baby, I'm about to give you rounds, so ride it",0
"Bump and grindin', it's the perfect timin'",1
"I'ma turn you out, no lyin'",0
You gon' see,0
[Chorus: Chris Brown & Trey Songz],0
"(Yeah, yeah)",0
Pull up in that Bentley GT,0
"Skrrt, skrrt, beep, beep",0
"Girl, meet me in my bed (Ooh, na na na)",0
"I'ma go down eat, eat",0
Grab them chi chis,0
"Know I'ma skeet, skeet (All in it)",0
"Got me on repeat, bitch wanna freak me",0
"Girl, I know you ain't from 'round here",0
"Shut up, shut up, make you cum easy",0
What up? What up? (Yeah) Pussy come easy,0
[Outro: Trey Songz &,0
Chris Brown,0
],0
Make you cum,0
"Pussy come, pussy come, pussy come easy",0
Ma-Make you cum,0
Pu-Pu-Pussy comes easy,0
Make you cum,0
