line,annotated
[Intro: Wale],0
"Real rap, peel back in the matte black",0
"She ain't at where I'm at, send that ass back",0
[Verse 1: Wale],0
Hoes in the telly on the late night,0
"Smoking real good, my eyes late flight",0
"She riding now, she tryna tell me where her heart was at",0
"I'm like nah, what the face like",0
"Yea, I'm a straight shot",0
I'm a thorough nigga but I'm a great guy,0
"In a old car, a new paint job",0
"My crew ain't the squad, Manute ain't tall",1
Who ain't talking that shit the ballers get with - Ralph,0
"All of this shit is scholarship flow, I'm tossing free wisdom",1
I'm aware that my artistry different,1
I'm aware that my heart is by my cuff link,0
Though I'm living a life with a lot of plush things,0
I'm living a life without trusting,0
"Yea, too much hate when ya crew hot, too much love get you 2Pac'd",1
Too much bread over here get you stalked by the feds,0
"The IRS, and a few broads",0
[Break: Wale],0
"Real rap, peel back in the matte black",0
"She ain't at where I'm at, send that ass back",0
"I'mma tell you why these guys staying, where they at",0
Cuz these niggas ain't fly and they can't rap,0
[Chorus: Wale],1
"Yup yup, can a nigga flow",0
"Yup yup, got a million hoes",0
"Yup yup, when a nigga step out in a pair of what's those",1
"Yup yup, all the niggas go",0
"Yup yup, at a nigga show",0
Live bitches at a nigga show,0
"Yup yup, when a nigga step out in a pair of what's those",0
"Yup yup, all the bitches go",0
[Verse 2: Nipsey Hu$$le],0
"Yop yop, nigga getting rich",0
"Yop yop, nigga bought a Six",0
"Yop, I, bought a spot on the top floor",0
"And my view from the living room, it go off shore",0
"Yea, yop yop, nigga on his tip",0
"Yop yop, nigga never slip",0
"Nah, hold up, wait a minute with that homie shit",0
"I was on my grind, and you ain't never loan me shit",0
"I was on a mission, nigga you ain't never load a clip",0
"Hold up, you remind me of my old bitch",0
"Hold up, why you always on that ho shit",0
"Man hold up, got me talking 'bout some old shit",0
"So I get back to the money, say I'm acting funny",0
"Face everywhere, thank God I ain't ugly",0
"See him in the mirror, they say God is above me",0
"In a Porsche Panamera, smoking weed, getting skully",0
"Yop, so come get me if you want me",0
"Me and my buddy, leave shit real bloody",0
"Yellow tape on the beat, it's no wonder why they love me",0
[Chorus: Wale],1
"Yup yup, can a nigga flow",0
"Yup yup, got a million hoes",0
"Yup yup, when a nigga step out in a pair of what's those",1
"Yup yup, all the niggas go",0
"Yup yup, at a nigga show",0
Live bitches at a nigga show,0
"Yup yup, when a nigga step out in a pair of what's those",0
"Yup yup, all the bitches go",0
[Verse 3: Wale],0
"It's a whole lotta 'Gnac, not a lot to chase",1
"And the hoes in the back, they ain't tryna wait",0
She open thighs and I'm close-minded,0
This is Cashmere Thoughts meets North Face,0
This is Iceberg Slim with some more game,1
"This is Martin Payne, niggas Pam James",1
"That's a damn shame, niggas without game",0
"Call them all the time, I call 'em any name",0
I am highly respected amongst young dames,0
"Rolling up sour, bumping Sweet James Jones",1
"G thing made G's, speaking G code",0
"On fire, make a riot be a free show",0
"Beat the beat up, get a couple knots",0
I am nothing like these muthafuckin' other guys,0
Them PR's sitting hard with them number nines,1
"In the fall, they be talking that the summer's mine",1
[Chorus: Wale],1
"Yup yup, can a nigga flow",0
"Yup yup, got a million hoes",0
"Yup yup, when a nigga step out in a pair of what's those",1
"Yup yup, all the niggas go",0
"Yup yup, at a nigga show",0
Live bitches at a nigga show,0
"Yup yup, when a nigga step out in a pair of what's those",0
"Yup yup, all the bitches go",0
