line,annotated
[Intro - Ja Rule],0
"Yeah, yeah.. haha yeah!",0
I gotta get my headphones,0
All my gangsta niggas is in the building on this one!,0
You know! Yeah yeah ya know,0
It's real!! Hussein what's happ'nin nigga?,0
"I see you, aight Shadow what's poppin BLAT!",0
"Haha haha, yeah my nigga O-1 in the motherfucking house",0
Jody in the house (Jody Mack!),0
"My nigga Cadillac, Gotti what up!",0
Black Child what up!,0
I'd like to welcome all my niggas,0
To the world famous Murda Inc. Show,0
Big shout to all my Queens niggas in Staten Island,1
"Niggas in Uptown, niggas in Brooklyn niggas",1
"All my Bronx niggas yeah, all my Jersey niggas!",1
you know?,0
We doing it real big right here! all my money niggas,0
This shit commentated on the one's and two's!,0
They call me the Mighty Rule! how ya living?,0
This real shit we talking,0
I wanna ask all my gangsta niggas a real question (holla back),0
What do you do - when niggas spit at you?,0
[Hook - Ja Rule],0
"Clap back, we gon' clap back",0
"We gon' clap back, we gon' clap back",0
(Let's take 'em to war niggas!),0
"We gon' clap back, we gon' clap back",0
"We gon' clap back, we gon' clap back",0
(Let's take 'em to war niggas),0
"We gon' clap back, we gon' clap back",0
"We gon' clap back, we gon' clap back",0
(Let's take 'em to war niggas!),0
"We gon' clap back, we gon' clap back",0
"We gon' clap back, we gon' clap back",0
(Let's take 'em to war niggas),0
"We gon' clap back, we gon' clap back",0
[Verse 1 - Ja Rule],0
"Fuck if they holl'in about Rule nigga, here's the real",0
I'll pop ya top like Champagne bottles that chill,0
"Wear nothing but ice, smiles tinted up to The Greatest",0
"Tell em I'm nice too, plus push them nice coupes",0
"The Inc roll like duece man, I'm ol' G Bobby J",0
And we slinging soccer fields of yay,0
"They don't respect that, don't get your mind around",0
"You'll get it pushed back, y'all don't want that",0
I send em to the morgue while keepin my bitches bouncin fa sho,0
"""In Da Club"" with no gun, got em taking it off",1
"Can't help that, I'm the nigga that puts it down",0
"Once I hit that, that's if I'm up in the Maybach",0
"Fasten them holding the throwback, West 44 Lakers",0
Let's make no mistakes when these F's take place,0
What's the procedure with a gun in your face,1
When you got one in your waist,1
Let's cock back nigga air out the space! (C'mon!) We gon',0
[Hook - Ja Rule],0
"Clap back, we gon' clap back",0
"We gon' clap back, we gon' clap back",0
(Let's take 'em to war niggas!),0
"We gon' clap back, we gon' clap back",0
"We gon' clap back, we gon' clap back",0
