line,annotated
[Hook],0
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
[Verse],0
"Working Monday night, on the corner flipping hard",1
"Made at least three thousand, on the Boulevard",1
"I've been working graveyard, shifts every other weekend",1
Ain't got no fucking time to party on the weekend,1
"I've been flipping in the house, making juugs on the highway",1
"I've been riding out of state, making money like my way",1
"I don't think that I should dance, I'm just gon have another drink",1
"I'm doing my stance, you know my Molly pink",1
"I've got the loudest of the loud, you know my gas stink",1
"My P.O. think I'm in the house, don't give a damn about what she think",1
[Hook],0
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
[Bridge],0
It ain't no way no how,1
"I made it on my own, I made my own style",1
"I don't think that I should stay, you know I gotta go",1
"You moving too fast, don't want to take it slow",1
[Hook],0
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
Got the club going up on a Tuesday,1
Got yo girl in the cut and she choosy,1
