line,annotated
Lyrics from video / live snippets,0
[Chorus: Lil Peep],0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
Rock-Rock with me—Rock with me,0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
Block-Block with me—Block with me,0
"Block with me, baby",0
"Got ya breakin' down the rock with me, baby",0
Ro-Rock with me—Rock with me,0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
"Rock, rock with me, baby, rock",0
[Verse 1: BEXEY],1
I'ma tell you what you need from me,0
"I'm in, do what I can",0
"Yeah, you better believe in me",0
I just wanna know who I am,0
I remember holdin' hands tight,0
Then I felt tricks fall out your sleeve,0
Going 'round town then I picked your fit,0
"With a mouthful of Hennessey, GothBoi Gang bust the energy",0
"And she tripping off Chanel and coke nails, I think I wanna take 'em",0
"Make her eyes roll back, kinda like the Undertaker",0
"No attachments, like I'm cutting jewelry, no going",0
"Watch what happens, during the nights, yeah, just let car riders",0
"(Woo!) Head above the window, bitch, who want it?",0
"So many damn trees, I'm buzzing",0
"Like a [?] money, woah",0
"Head above the window, who want it?",0
And you don't want me back in college,0
"Now you want me, but stop it, don't touch me",0
[Chorus: Lil Peep],0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
Rock-Rock with me—Rock with me,0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
Block-Block with me—Block with me,0
"Block with me, baby",0
"Got ya breakin' down the rock with me, baby",0
Ro-Rock with me—Rock with me,0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
"Rock-Rock with me, baby—Rock",0
[Verse 2: Lil Peep],0
"Coke nails, she got coke nails, and I can't tell",1
"If she want me, or my friend, fuck it, oh well",1
"Now she sucking me, GB company",1
"Fuck with me, she fucking me",1
"In that DoubleTree, fuck it, oh well",1
"OxyContin, Xanax bars, Lortabs, and Percocet",1
"I got all of that, I feel like Lil' Wyte, no respect",1
"Give me neck, smokin' cigarettes, free Biggavel",1
"I just pulled up in that ""vroom-vroom,"" kiss this tail (Skrrt!)",0
That's a all black Lambo (Bitch),1
I ain't talkin' shit less I'm comin' like I'm Rambo (Bitch),1
"Fucking on yo' bitch, then I'm switchin' through the channels (Bitch)",0
"Fucking on yo' bitch, then I'm switchin' through the channels (Skrrt, skrrt, skrrt!)",0
That's a all black Lambo,1
[Chorus: Lil Peep],0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
Rock-Rock with me—Rock with me,0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
Block-Block with me—Block with me,0
"Block with me, baby",0
"Got ya breakin' down the rock with me, baby",0
Ro-Rock with me—Rock with me,0
"Rock with me, baby",0
"I might take you to the block with me, baby",0
"Rock-Rock with me, baby—Rock",0
