line,annotated
2016,0
"Lil Uzi Vert - Left, Right",0
ft. Playboi Carti,0
Lil Uzi Vert - Of Course We Ghetto Flowers,0
ft. Playboi Carti & Offset,0
2017,0
Playboi Carti - Lookin,0
ft. Lil Uzi Vert,0
Playboi Carti - wokeuplikethis*,0
ft. Lil Uzi Vert,0
Playboi Carti & Lil Uzi Vert - Break The Bank,0
A$AP Mob - RAF,0
"ft. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean",0
Playboi Carti & Lil Uzi Vert - Squad,0
2018,0
Playboi Carti & Lil Uzi Vert - Bankroll,0
Playboi Carti - Shoota,0
ft. Lil Uzi Vert,0
