line,annotated
[Intro: Common],0
"It's just a fly love song, what",0
"It's just a fly love song, what",0
[Verse 1: Common],0
Are we living in a dream world?,1
"Are your eyes still green, girl?",1
I know your sick and tired of arguing,1
But you can't keep it bottled in,1
"Jealousy, we got to swallow it",1
"Your heart and mind, baby follow it",0
"Smile, happiness, you could model it",0
And when you feel opposite,0
I just want you to know,0
"Your whole, being is beautiful",0
I'ma do the best I can do,0
Cause I'm my best when I'm with you,0
[Hook: Mary J. Blige & Pharrell Williams],0
"Come close to me, baby",0
Let your love hold you,0
I know this world is crazy,0
What's it without you?,0
[Verse 2: Common],0
"Put down your bags, love",1
"I know in the past, love",1
Has been sort of hard on you,1
But I see the God in you,1
I just want to nurture it,0
Though this love may hurt a bit,1
"We dealing with this water, love",1
You even give my daughter love,0
I want to build a tribe with you,0
Protect and provide for you,0
Truth is I can't hide from you,0
"The pimp in me, may have to die with you",0
[Hook: Mary J. Blige & Pharrell Williams],0
"Come close to me, baby",0
Let your love hold you,0
I know this world is crazy,0
What's it without you?,0
[Bridge: Mary J. Blige & Pharrell Williams],0
"I know what you're thinking, you're on my mind",0
"You're right, you're right, you're right",0
"You running so fast, you just might take flight",0
"Hope you're not tired, tonight, tonight",0
[Verse 3: Common],0
You helped me to discover me,1
I just want you to put trust in me,0
I kind of laugh when you cuss at me,0
The aftermath is you touching me,0
"It's destiny that we connected, girl",0
"You and I, we can affect the world",0
I'm tired of the fast lane,1
I want you to have my last name,1
[Hook: Mary J. Blige & Pharrell Williams],0
"Come close to me, baby",0
Let your love hold you,0
I know this world is crazy,0
What's it without you?,0
[Outro: Mary J. Blige & Pharrell Williams],0
"I know what you're thinking, you're on my mind",0
"You're right, you're right, you're right",0
"You running so fast, you just might take flight",0
"Hope you're not tired, tonight, tonight",0
"I know what you're thinking, you're on my mind",0
You're right,0
"You running so fast, you just might take flight",0
"I know what you're thinking, you're on my mind",0
"You're right, you're right, you're right",0
"You running so fast, you just might take flight",0
Hope you're not tired,0
