line,annotated
[Produced by Hi-Tek],1
[Intro],1
Y'all niggas got me hot,1
"Uh, niggas, tell me how?",1
[Verse 1],0
"Hey! Well, that's exactly what a nigga came for",1
"Huh, you doin' shots from afar",1
I'ma meet you at your front door,1
"Uh, so hard to be doing what you really meant for, beauty",1
"Huh, but don't I make it look easy?",1
Don't I make it look good?,1
[Chorus],0
"Hey, now you, drank up all my liquor, come on",1
What I'm supposed to do now?,1
"And you talking all that shit, now come on",1
You gonna have to back it up,1
"If I get too high now, sugar, come on",1
I might never come down,1
You know I might never come down,1
Let me get down,1
You might not never come down,1
Now let me come down,1
You might not never come down,1
Let me get down!,1
[Bridge],0
You might never ever come down,1
It took too long to get this high off the ground,1
"Don't run, just stay awhile",1
[Verse 2],0
"C'mon, uh",0
"Can't beat it, can't beat it, can't beat it",0
Can't beat it with a big bat though,0
Can't see her with this pitch black Gucci frames on,1
Let me take these bitches off,1
"Let me get the full scope, hold up",1
"Huh, full screen, HD, let me take another picture",1
Let me pull it to the pre-show,0
"Whoa, cool beans, cool beans",0
That's a whole lot of reefer,1
Let me help you with the pre-roll,1
[Chorus],0
"You, drank up all my liquor, come on",1
What I'm supposed to do now?,1
"And you talking all that shit, now come on",1
You gonna have to back it up,1
"If I get too high now, sugar, come on",1
I might never come down,1
You know I might never come down,1
Let me get down,1
You might not never come down,1
Now let me come down,1
You might not never come down,1
Let me get down!,1
[Bridge],0
You might never ever come down,1
It took too long to get this high off the ground,1
"Don't run, just stay awhile",1
You might never ever come down,1
It took too long to get this high off the ground,1
"Don't run, just stay awhile",1
[Skit],0
"Before Vietnam, when boards were long and hair were short, the center of the surfing world was a place called Malibu",1
