line,annotated
[Intro: Trouble],0
Ear Drummers,0
"Mike, crazy as fuck",0
You said you was talkin' about what?,0
"I got nothin', man",0
"30, you a fool for this one",0
I got nothin' on no nothin',0
"Nah, straight like that, though",0
Mike WiLL Made-It,0
[Verse 1: Trouble],0
"Ain't got nothin' for no nothin', nothin' gets to me, too close",1
"Ain't got nothin' for no nothin' ho, lil' bitch be doin' the most",1
"I was duckin' bullets, shootouts, me and my guys design your porch",1
"Look in your eyes and I see ho, don't be surprised when you see smoke",1
"Ain't got nothin' for no nothin', nothin' gets to me, too close",0
"Ain't got nothin' for no nothin' ho, lil' bitch be doin' the most",0
"I was duckin' bullets, shootouts, me and my guys design your porch",0
"Look in your eyes and I see ho, don't be surprised when you see smoke, bitch",0
[Chorus: Trouble &,0
The Weeknd,0
],0
"Yeah, come through, yeah",1
What time you want a young nigga to come through?,1
What time you want a nigga to come? (Yeah),1
You just want a young nigga to come through (yeah),1
"Just want me to come through, come through",1
You just want a young nigga to come through,1
You must want a nigga to come,1
[Verse 2: Trouble &,0
The Weeknd,0
],0
Damn the bih 'bout dumb as a box of rocks,0
Dawg I just get them sock,0
Find out her BD be the opps,0
You can't be G and be the cops (yeah),0
I can't play myself out like that,1
"Fuck these hoes, keep gettin' that dope",1
Slippers countin' mine won't be tryin' get no pussy,1
Somethin' I know,1
I was down bad on my luck,1
My dawg like three sum summers ago,1
"Ain't shit been sweet, but neither's me",1
So my bitch need 300 or more,1
"I keep guns and ganja close, I keep funds, but I don't boast",1
"I know what it's like to not have shit, it ain't a bitch I owe",1
You don't need 'em now,1
Ain't no fuck nigga gon' try m,0
Without sayin' I went in his shit (fuck nigga),0
Ain't no fuck nigga gon' disrespect the gang,0
Or try my bitch (fuck nigga),0
Play no games,0
Pop shit straight up out that 6,1
"Ain't with what I'm with, you gettin' dismissed",1
I give a fatal Jadakiss,1
"Always been up for fades and shit, Skoob",0
[Chorus: Trouble &,0
The Weeknd,0
],0
"Yeah, come through, yeah",1
What time you want a young nigga to come through?,1
What time you want a nigga to come? (Yeah),1
You just want a young nigga to come through (yeah),1
You just want a young nigga to come through,1
"You must want a nigga to come, what time?",1
"Come through (oh, yeah)",1
What time you want a young nigga to come through?,1
What time you want a nigga to come?,1
You just want a young nigga to come through (yeah),1
You just want a young nigga to come through,1
You must want a nigga to come,1
[Verse 3: Trouble],0
"I was slidin', vibin', ridin' 285, just in my thoughts",1
Do I need go hit this lick? Ain't got no time to gettin' caught,0
I can't leave my folks down bad like that,0
Guess I'm just gon' slow roll it,0
"Partner say he got OG in the 3, that's where I'm rollin'",0
"Focus nigga, need to focus mo', that's Motrin, ain't no perc",0
Yeen gon' fuck me up like that,0
"Step on my shit, bitch, you get murked",0
Free world out there in the bluff,1
Eastside just might see me in dirt,1
A two-piece snack in one piece skirts,0
"Can't turn me down, this ain't that vert",0
"Got off 12's was on Wee Kirk, got off them bails, you hella hurt",0
"Got up every time, I fell to dirt, got up every time, I fell to dirt",0
You lil' bitches failed to mention when you gossip in your kitchen,0
How I held shit down since prison,0
How I held shit down in trenches huh,0
[Chorus: Trouble &,0
The Weeknd,0
],0
"Yeah, come through, yeah",1
What time you want a young nigga to come through?,1
What time you want a nigga to come? (Yeah),1
You just want a young nigga to come through (yeah),1
You just want a young nigga to come through,1
"You must want a nigga to come, what time?",1
"Come through (oh, yeah)",1
What time you want a young nigga to come through?,1
What time you want a nigga to come?,1
You just want a young nigga to come through (yeah),1
You just want a young nigga to come through,1
You must want a nigga to come,1
[Outro: Trouble &,0
The Weeknd,0
],0
"Yeah, yeah, yeah
What time you want a nigga to come, yeah",0
Come through,0
You must want a nigga to come,0
Come through,0
"Oh, oh, yeah
What time you want a nigga to come? Yeah",0
Come through,0
"Yeah, you must want a nigga to come",0
