line,annotated
[Intro],0
Hot Shit (Hot Shit),0
[Chorus],1
"Mmmmm, I'm going down, down, baby, your street, in a Range Rover",0
(Come on!),0
"Street sweeper baby, cocked, ready to let it go",1
(Hot Shit),0
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
"I'm going down, down, baby, your street, in a Range Rover",0
"Street sweeper baby, cocked, ready to let it go",1
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
[Verse 1],0
"Mmmmm, you can find me in St. Louis rolling on dubs",1
"Smoking on dubs in clubs, blowing up like Cocoa Puffs",0
"Sipping Bud', getting perved and getting dubbed",0
"Daps and hugs, mean mugs and shoulder shrugs",1
and it's,0
All because accumulated enough scratch just to,0
"Navigate it, wood decorated on chrome and it's",0
"Candy painted,",0
fans fainting while I'm entertaining,1
"Wild, ain't it? How me and money get acquainted",0
I hang with,0
Hannibal Lector,1
(Hot shit!),0
So feel me when I bring it,0
"Sing it loud (What?), I'm from the Lou' and I'm proud",1
"Run a mile for the 'cause,",1
I'm righteous above the law,0
"Player my style's raw, I'm Born to Mack, like",0
Todd Shaw,1
"Forget the fame and the glamour,",0
give me D's with a rubber hammer,1
"My grammar be's Ebonics,",1
"gin, tonic, and chronic",0
"Fuck Bionic, it's ironic,",0
slamming niggas like Onyx,1
Lunatics,1
till the day I die,0
I run more game than the,0
Bulls and Sonics,1
[Chorus],0
"I'm going down, down, baby, your street, in a Range Rover",0
(Come on!),0
"Street sweeper baby, cocked, ready to let it go",1
(Hot Shit),0
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
"I'm going down, down, baby, your street, in a Range Rover",0
"Street sweeper baby, cocked, ready to let it go",1
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
[Verse 2],0
Who say pretty boys can't be,1
"Wild niggas, loud niggas,",1
O.K. Corral niggas,1
"Foul niggas, running the club and busting the crowd, nigga",0
"""How nigga?"" Ask me again and it's going down, nigga",0
"Now nigga, come to the circus and watch me clown, nigga",0
"Pound niggas, what you be giving when I'm around nigga",0
"Frown niggas, talking that shit when I leave the town, nigga",0
"Say now, can you hoes come out to play now",0
"Hey, I'm ready to cut you up any day now",0
Play by my rules Boo and you gon' stay high,0
May I answer your Third Question like A.I,1
"Say hi, to my niggas left in the slamma",0
"From St. Louis to Memphis, from Texas back up to Indiana",1
"Chi-Town, K.C., Motown to Alabama",0
"L.A., New York Yankee niggas, to Hotlanta",0
"Louisiana, all my niggas with ""Country Grammar""",0
"Smoking blunts in Savannah,",0
"blow thirty mil', like I'm Hammer",1
[Chorus],0
"I'm going down, down, baby, your street, in a Range Rover",0
(Come on!),0
"Street sweeper baby, cocked, ready to let it go",1
(Hot Shit),0
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
"I'm going down, down, baby, your street, in a Range Rover",0
"Street sweeper baby, cocked, ready to let it go",1
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
[Verse 3],0
Let's show these cats to make these,0
"Millions so you niggas quit acting silly, mon",0
"Kid quicker than Billy, mon",1
", talking really and I need it mon",0
"Flows, I kick 'em freely mon, especially off Remi, mon",0
"Keys to my Bimmer, mon, holla at Beenie Man",1
"See me, mon, chiefin', rollin' deeper than any mon",0
"Through Jennings mon, through U-City back up to Kingsland",0
"With nice niggas, shiest niggas who snatch yo' life, niggas",0
"Trife niggas who produce and sell the same beat twice, nigga",0
"(Hot shit!) Ice niggas, all over close to never sober",0
From broke to having brokers: my price-range is Rover,0
"Now I'm knocking like Jehovah; let me in now, let me in now",0
"Bill Gates, Donald Trump, let me in now",1
"Spin now, I got money to lend my friends now",0
"We in now, candy Benz, Kenwood and 10's now",0
"I win now (Woo!), fucking lesbian twins now",0
"Seeing now, through the pen I make my ends now",0
[Chorus],0
"I'm going down, down, baby, your street, in a Range Rover",0
(Come on!),0
"Street sweeper baby, cocked, ready to let it go",1
(Hot Shit),0
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
"I'm going down, down, baby, your street, in a Range Rover",0
"Street sweeper baby, cocked, ready to let it go",1
"Shimmy, shimmy, cocoa what",1
", listen to it pound",0
"Light it up and take a puff, pass it to me now",0
