line,annotated
[Intro],0
"""C'est sûrement Cruella. Ta chère compagne de classe, Cruella d'Enfer. C'est ça !""",1
[Refrain : Shay],0
"Izi money, izi life",1
"Oui tu nous connais, frais, izi nice",1
"Izi money, izi money",1
"Oui tu nous connais, frais, izi nice",1
[Couplet 1 : Shay],0
Yo liasse de 500 E,1
",",0
Oprah sur ces tasspés,1
Beaucoup trop d'argent négro ce ne sera jamais assez,1
"Mes jeunes thugs ont la dalle, je te parle pas de Kinshasa",1
Avec les briques qu'on blanchit je te refais la dar d'Obama,1
"Les employés sont SDF, tu les trouvera dans les rues",1
"Donc tu ne me verras pas, j'ai d'autres choses à faire qu'être vue",0
"Mental de paysanne, je suis concentrée sur ce blé",1
"J'appelle ton dealer Louboutin, il est à mes pieds",1
"Si tu fais le chien, je ferai la chinoise",1
"Il me faut mon show sur E, j'te refais le visage",1
"Lequel est le plus rapide, postuler ou braquer ?",0
"Hum...Le temps c'est de l'argent, j'ai du temps à gagner",1
[Refrain : Shay],0
"Izi money, izi life",1
"Oui tu nous connais, frais, izi nice",1
"Izi money, izi money",1
"Oui tu nous connais, frais, izi nice",1
[Couplet 2 : Booba],0
Liasses de 500 euros,1
",",0
les chiens de la BAC me guettent,1
J'y retournerai 'ap comme R. De Niro,1
",",0
les négros veulent me uer't,1
"Ice Ice sur le poignet,",1
salement accompagné,0
"Paye cash en ck-bla, Shay c'est le ze-bla",0
J'dois rejoindre le renoi au paradizio,1
"Fuck les haineux Paf le chien, paf le physio",1
"Les négros se cachent pour mourrir, on y croit",0
"Winner nigger,",0
j'ai l'oeil du tiger #Rocky 3,1
"Je connais pas Big Meech, ni Larry Hoover",1
"Dans mon quartier il y a pani baltringue, pani loser",1
92 izi négro gangster et gros fouffeurs,0
Laisse les groupizi en pleurs la chatte en chou fleur,0
[Refrain : Shay],0
"Izi money, izi life",1
"Oui tu nous connais, frais, izi nice",1
"Izi money, izi money",1
"Oui tu nous connais, frais, izi nice",1
[Couplet 3 : Shay],0
"Plutôt géométrie, les cops sont toujours carrés",1
"Africain est le ness-bi, noir est le marché",0
"Tellement internationale, mon passeport est trafiqué",0
Mec il y a la rhass à Benjamin sur mes papiers,1
Et des marques sur mon corps comme si j'étais l'ex à Chris,1
C'est quoi le sex appeal d'un mec ? Hum sa Maserati,1
Tous les thugs que je côtoie font du bénef,0
"Du biff dans la team, l'équipe à Tevez",1
J'marche avec des négros qui tiennent leurs promesses,0
4-5 auto silencieux pour faire des prouesses,0
Jouer avec moi c'est comme jouer avec sa life,0
Cruella d'enfer j'fais la peau à tous ces bâtards,1
[Refrain : Shay],0
"Izi money, izi life",1
"Oui tu nous connais, frais, izi nice",1
"Izi money, izi money",1
"Oui tu nous connais, frais, izi nice",1
