line,annotated
[Refrain : Nekfeu &,0
Vanessa Paradis,0
],0
"Dans l'Univers, y'a des milliards de vies sur Terre, sept milliards d'êtres humains",1
Peut-être trois milliards de filles mais c'est toi qu'j'veux,1
T'es obsédée par le vide et j'déteste ton mode de vie,0
Et puis t'as ta part de vices mais c'est toi qu'j'veux,0
"Y'en a plein mais y'en a qu'une, c'est toi",1
Je sais des choses que tu n'sais pas,0
Je sais qu'on serait même pas heureux ensemble,0
Nous sommes de ceux que la rancune sépare,1
"Pourtant dans l'Univers, y'a des milliards de vies sur Terre, sept milliards d'êtres humains",1
Peut-être trois milliards de filles mais c'est toi qu'j'veux,1
T'es obsédée par le vide et j'déteste ton mode de vie,0
Et puis t'as ta part de vices mais c'est toi qu'j'veux,1
Y'en a plein mais y'en a qu'une c'est toi,0
Je sais des choses que tu n'sais pas,0
Je sais qu'on serait même pas heureux ensemble,0
Nous sommes de ceux que la rancune sépare (Toi),1
[Couplet 1 : Nekfeu],0
Et même si notre amour raté devait renaître demain,0
"Elle m'a dit : ""Jamais je ne remettrais mon cœur entre tes mains""",0
"Jamais, jamais n'oublie pas que quand tu l'avais, tu ne m'as laissé que du mal-être et des marques",0
"On était jeune, on pensait que s'aimer, c'était se traiter mal",0
"[Refrain : Nekfeu, Vanessa Paradis, ensemble]",1
"Pourtant dans l'Univers y'a des milliards de vies sur Terre, sept milliards d'êtres humains",1
Peut-être trois milliards de filles mais c'est toi qu'j'veux,1
"
T'es obsédé par le vide et j'déteste ton mode de vie
Et puis t'as ta part de vices mais c'est toi qu'j'veux",0
(Toi),0
Y'en a plein mais y'en a qu'une c'est toi,1
Je sais des choses que tu n'sais pas,0
Je sais qu'on serait même pas heureux ensemble,0
Nous sommes de ceux que la rancune sépare (Toi),1
"[Couplet 2 : Nekfeu,",0
Nekfeu + Vanessa Paradis,0
],0
"On se dégoûte, on se combat jusqu'à c'qu'on bouffe les pissenlits",1
Notre couple succombe à ce désir puissant puis s'ennuie,1
Et le désir disparaît en même temps que la possession,1
Et les femmes de ma vie défilent en une étrange procession,1
J'y pensais seul la nuit sous les traits d'un jeune homme inquiet,0
"Quand la Lune dort le Soleil luit, moi je ne vois qu'elle",1
"[Refrain : Nekfeu,",0
Vanessa Paradis,0
",",0
ensemble,0
],0
"Dans l'Univers y'a des milliards de vies sur Terre, sept milliards d'êtres humains",1
Peut-être trois milliards de filles mais c'est toi qu'j'veux,1
"
T'es obsédée par le vide et j'déteste ton mode de vie
Et puis t'as ta part de vices mais c'est toi qu'j'veux",0
(Toi),0
Y'en a plein mais y'en a qu'une c'est toi,1
Je sais des choses que tu n'sais pas,0
Je sais qu'on serait même pas heureux ensemble,0
Nous sommes de ceux que la rancune sépare (Toi),1
"[Outro : Nekfeu,",0
Vanessa Paradis,0
],0
Nos cœurs unis par cette danse que ta lumière peut apprendre à mon ombre,0
"Un jour, tu me donneras ton oui et tu prendras mon nom",1
"Un jour, tu me donneras ton oui et tu prendras mon nom",1
[...],0
 [?] dans la vie c'est toi qu'je veux,0
*sonnerie de réveil*,1
