line,annotated
[Verse 1],0
"12 in the mornin', pop shells for a livin'",1
And berry gon' smell blood trail every minute,1
"Rogue wave on you niggas, no fail when I hit 'em",1
"Every time I see a pig, I don't hesitate to kill 'em",1
Ain't nobody give a fuck about a rule,0
"Either get diplomas or a tool, I'ma cool with my youngins",1
No bool when I'm sprayin' this K at you fuckas,1
Fuck a gang affiliated with nothin' but my name,1
[Chorus],0
"Man, I don't give a fuck about a mothafuckin' po",0
I'ma pull up with that stick and hit yo' motherfuckin' do',1
"Man, I don't give a fuck about a mothafuckin' po",0
"I'ma pull up with that stick and hit yo' motherfuckin' do', yeah",1
[Verse 2],0
People be starvin',1
And people be killin' for food with that crack and that spoon,1
"But these rich mothafuckas, they stay eatin' good",1
Droppin' wage livin' good,1
"Holdin' steel Glocks, but you been a bitch, suck a thick cock",0
"Fuck a Crip walk, hit the strip like in Bangkok",1
Never ever see me have a trip ‘bout a lil’ broad,1
"See me on the TV screamin', ""Bitch, you a damn fraud""",1
And you don't wanna fuck with a chigga like me,1
When I pull up in that Maserati,1
Better duck 'fore ya brain splatter on the concrete,0
"I'ma hit you with that .45, bullet hit yo neck round the bow tie",1
"Lookin' like a thriller, film a bitch",1
I'ma go right back with the clip and I know you be shakin',1
Don't test me or I might just click at yo noggin,1
[Chorus],0
"Man, I don't give a fuck about a mothafuckin' po",1
I'ma pull up with that stick and hit yo' motherfuckin' do',1
"Man, I don't give a fuck about a mothafuckin' po",0
"I'ma pull up with that stick and hit yo' motherfuckin' do', yeah",1
