line,annotated
[Intro: Lil Skies &,0
GNAR,0
],0
I got demons in my brain,0
They want me to let her go,0
They want me to let her go,0
Bust down glass all in the Patek,1
They just tryna kill me 'cause I have it,0
Demons in my brain and they wanna go,0
"If I say I love you, you got my soul",0
"Ayy, ayy",0
[Chorus: Lil Skies],0
I got demons in my brain,1
They want me to let her go,1
Shorty tell me I'm the same,0
'Cause I'm fucking all these hoes,0
And we been through the rain,0
We can make it through the snow,0
Heard them niggas throwing shade,0
Fuck ‘em all 'cause they broke,0
That's right,1
"I signed my death note, what's hope?",1
"Wrapped around my neck, garrote",0
I don't got time for lies and jokes,0
You gon' make me go Incredible Hulk,1
[Verse 1: GNAR],0
"She fuck with me, she don't fuck with you, yeah, yeah, whoa",0
"Iced out my heart, now it's bullet proof, uh",0
"I took my shot, gotta tell the truth, yeah, yeah, whoa",0
"I'm kind of psycho, keep it real with you, uh",0
"Stackin' bands, used to have no food, uh",0
"Went through the pain, now I'm lettin' loose",0
"Mixed hoes, white and black, like a beetle soup, ayy",0
"I mean beetle juice, shit,",0
Gnarcotic gang,1
"Misfit kids who fuck up shit, get fucked up quick",0
"I know the feeling, you're knowing your vision",0
"But no one listens, this is just so sickening",0
"Fuck that big guap by the billion, I fuck your mistress, uh",0
[Chorus: Lil Skies],0
I got demons in my brain,0
They want me to let her go,0
Shorty tell me I'm the same,0
'Cause I'm fucking all these hoes,0
And we been through the rain,0
We can make it through the snow,0
Heard them niggas throwing shade,0
Fuck 'em all 'cause they broke,0
That's right,1
"I signed my death note, what's hope?",1
"Wrapped around my neck, garrote",0
I don't got time for lies and jokes,0
You gon' make me go Incredible Hulk,1
[Verse 2: Craig Xen],0
"Shawty, where your mind at?",0
If I asked you to kick it then would you slide back? (huh),0
To my crib I been going through a lot alone (uh-huh),0
I need somebody to kick it with when I'm at home,0
"I'm head-strong, but my spirit got a hole in it (got a hole in it)",0
I been open and hoping that you can come fill it (hmm),0
"That's how I'm feeling really, I ain't ever wanna have to ask for help",0
"Put pride to the side, I need it, aight? Slide tonight",0
[Chorus: Lil Skies],0
I got demons in my brain,0
They want me to let her go,0
Shorty tell me I'm the same,0
'Cause I'm fucking all these hoes,0
And we been through the rain,0
We can make it through the snow,0
Heard them niggas throwing shade,0
Fuck ‘em all 'cause they broke,0
That's right,1
"I signed my death note, what's hope?",1
"Wrapped around my neck, garrote",0
I don't got time for lies and jokes,0
You gon' make me go Incredible Hulk,1
[Outro: Gnar],0
Bust down glass all in the Patek,0
They just tryna kill me 'cause I have it,0
Demons in my brain and they wanna go,0
"If I say I love you, you got my soul",0
