line,annotated
[Intro],0
PHLEXN,0
Yuh,0
[Chorus],0
"I just wanna fuck Demi, nut on her titties",0
"Whip out my cock, ayy, make the bitch lick it",0
"I just wanna fuck Demi, bitch, fuck with me",0
"I know you like chocolate, bitch, don't be stingy",0
[Verse],0
"Take off yo top, take off yo socks",0
"I know you not a slut, bitch, I know you not a thot",0
"Bitch, I like that, let me hit it from the back",0
"Let me take off my pants, let me put away my Strap",0
"Bitch, don't be scared 'cause you know I got yo back",0
"Let me take you out, yeah, let's go buy a house, yeah",0
"Let's go fuck some bands up, blow a hunnid thou', yeah",0
"Yes, bitch, I'm rich, I know you rich too",0
"I don't give a fuck about yo man, he a goof",0
"Baby, let's duck off, let's go smoke some boof",0
"Let's go hit the stu', I know you like to sing",0
"You gon' be my bitch if I buy yo ass this ring, ayy",0
"Check yo DM, ho, why the fuck you playin'?",0
"I hit you every day, but yo ass ain't seen, yeah",0
"But yo ass will, and when you do, it's over",0
I'ma get yo fuckin' name tatted on my shoulder,0
"I just signed a deal, my wrist got colder",1
I just wanna fuck Demi Lovato when I'm older,0
[Chorus],0
"I just-I just wanna fuck Demi, nut on her titties",0
"Whip out my cock, ayy, make the bitch lick it",0
"I just wanna fuck Demi, bitch, fuck with me",0
"I know you like chocolate, bitch, don't be stingy",0
"I just wanna fuck Demi, nut on her titties",0
"Whip out my cock, ayy, make the bitch lick it",0
"I just wanna fuck Demi, bitch, fuck with me",0
"I know you like chocolate, bitch, don't be stingy",0
