line,annotated
[Intro: Kelly Rowland],0
I love you,0
And I need you,0
"Nelly, I love you",0
I do need you,0
[Hook: Kelly Rowland],0
No matter what I do (woo!),0
All I think about is you,0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
You know I'm crazy over you,0
[Verse 1: Nelly & (Kelly Rowland)],0
I met this chick and she just moved right up the block from me,0
"And uh, she got the hots for me",0
The finest thing my hood done seen,0
"But oh no, oh no",1
She got a man and a son though,1
But that's okay,1
'cause I,1
"Wait for my cue and just listen, play my position",1
"Like a shortstop, pick up e'rything mami hittin'",1
"And in no time, I plan to make this one here mine",0
And that's for sure 'cause I,0
"I never been the type to break up a happy home, but uh",0
There's somethin' 'bout baby girl I just can't leave alone,0
"So tell me, Ma, what's it gonna be?",0
She said: (You don't know what you mean to me),0
[Hook: Kelly Rowland],0
No matter what I do (woo!),0
All I think about is you (uh huh),0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
You know I'm crazy over you,0
[Verse 2: Nelly & (Kelly Rowland)],0
"I see a lot, and you look, and I never say a word",0
I know how niggas start actin' trippin' out here about they girls,0
And there's no way,0
Nelly gon' fight over no dame,0
"As you can see, but I",0
"I like your steez, your style, your whole demeanor",0
The way you come through and holla,0
And swoop me in his two-seater,0
Now that's gangsta,0
And I got special ways to thank ya,0
Don't you forget it,0
"But uh, it ain't that easy for you to pack and leave him",0
"But uh, you and dirty got ties for different reasons",0
"I respect that, and right before I turn to leave",0
"She said, she said: (You don't know what you mean to me)",0
[Hook: Kelly Rowland],0
No matter what I do (woo!),0
All I think about is you (uh huh),0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
You know I'm crazy over you,0
[Interlude: Nelly],0
"Sing it for me, K!",0
[Bridge: Kelly Rowland + (Nelly)],0
I love you (word?) and I need you,1
"Nelly I… love you, I do… (come on, girl)",1
And it's more than you'll ever know,1
"Boy, it's for sure",1
You can always count on my love,1
"Forever more, yeah, yeah",1
[Outro: Nelly],0
"East Coast, I know you shakin' right",0
"Down South, I know you bouncin' right",1
"West Coast, I know you walkin' right 'cause",0
(You don't know what you mean to me),0
"Midwest, I see you swingin' right",1
[Hook: Kelly Rowland],0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
You know I'm crazy over you,0
[Outro: Nelly & (Kelly Rowland)],0
"East Coast, I know you shakin' right",0
"Down South, I know you bouncin' right",1
"West Coast, I know you walkin' right, 'cause",0
(You don't know what you mean to me),0
"Midwest, I see you swingin' right",0
"East Coast, you still shakin' right",0
"Down South, I know you bouncin' right",1
"West Coast, I know you walkin' right, 'cause",0
(You don't know what you mean to me),0
"Midwest, I see you swingin' right",0
[Hook: Kelly Rowland],0
No matter what I do (woo!),0
All I think about is you (uh huh),0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
No matter what I do,0
All I think about is you,0
Even when I'm with my boo,0
"Boy, you know I'm crazy over you",0
[Outro: Nelly & (Kelly Rowland)],0
"East Coast, I know you shakin' right",0
"Down South, I know you bouncin' right",1
"West Coast, I know you walkin' right, 'cause",0
(You don't know what you mean to me),0
"Midwest, I see you swingin' right",0
"East Coast, you still shakin' right",0
"Down South, I see you bouncin' right",1
"West Coast, I know you walkin' right, 'cause",0
(You don't know what you mean to me),0
"Midwest, I see you swingin' right",0
