line,annotated
[Intro],0
Fuck it's easy,1
[Refrain],0
"Agartha TT, j’vous entends saigner",1
"À genoux, Seigneur, rien ne nous fait peur",0
"T'as trop bouffé d'porc, t’as dû rater l'coche",0
"Pourquoi tu t'étonnes ? Dis-moi tout, bébé",0
[Couplet 1],0
Mourir à l'ombre ou pourrir à la lumière,1
Le succès se boit cul sec,1
On enchaîne et on passe à autre chose,1
On est loin du film à l'eau d'rose,1
"Que l'amour, que l'amour, oui",1
"Que l’amour, que l’amour, que l'amour, qu la oh oui",1
"Que la mouille, que la douille après l’coït",1
Le cœur savoure et le cerveau cogite,1
"C'est que du respect, il faut qu'on respire",0
"Il faut qu'on reste clean, il faut qu’on reste clair",0
"T'entends la caisse claire, il manque le kick",1
Tu t'poses des questions sur l'amour et le beat,1
"Je crois qu'on l'espère, je crois qu'on l'évite",1
Je crois qu'y'a qu'la mif' qui peut ramener le kif,1
Un peu comme le hip-hop ramène le rythme,1
"Un EP, pif-paf et paf est l'otite",1
J'vois la lumière des projecteurs,1
Ça m'rappelle qu'il faut qu'j'change l'ampoule des chiottes,1
Me d'mande pas pourquoi tous en font des tonnes,0
J'ai d'jà la réponse mais pas b'soin qu'on m'décore,0
Pourquoi tant d'questions ? Vous savez que j'déconne,0
Le talent nous pousse donc pas besoin d'efforts,0
"Français donc j'ai des idées, pas le pétrole",1
"J'm'en bats les couilles,",0
"j'ai l'stylo, feuilles dans les poches",1
Tu crois connaître le tempo mais c'n'est plus le même depuis l'époque d'Antenne 2,0
Y'a des journalistes à tête creuse,1
", on me dit qu'on fait l'buzz tandis qu'on fait l'taf,",0
"quand ça va pas, on fait feu",1
J'crois qu'il me faut un feat avec Birdman,1
"Hey, d'ici quelques temps, je serai comme un dobermann",0
Il me faut l'beurre et même l'argent du beurre mec,0
"Toute ma vie, j'me foutrai d'ces têtes d'œuf",0
[Refrain],0
"Agartha TT, j'vous entends saigner",1
"À genoux, Seigneur, rien ne nous fait peur",0
"T'as trop bouffé d'porc, t'as dû rater l'coche",0
"Pourquoi tu t'étonnes ? Dis-moi tout, bébé",0
"Agartha TT, j'vous entends saigner",1
"À genoux, Seigneur, rien ne nous fait peur",0
"T'as trop bouffé d'porc, t'as dû rater l'coche",0
"Pourquoi tu t'étonnes ? Dis-moi tout, bébé",0
[Couplet 2],0
Tu verras jamais ma gueule dans ce rap jeu,1
"C'est pas que j'veux pas, juste qu'j'en ai pas l'envie",1
"Je sais qu'j'ai l'talent, fils, mais, bon, qu'est-ce tu veux qu'j'en dise ?",1
"Moi, je marche à l'envie, à l'envers",1
"L'envers du décor, c'est le temple des commentaires",1
"T'en perds les commandes mais ton père les commande, ouais",0
"Allez, nique ta mère, pourquoi tu m'fais du pied, hein ?",0
"Ton esprit est dupé, je sais kicker, tu l'sais, Suiky va t'éduquer",0
"Balançons le spectacle, tout le monde en extase, ma vérité est exacte, pas besoin d'ecsta'",0
"J'vends mes rimes au détail, j'pense à picoler, t'as vu ma gueule, t'as rigolé, c'est bon, j'la pilote 'vec ma",0
"Tête et mes deux couilles, j'aime rester debout,",0
"j'excelle de fou, j'ai le niveau SEGPA",1
"Il suffit d'un son pour que tout l'monde te suce, je connais le truc",1
"Passe donc prendre ta tof, sois content que l'on t'l'accorde,",1
"poto, t'inquiète pas",0
"J'suis là, j'compte la somme de mes démons, j'ai pas une seconde pour écouter ta bande ou ta démo",0
"Combien d'fois j'vais devoir répondre à : ""AD, t'as des meujs ?""",1
?,0
"Combien d'fois j'vais devoir répondre : ""Y'aura pas d'jet-pro"" ?",1
"J'ai la tête à satisfaire le Ciel, pas mon ego, tu peux rallumer ton bédo, c'est là qu'est le fuego",1
[Refrain],0
"Agartha TT, j'vous entends saigner",1
"À genoux, Seigneur, rien ne nous fait peur",0
"T'as trop bouffé d'porc, t'as dû rater l'coche",0
"Pourquoi tu t'étonnes ? Dis-moi tout, bébé",0
"Agartha TT, j'vous entends saigner",1
"À genoux, Seigneur, rien ne nous fait peur",0
"T'as trop bouffé d'porc, t'as dû rater l'coche",0
"Pourquoi tu t'étonnes ? Dis-moi tout, bébé",0
