line,annotated
[Intro: Fergie],0
"No, no, no, no",0
Don't phunk with my heart,1
Yeah,0
"No, no, no, no",1
Don't phunk with my heart,1
[Hook: Fergie],0
I wonder if I take you home,1
"Would you still be in love baby? (love, love)",1
"In love baby (love, love)",1
I wonder if I take you home,1
"Would you still be in love baby? (love, love)",1
"In love baby (love, love)",1
[Verse 1: will.i.am],0
"Girl, you know you got me, got me",0
"With you're pistol shot me, shot me",0
And I'm here helplessly,0
In love and nothing can stop me,0
It can't stop me once I started,0
Can't return me once you bought it,0
"I'm coming baby, don't doubt it",0
(Don't make me wait),1
So let's be about it,0
[Refrain: Fergie],0
"No, no, no, no",1
Don't phunk with my heart,1
[Verse 2: will.i.am],0
"Baby, have some trustin', trustin'",0
"When I come with lustin', lustin'",0
'Cause I'll bring you that comfort,0
I ain’t only here 'cause I want your,0
"Body, I want your mind too",0
Interestin' what I find you,0
And I'm interested in the long haul,0
"Come on girl, yee-haw!",0
Come on,0
[Hook: Fergie],0
I wonder if I take you home,0
"Would you still be in love baby? (love, love)",0
"In love baby (love, love)",0
I wonder if I take you home,0
"Would you still be in love baby? (love, love)",0
"In love baby (love, love)",0
[Refrain: Fergie],0
"No, no, no, no",1
Don't phunk with my heart,1
[Verse 3: will.i.am],0
"Girl, you had me once you kissed me",1
My love for you is not iffy,1
I always want you wit me,1
I'll play Bobby and you play Whitney (all long),1
If you smoke I smoke too,1
That's how much I'm in love wit chu,1
Crazy is what crazy do,0
"Crazy in love, I'm a crazy fool",0
[Refrain: Fergie],0
"No, no, no, no",1
Don't phunk with my heart,1
[Verse 4: will.i.am],0
Why you so in-sa-cure,0
When you got passionate love hurr?,0
You always claimin' I'm a cheatah,0
Think I'll up and go leave ya,0
For another señorita,0
You forgot that I need ya,0
You must have caught amnesia,0
That's why you don't believe wha,0
Wha'- yeah - check it out,0
[Bridge: will.i.am],0
Don't ya worry about a thing baby,1
'Cause ya know ya got me by a string baby,1
Don't ya worry about a thing baby,1
'Cause ya know ya got me by a string baby,1
[Bridge: Taboo & Fergie],0
"Baby girl, ya make me feel...",0
You know you make me feel so real...,0
I love you more than sex appeal...,0
'Cause ya...,0
[Interlude: will.i.am],0
That-that-that-that-that-that-girl,0
That-that-that-that-that-that-girl,0
That-that-that-that-that-that-girl,0
That-that-that-that-that-that-girl,0
That-that-that-that-that-that-girl,0
That-that-that-that-that-that-girl,0
[Refrain Fergie & (will.i.am)],0
"No, no, no, no (that-that-that-that-that-that-girl)",1
Don't phunk with my heart (that-that-that-that-that-that-girl),1
"No, no, no, no",1
Don't phunk with my heart,1
[Hook: Fergie],0
I wonder if I take you home,0
"Would you still be in love baby? (love, love)",0
"In love baby (love, love)",0
I wonder if I take you home,0
"Would you still be in love baby? (love, love)",0
"In love baby (love, love)",0
I wonder if I take you home,0
"Would you still be in love baby? (love, love)",0
"In love baby (love, love)",0
I wonder if I take you home,0
"Would you still be in love baby? (love, love)",0
"In love baby (love, love)",0
[Outro: will.i.am],0
"Don't ya worry about a thing, baby",0
"'Cause ya know ya got me by a string, baby",0
"Don't ya worry about a thing, baby",0
"'Cause ya know ya got me by a string, baby",0
