line,annotated
[Intro],0
Uh.. uh uh uh uh,0
Uh.. wait a minute now,0
Uh-ohhhhhhhhhhhhhh!,0
"Uh, uh..",0
Can you hear me out there?,0
Lunatics.. is y'all ready?,0
Let me hear ya,0
Uh-ohhhhhhhhhhhhhh!,0
[Verse 1],0
I'm a sucker for corn rows and manicured toes (hey),1
Fendi capri pants and Parasuco's (alright),0
"The rise of Diddy and City, with one or two throws",0
I'm draftin' 'em outta high school straight into the pros,1
Who knows? I know and I love it when you make your knees,0
Touch your elbows and break it down low to the,0
Flo' and there you go now throw it on me slow,0
and,1
"Everytime I bust a rhyme, baby, ""Gimme Some Mo'""",1
"You say you like that, when I hit it from behind and I'll be",0
"Right back, yeah that's my very next line, I use it",0
"Time after time, when I'm speakin' my mind",0
It's no matter if I'm shootin' game to a pigeon or dime,0
"I ask her, ""Who that is, talkin' that shit about the 'tics?""",1
Somebody probably jealous 'cause they bitch got hit,0
But ain't nobody else droppin' shit like this,0
"Should we apologize? Nah fuck 'em, just leave 'em pissed, hey",1
[Chorus],0
"Andele andele, mami, E.I. E.I",0
Uh-ohhhhhhhhhhhhhh what's poppin' tonight?,0
"Andele andele, mami, E.I. E.I",0
"Uh-ohhhhhhhhhhhhhh,",0
"if the head right, Nelly there ery'night",1
[Verse 2],0
We can gamble to the,0
"Break of dawn, nigga, money long, nigga",0
"Pass up the skirt to talk to the thong, nigga",0
"Some say I'm wrong, but fuck it I'm grown, nigga",0
"If you ain't 'bout money then best be gone, nigga",0
"I'm flashy (uh), double takes when you walk past me",0
"Nasty, don't be scared boo, go 'head and ask me",0
"I drive fastly, call me Jeff Gord-on",1
in the,1
Black SS,1
"with the naviga-tion, see the",0
"Joint blaz-on, somethin' smells amaz-on, I got a",0
"Chick rollin' up, half black and Asi-an. Another",0
"One page-in, tellin' me to come home, her husband",0
On vacation and left her home alone. I used the,0
"V-12, powers; weight loss, powers",0
From,0
Phat Farm,1
to,0
Iceberg Slim,1
"in one shower,",0
get a,1
Room in Trump Towers,1
"just to hit for 3 hours,",0
kicked the,1
Bitch up out the room 'cause she used the word ours,1
", hey",0
[Chorus],0
"Andele andele, mami, E.I. E.I",0
Uh-ohhhhhhhhhhhhhh what's poppin' tonight?,0
"Andele andele, mami, E.I. E.I",0
"Uh-ohhhhhhhhhhhhhh,",0
"if the head right, Nelly there ery'night",1
[Verse 3],0
"Ayo, I smash-mouth a whole ounce, of that sticky, wash my",0
"Hands under a gold spout, when feelin' icky. Let",0
"Go off in a ho's mouth, I ain't picky. Start",0
"Frontin' when the shows out, whatchu mean?!",0
Twenty,1
"Inches when they roll ouuuuuuut, come and get me",1
.,0
Big,1
Faces when they fold ouuuuuuut,1
", is you wit me? Don't make me",0
"Pull that fo'-fo' ouuuuuuut, I keep it",0
"Closer when the dough ouuuuuuut, then I",0
Slide up in the,0
Escalade,1
", me and E gettin'",0
Solid like the Ice Capades and me and Heezy,0
"Frosty, Roger the Rabbit and Bugsy, you",1
"Understand me, wrapped wrists like mummies",1
. If,0
You compare me to your local grocery then,0
You'll see I got more karats than Aldi,0
"More bread than aisle G, then bag and scan me",0
"Sure like Al B.,",1
"meet the 'tics in Maui, hey",1
[Chorus],0
"Andele andele, mami, E.I. E.I",0
Uh-ohhhhhhhhhhhhhh what's poppin' tonight?,0
"Andele andele, mami, E.I. E.I",0
"Uh-ohhhhhhhhhhhhhh,",0
"if the head right, Nelly there ery'night",1
[Bridge],0
"St. Louis y'all, uh, uh",0
Uh-ohhhhhhhhhhhhhh,0
"Uh, can you feel that?",0
"Lunatics y'all, uh, uh",0
Uh-ohhhhhhhhhhhhhh,0
"Uh, uh, Uncle Phil up above y'all, uh, uh",0
Uh-ohhhhhhhhhhhhhh,0
"Yell it universal y'all, uh, uh",0
Uh-ohhhhhhhhhhhhhh,0
"Uh, uh, chillin' chillin' chillin' with the crew y'all",0
[Chorus],0
"Andele andele, mami, E.I. E.I",0
Uh-ohhhhhhhhhhhhhh what's poppin' tonight?,0
"Andele andele, mami, E.I. E.I",0
"Uh-ohhhhhhhhhhhhhh,",0
"if the head right, Nelly there ery'night",1
