line,annotated
[Verse 1: Kanye West],0
"I got a dirty mind, I got filthy ways",1
I’m tryna bathe my ape in your Milky Way,1
"I’m a legend,",1
"I'm irreverent,",0
I be reverend,1
I’ll be so fa-a-a-a-a-ar up,0
We don't give a fuh-uh-uck,0
Welcome to the danger zone,1
Step into the fantasy,1
You are not invited to the other side of sanity,1
"They callin' me an alien, a big headed astronaut",1
Maybe it's because ya boy Yeezy get ass a lot,0
[Verse 2: Katy Perry],0
You’re so hypnotizing,0
Could you be the devil?,1
Could you be an angel?,1
"Your touch, magnetizing",0
Feels like I am floating,0
Leaves my body glowing,0
They say be afraid,0
You’re not like the others,0
Futuristic lover,0
Different DNA,0
They don’t understand you,0
[Pre-Chorus: Katy Perry],0
You're from a whole 'nother world,1
A different dimension,1
You open my eyes,0
"And I’m ready to go, lead me into the light",1
[Chorus: Katy Perry],0
"Kiss me, ki-ki-kiss me",0
Infect me with your lovin',1
Fill me with your poison,1
"Take me, ta-ta-take me",0
Wanna be a victim,0
Ready for abduction,0
"Boy, you’re an alien",1
"Your touch, so foreign",0
It’s supernatural,0
Extraterrestrial,0
[Verse 3: Katy Perry],0
You're so supersonic,0
Wanna feel your powers,0
Stun me with your lasers,0
Your kiss is cosmic,0
Every move is magic,0
[Pre-Chorus: Katy Perry],0
You're from a whole 'nother world,1
A different dimension,1
You open my eyes,0
"And I’m ready to go, lead me into the light",1
[Chorus: Katy Perry],0
"Kiss me, ki-ki-kiss me",0
Infect me with your lovin',1
Fill me with your poison,1
"Take me, ta-ta-take me",0
Wanna be a victim,0
Ready for abduction,0
"Boy, you’re an alien",0
"Your touch, so foreign",0
It’s supernatural,0
Extraterrestrial,0
[Verse 4: Kanye West],1
I know a bar out in Mars,0
Where they driving spaceships instead of cars,1
Cop a Prada space suit about the stars,0
Getting stupid high straight up out the jars,0
"Pockets on Shrek,",0
rockets on deck,1
Tell me what's next? Alien sex,0
I'mma disrobe you,0
Then I'mma probe you,1
See I abducted you,0
So I tell you what to do,0
"I tell you what to do, what to do",0
[Chorus: Katy Perry],0
"Kiss me, ki-ki-kiss me",0
Infect me with your lovin',1
Fill me with your poison,1
"Take me, ta-ta-take me",0
Wanna be a victim,0
Ready for abduction,0
"Boy, you’re an alien",0
"Your touch, so foreign",0
It’s supernatural,0
Extraterrestrial,0
Extraterrestrial,0
Extraterrestrial,0
[Outro: Katy Perry],0
"Boy, you’re an alien",0
Your touch are foreign,0
It’s supernatural,0
Extraterrestrial,0
