line,annotated
"J'te donnerais pas ma confiance, même si tu prêche la parole du très haut",0
"J'me méfie des gens comme toi, j'oublie pas que la vodka a la couleur de l'eau",0
"Sa fait des années que j'attends sa, maintenant c'est moi contre vous tous",0
J'ai besoin que d'une photo et je te fais du mal en bluetooth,0
"Règlement de comptes dans un bar, la serveuse  à donnée le go",0
"1 balle, 2 balles, 3 balles (Oblah)",1
"Dit moi qui va me hagar, je l'invite a niqué sa dar's",0
"C'est vrai que je n'ai plus ce cœur khey, je suis un enfant de la DASS",0
"Je sais que tu m'aime pas depuis peu, c'est pas grave je t'en veux pas mon très cher",0
"Tu te manque la c'est plus pareil, une kalash sa coûte pas très cher",0
"La dernière fois que j'ai souffert, c'est quand papa m'a dit je pars",0
"Quand papa m'a dit je pars, il m'a dit Foued je ne veux pas que tu pleures",0
"Et j'me suis armé au cas ou, je me suis préparé au chaos",0
"J'ai volé la voix a garou, maintenant tu vas te faire hagar par ko",0
"Frère moi je suis pas comme toi, je me prendrais jamais pour un autre",0
"J'ai peut être vécu comme un chien, mais je veux mourir comme un homme",0
"J'préfère mourir d'une balle, que dans un lit d’hôpital",0
"Frère tu mérite une médaille, de la plus grosse des pédales",0
"Cette année j'me taille au de-blé , j'ai de la famille a Tizi",0
"J'ai de la famille a Tizi, 2-3 Uzis pour les traumatisés",0
"Non j'oubli pas qui je suis, avant quand on m'appelé Foued",0
"Je suis un enfant du désert, je suis un dz je ne peut pas me soumettre",0
"Personnes ne voulaient m'aider, Zaka m'a tendu la main",0
"Pour effacer mes pêchers, faudrait que je parte 300 fois a la Mecque",1
"J'ai des comptes à régler avec eux, je t'aime pas je te laisse pas le 22",0
"Je te menace je te cherche à 20 h, je te retrouve et je t'allume à 22",0
"Un traqueur et je sais ou t'étais, ton équipe ne pourra pas t'aider",0
"N'oublis pas gros ce que t'étais, je les baises sur la tombe a Jedi",0
"Fidèle à mes vrais amis, Fidèle à ma bien aimé",0
"Quand j'étais seul dans la street, c'est pas mes potes mais c'est eux qui m'aidaient",0
"Les tonnes de pêchers au compteur, je lèverais mon doigts au bandeurs",0
"Je lèverais mon doit pour chahad, tu verras ma tête au 20h",0
Kofs !,0
