line,annotated
"[Letra de ""El Mundo ABC""]",0
[Intro: Apache],0
"Oh baby, listen up!",1
"Esto se cuenta y no se cree, be ¡Yeh!",1
"Con ustedes, el último poeta hardcore",1
"From Caracas Venezuela, el a-b-c de las habilidades ¡Ah!",1
Es el Chamo González a.k.a. infinito ranking,1
[Verbo 1: Canserbero],0
"Analizar almas, analizar allá afuera alarma",0
Armas adueñadas andan,0
Arde alba aspirando al amor,0
Asfixiando almas alrededor,0
Bebiendo burda bandidos blasfemaban,0
"Brutalidad balurda, burocracia blindada",0
"Bestias brutas, bravas, balas",0
"Barrios bombardeaban, burgueses bailaban",0
Centauros con cadenas cabalgan ciudadelas,0
"Conciencia carente, consecuencia candela",0
Cañones capitulan completas comunidades,0
Comisaría consciente confabula cuando caes,0
"Demasiada droga, dicen disque divina",0
"Destruye, distorsiona, debilidad domina",0
Dinamita de delitos deja devastado demasiado,0
Durante dictadura de desgraciados,0
Enterado esta ese emperador,0
Engordando emolumentos echado en el edredón,0
"Engañando elude, él está estafando",0
Elector elogia evidentemente errando,0
Felicidad finalmente falleció,0
Favelas fatalidad fobias fijó,0
"Fornicación forzada, furia, frustración",0
Fariseos fanfarroneando ficción,1
Geografía gris galardonan gobernantes,0
"Gozando, gimiendo, ganancias galopantes",0
Germinan genocidas guerrilleros,0
"Gasolina genera guerras, gobierno gasta grandes guerreros",0
"Hache he hache ha, honestamente (hip-hop)",0
"Honor, humildad, heroísmo, habilidad",0
"He hecho himnos, he hecho historia",0
He hecho hitos haciendo hip-hop histeria hijos,0
Iglesia infiltra iluminatis infelices,0
Ira infundada inicia ignorando irse,0
"Interminable invierno, inclemente infierno",1
"Ideología ilógica, ilegítimo imperio",1
Jovial juez jodido jura jorobando justos,0
"Jeques, Judas, joven, jubilémoslos juntos",0
"¿Justicia? ¡ja! jacuzzi, joyerías",0
Jurásicos jurados justifican jerarquías,0
"Kilométrico, karma (Kpú) la literatura leve",0
"Letras lloran, lágrimas llueven",0
Los legisladores ladrones lucrándose lastiman,0
"La lealtad, la liberación, la libertad latina",0
Memorizando miré mucha mucha muerte,0
"Maldita maldad mueve montaña, masas mienten",1
"Mi madre murió, mi mejor mujer, mi mundo",1
"Mi memoria marcó, me muevo moribundo",1
Necesitando noches noctámbulo,0
"Numerosos niños nada nutridos, no",0
Nuestra naturaleza nos necesita,0
Nacen nefastos neonazis narcisistas,0
"Órdenes obligan odio, obscenidad osada",0
Orgullosos ofenden objetividad,0
"Oro ofrecido, ofensa olvidada",0
Organismos optan ordenar oscuridad,0
Pueblos parecen pensiones para puercos,0
"Perro piensa por policía,",0
pobres presos,1
"Precios, pintan paloma pa' presupuestos",0
"Pobreza plus popular, primos poseyendo puestos",0
¿Quiénes quieren quedarse quinientas quintas?,0
¿Quejarse? ¿quién? quedarse quién quita,0
"Quien queda quebrado, quemao' queda",0
"Quita queriendo quebrarte, quítese quien quiera",0
"Rastrean rondando, ruinas, ratas, racistas",0
Ricos robando recursos redactan revistas,0
"Religión reza, realidad reta",0
Reyes religiosos roban recibiendo rentas,0
Sociedades supuestamente socialistas,1
"Sucias, senadores sensacionalistas",1
Sueldos siguen socavando subsuelos,0
Suturando sin sedantes salas sin suero,0
Tyrone trata temas tratando tocar tu tímpano,0
"Taladrar tu tórax, trasegar todo tu tuétano",0
Témpanos tumbando titánicos,0
Tanta tecnología también te transmite tétano,0
"Una única unidad, usual utopía",1
"Unas urnas urgen, urgirán, urgían",0
"Uniformados, usualmente utilería",0
"Últimamente ultimados, ubre, umbría",0
Venezuela violada vilmente varias veces,0
Visionarios van vía venderse,0
"Visión viste venda, virgen vende velas",0
Violencia viaja velozmente vacunando venas,0
"World wide web, wonderful world",0
"Wild wild west, wpa web",0
Www punto El Canserbero punto com,0
"Ajá equis, ye y zeta",0
[Outro: Canserbero],0
Alumno respeta,0
Que yo sí sé rimar de la “A” hasta la “Z”,0
A to the B to the C ¡Oh!,0
Así es el mundo ABC,0
Así es el mundo ABC,0
"A veces, a veces",0
Así es el mundo ABC,0
"A veces, a veces",0
¡Hey-hey!,0
