line,annotated
"[Produced by ,indigo]",0
[Intro],0
Freak of nature...,1
Rise....,0
[Chorus],0
Euroz Dollaz Yeniz,1
Rainin’ Euroz Dollaz Yeniz,1
Euroz Dollaz Yeniz,1
Euroz Dollaz,1
Rainin’ Euroz Dollaz Yeniz,1
Euroz Dollaz,1
Rainin’ Euroz Dollaz Yeniz,1
Euroz Dollaz,1
Rainin’ Euroz Dollaz Yeniz,1
Yeah,0
[Pre-Verse 1],0
Cash makes the world go round,1
Cash makes your girl get down,1
Cash makes the world go round,1
Cash makes your girl get down,1
[Verse 1],0
I'm chopping bricks karate in my invisible Ferrari,1
"My car green like money,",0
your girl calls me papi,1
So I burned her a copy,0
fuck a CD I use floppy' s,1
Tired of skinny I need chubby,1
"Not Hilfiga but still Tommy, ya",1
I wanna be a millionaire so freaking bad,1
Get rich or crash trying get the things I never had,1
Then I wanna d-i-e with dead rock-stars I'm VIP,0
"Get famous at overseas, my girl half mutant half Japanese (Konichiwa)",0
[Bridge],0
"Japanese, Japanese",0
My girl help me to learn Japanese,0
"Japanese, Japanese",0
Yeah,0
[Chorus],0
Rainin’ Euroz Dollaz Yeniz,0
Rainin’ Euroz Dollaz Yeniz,0
Rainin’ Euroz Dollaz Yeniz,0
Oh...,0
[Verse 2],0
Mix makes you smell cash,0
Anything else I smell ass,0
Time goes fast but my weed burns faster,0
You be my slave and I'll be your master,0
"This is my time, I'm your favourite rapper",0
No one to blame and you never gonna stop me,0
Changing styles like chamelion,1
Triple my 0's to the million,1
Wanna make it rain like shower,1
Snacks give me power,0
Been puffin on that sour,0
Now paralyzed for hours,0
Too rare like smoke,0
In the sky I disappear,0
Never wanna be broke,0
So I take off like a space ship,0
I wish my girls were all icy,0
Clothes I wear so damn pricey,0
Food I eat so spicy (so spicy),0
So spicy,0
I wish my girls were all icy,0
Clothes i wear so damn pricey,0
Food I eat so spicy (so spicy),0
[Chorus],0
Rainin’ Euroz Dollaz Yeniz,0
Rainin’ Euroz Dollaz Yeniz,0
Rainin’ Euroz Dollaz Yeniz,0
"Euroz Dollaz Yeniz, Euroz Dollaz Yeniz",0
Euroz Dollaz Yeniz,0
[Outro],0
Tommy...,0
Yeah...,0
