line,annotated
[Intro],0
Do-Do-Do-Do-Don Joe,1
Marracash,0
Jake,0
[Strofa 1: Jake La Furia],0
Sono un errore di nostro Signore (seh),0
Qui per le strade d'inchiostro si muore,0
"Barre più mogano e smoking, roba per pochi",0
Odore di droga e di fiore,0
"Fra', di mestiere ancora spacco casse",1
Demetrio Stratos (seh),1
"Culto immortale, Fender Stratocaster",1
Vintage come le panette in cassette,1
Prese da Blockbuster (yeah),1
Scorre come fosse Nivea (oh),1
"Fiumi di bianca, crema di Bolivia (ah)",1
Giovani Berlusconi senza alternativa,1
"Senza tasse, anticipo dell'IVA",1
"Frate', La Furia manipola il ferro",1
"Magneto, Fassbender",1
Barre che vi rimescolano il gender,0
Per tutti quelli che stanno in manette,1
Dietro ad un Defender,1
[Ritornello: Marracash & Jake La Furia],0
Tu che parli di strada sei fake (fake),0
"Con bracciale e collana, ma fake (fake)",0
"La tua gang, il tuo cash, la tua",0
Bape,1
(fake),0
"Fake, fake, fake, fake",0
Chiedi scusa ai due rapper più pesi,1
Come Dolce & Gabbana ai cinesi,1
"Non sei Don, non sei Marra, né Jake",0
"Fake, fake, fake, fake",0
Allo specchio sono ciò che sembro,1
Ho dato il primo bacio al pavimento (yeah),0
Tu stai attento che da dove vengo,0
Le minchiate se le porta il vento,0
[Interludio: Marracash & Jake La Furia],0
Tu che parli di strada sei fake (fake),1
"Con bracciale e collana, ma fake (fake)",0
"La tua gang, il tuo cash, la tua Bape (fake)",0
"Fake, fake, fake, fake",0
[Strofa 2: Marracash],0
Ogni giorno fra prendo una medicina,1
"Si chiama ""fottersene""",1
E se fosse per me,1
Avrei chiuso già i social media,1
Mi sento in colpa perché sfamo bocche col rap,1
E lo devo alla mia famiglia (yeah),0
Pensavo di stare con lei,1
Ma lei invece stava con IBAN,1
(Ma vedi tu 'sta puttana di merda),0
"""Marra è pazzo, Marra è pazzo",1
"Tre anni che non butti un cazzo fuori""",1
Ma visto l'andazzo,1
Sto parlando ad un pupazzo,1
"Come faceva Bonolis, yeah",1
"Sono ancora acceso, frate' (frate')",1
Basta muovere la brace (uh),1
Ma per vincere la guerra (guerra),0
Devi perdere la pace,0
"Gioco in casa, non mi serve il Viagra",0
Ma una pillola per farmelo ammosciare,0
So che Pac-Man scappa dal fantasma,1
Ma che prima o poi si devono incontrare,1
[Bridge: Marracash],0
"Sono qui, sono in forma",0
So che aspetti il mio ritorno (il mio ritorno),0
"Marra, dai, rimetti tutti a posto",1
Manco fossi Marie Kondo,1
[Ritornello: Marracash & Jake La Furia],0
Tu che parli di strada sei fake (fake),0
"Con bracciale e collana, ma fake (fake)",0
"La tua gang, il tuo cash, la tua Bape (fake)",0
"Fake, fake, fake, fake",0
Chiedi scusa ai due rapper più pesi,1
Come Dolce & Gabbana ai cinesi,1
"Non sei Don, non sei Marra, né Jake",0
"Fake, fake, fake, fake",0
Allo specchio sono ciò che sembro,0
Ho dato primo bacio al pavimento (yeah),0
Tu stai attento che da dove vengo,1
Le minchiate se le porta il vento,1
[Outro: Don Joe],0
Tu che parli di strada sei fake (fake),0
"Con bracciale e collana, ma fake (fake)",0
"Non sei Don, non sei Marra, né Jake",0
"Fake, fake, fake, fake",0
