line,annotated
[Intro],0
"Aye, gang, gang, gang, gang, gang",1
Sosa on the beat,1
"Gang in this bitch, gang in this bitch, nigga, gang in this bitch, gang in this bitch, nigga",1
"Ayy, ayy, ayy, ayy",1
"Gang, bitch, bang, nigga, bang, nigga, bang, nigga, bang, nigga, gang, nigga, gang, nigga",1
"Ayy, ayy, ayy",1
[Hook],0
"I'm a gorilla in a fuckin' coupe, finna pull up to the zoo, nigga",1
"Who, nigga? Who the fuck is you? I don't know, nigga",0
"No, nigga, pull up on yo block, we gon' blow, nigga",0
"Go, nigga, run, nigga, run for the po', nigga (police, nigga)",0
"Gas what I smoke, nigga (nigg,a smoke)",1
"Feds at my door, jump out the window, nigga (the window)",0
"No, you can't get no money, silly hoe (silly hoe)",0
"I just hit a stain, faneto (faneto)",1
[Post Hook],0
"Ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy, Faneto!",1
[Verse 1],0
"Talkin' out his neck, pistol to his throat (to his throat, bang)",1
"Blow this motherfucker, he gone choke (rawr bang)",0
"On the ground, on the floor",0
"Someone pick him up, take him to the morgue (to the fuckin' thang)",1
"I'm ridin' through New York (skrrt skrrt, bang bang)",1
"Finna go and shoot New Jersey up (bang, bang, bang, bang)",1
"Tryna take my chain, I ain't goin' (I ain't goin, nigga)",1
"We gon' come and blow New Jersey up (bang, bang, bang)",1
You want something hurried up? (Bang nigga),0
"Boy who you tryna to rob, bitch, we 30'd up (30'd up, bang bang)",1
"Just left Wokcano, bitch, I'm Curry'd up (Curry'd up, gang gang)",1
"Cheese in my pockets, Velveeta (Velveeta)",1
[Pre-Hook],0
"Ayy, ayy, ayy, ayy",1
[Hook],0
"I'm a gorilla in a fuckin' coupe, finna pull up to the zoo, nigga",0
"Who, nigga? Who the fuck is you? I don't know, nigga",0
"No, nigga, pull up on your block, we gon' blow, nigga",0
"Go, nigga, run, nigga, run for the po', nigga (police, nigga)",0
"Gas what I smoke, nigga (what I smoke)",1
"Feds at my door, jump out the window, nigga (the window)",0
"No, you can't get no money, silly hoe (silly hoe)",0
"I just hit a stain, faneto (faneto)",1
[Post Hook],0
"Fine-, aye, fine-, aye",1
[Verse 2],0
"I just hit a stain, fanagoe (finesse)",0
"I just hit a stain, faneto (finesse)",0
I just got 20 for a fuckin' 4 (20 bands nigga),0
I spent that shit on a fuckin' coat (on my motherfuckin' coat),0
"Ripped my ear, now I got one earlobe (bling bling)",1
"But I'ma still put some diamonds on it (gang gang, bling bling)",0
"Baby girl, these diamonds are not phony (they not phony, huh?)",0
"This car I got, it came from Barcelona (Barcelona, huh?)",1
"These shoes I got, came from fuckin' Paris (15hun?)",1
This bitch mad 'cause I don't do marriage (I don't want no marriage),0
"Let a nigga slide, no we don't do scary (skrrt skrrt, dah)",0
"We tote pistols, no we don't do worry (bang bang, bang, bang, bang, bang)",0
[Hook],0
"I'm a gorilla in a fuckin' coupe, finna pull up to the zoo, nigga",0
"Who nigga? who the fuck is you? I don't know, nigga",0
"No, nigga, pull up on your block, we gon' blow, nigga",0
"Go, nigga, run, nigga, run for the po', nigga (police, nigga)",0
"Gas what I smoke, nigga (nigga, smoke)",1
"Feds at my door, jump out the window, nigga (the window)",0
"No, you can't get no money, silly hoe (silly hoe)",0
"I just hit a stain, faneto (faneto)",1
