line,annotated
[Intro],0
"Zamdane, Zamdane",0
"Zamdane, hey, ça fait",0
[Couplet 1],0
Les étoiles alignées tracent la seule issue,1
Est-ce que la mort est la solution ?,1
Putain d'merde je me sens seul ici,1
J'vois mes amis se lasser de ce décor salace,1
Moi j'parle pas tant que mon ventre est vide,1
Plus jeune la haine nous a nourris,1
Dehors fait froid faudra rentrer vite,1
L'problème vient d'eux ils veulent qu'on s'explique,1
Merde... J'comprends plus r,1
Compense bulles d'air avec des produits bizarres,1
"Enfant du-per, j'm'en branle du blé",1
J'marche sans conscience comme un noctambulaire,1
Sous les rayons lunaires j'vois mes forces se décupler,1
J'suis dans le labo s'il le faut j'te découpe là,1
J'suis qu'un fou gars,0
J'pisse sur tes faggots,0
Depuis que j'ai la fougue je crache que du fuego,1
"Soir ce on est cinq on a roulé 10 cônes j'ai, pas le droit de caner",1
"Y'a tout des biatchs, des canettes, deux trois icônes",0
Vas-y ricanes pendant que je me barre à Cannes,1
J'sors pas qu'un bout d'herbe,1
Tu veux fumer mais y'a deux secondes tu m'boudais,1
"Moi, faut que je me détende comme Bouddha en touchant son body",1
Pourquoi j'devrais bader ? Mon excuse est bidon,1
[Refrain] x2,1
Bidon,1
J'rappe bien j'ai la langue du Python,1
Tu comprends pas le tiers sale pute,1
Quand je tire ça fait mal je fais pas comme Cupidon,1
Si je tire je vise dans le mille,1
Pas de ceux qui shoot dans les mollets,1
Je lâche un mollard car le taga est mielleux,1
[Couplet 2],0
Faire la morale ça j'crois pas que c'est mon rôle,1
Le diable me sourit mais ce n'est pas forcément drôle,1
"Quand mes forces me manquent j'rôde, entre... Univers inconnus",0
J'prie... mais j'trouve Lucifer incorruptible,0
Vu que... Je prends du recul j'vois l'décor s'éloigner,1
Vole moi mon bonheur,1
et,0
je t'égorges tes poignets,1
Et j'croise les deux mains pour que le sort me soit favorable,1
Que j'garde espoir comme Favaro,1
Démons et tourments c'est ça qu'il faut virer,0
Mes larmes me coûtent cher mais ma haine est abordable,1
"J'vois tous ces cokés, j'vois tous ces cocus",0
J'me tape ta meuf et elle m'envoie un coucou,1
"J'vois tous ces drogués, j'vois tous ces dragueurs",0
Mais j'les survole gros je chill sur mon dragon,1
Mon cœur les drames le piègent (pas grave),1
On pleure des larmes de pierre (à table),1
"Mon cœur les drames le piègent,",1
on pleure des larmes de pierre,0
"Mon cœur les drames le piègent,",1
on pleure des larmes de pierre (bâtard),0
"Mon cœur les drames le piègent, on pleure des larmes de pierre",0
"J'ai, tout sur les épaules et je suis seul à m'épauler frère",1
Mon linceul à mes côtés mais...,1
"Un 15 feuilles m'a étonné,",1
4-5 deuils à déplore,1
r peut-être et,0
"J'étouffe mes pouvoirs,",0
découpe les pouffes,1
Je sors de Poudlard pour mieux les chourav,1
J'affronte un sage toi t'écoutes des couguars,1
Nos chemins se séparent d't'façon,1
J'suis pas de ces terriens,1
mais je ne dis pas que c'était rien passons,0
"J'ai des prods à pénétrer,",1
des trésors à déterrer,1
"Donc, je tire les voiles",1
puis j'dors,0
J'suis guidé par l'étoile du Nord,1
En rentrant du siège j'vois les gradés applaudir,0
J'suis l'enfant du siècle je vais me taper Aphrodite,1
Toi tu comptes appeler la police,1
Nique (nique),1
"Niquez vous tous, quoi ?!",1
Toi tu comptes appeler la police j'suis sûr que ta mère t'a vomie (bâtard),1
Nique (nique),0
"Niquez vous tous, j'suis...",0
"Au dessus des pyramides j'use ma drogue,",1
j'fume j'baraude,0
"Accro au pur remède,",1
j'tue la prod salope,1
