line,annotated
[Intro:,0
Trugoy the Dove,0
& 2-D],0
"Hahahahahahahahahahahahahahahahaha, Feel Good",1
"Sha, sha-ba-sha ka, sha-ba-, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"(Change) Sha, sha-(Change) ba-da (Change), sha-ba-da (Change)",1
"(Change) Sha, sha-(Change) ba-da (Change), sha-ba-da (Change)",1
[Verse 1: 2-D],0
City's breaking down on a camel's back,1
"They'll just have to go, 'cause they don't know wack",1
"So all you fill the streets, it's appealing to see",1
You won't get undercounted 'cause you're damned and free,1
"You got a new horizon, it's ephemeral style",1
A melancholy town where we never smile,1
And all I wanna hear is the message beep,1
"My dreams, they come a kissin' 'cause I don't get sleep, no",1
*Beep*,1
[Chorus: 2-D],0
"Windmill, windmill for the land",1
Turn forever hand in hand,1
Take it all there on your stride,0
"It is aching, falling down",1
"Love forever, love is free",1
"Let’s turn forever, you and me",1
"Windmill, windmill for the land",1
Is everybody in?,1
[Verse 2: Trugoy the Dove],0
"Laughin' gas these hazmats, fast cats",1
Linin' 'em up like ass cracks,1
Lay these ponies at the track,1
It's my chocolate attack,1
"Shit, I'm steppin' in hotter this year (Yeah)",0
Care Bear reppin',1
it harder this year (Yeah),0
"Watch me as I gravitate, ha-ha-ha-ha-ha!",1
"Yo, we gon' ghost town this Motown",1
"With yo' sound, you in the blink",1
"Gon' bite the dust, can't fight with us",0
"With yo sound, you kill the Inc.",1
"So don't stop, get it, get it (Get it)",1
Until you jet ahead,1
"And watch the way I navigate, hahahahaha",1
(Ha! Haha! Haha! Haha! Ha!),1
[Refrain: 2-D],0
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
"Sha, sha-ba-da, sha-ba-da, Feel Good",1
[Chorus: 2-D],0
"Windmill, windmill for the land",1
Turn forever hand in hand,1
Take it all in on your stride,0
"It is sinking, falling down",1
"Love forever, love is free",1
"Let's turn forever, you and me",1
"Windmill, windmill for the land",1
Is everybody in?,1
[Outro: Trugoy the Dove &,0
2-D,0
],0
"Don't stop, get it, get it (",0
"Sha, sha-ba-da, sha-ba-da",0
),0
Peep how your captain's in it (,0
Feel Good,0
),0
"Steady, watch me navigate, ha-ha-ha-ha-ha! (",0
"Sha, sha-ba-da, sha-ba-da, Feel Good",0
),0
"Don't stop, get it, get it (",0
"Sha, sha-ba-da, sha-ba-da",0
),0
Peep how your captain's in it (,0
Feel Good,0
),0
"Steady, watch me navigate, ha-ha-ha-ha-ha! (",0
"Sha, sha-ba-da, sha-ba-da, Feel Good",0
),0
"Sha, sha-ba-da, sha-ba-da, Feel Good (Hahaha!)",1
"Sha, sha-ba-da, sha-ba-da, Feel Good (Hahaha!)",1
"Sha, sha-ba-da, sha-ba-da, Feel Good (Hahaha!)",1
"Sha, sha-ba-da, sha-ba-da, Feel Good (Hahahahahaha!)",1
