line,annotated
[Intro: will.i.am],0
"(Four, tres, two, uno)",0
"Listen up y'all, 'cause this is it",1
The beat that I'm banging is delicious,1
[Verse 1: Fergie],0
"Fergalicious definition, make the boys go loco",0
They want my treasures so they get their pleasures from my photo,0
"You can see me, you can squeeze me",0
"I ain't easy, I ain't sleazy",0
I got reasons why I tease 'em,0
Boys just come and go like seasons,0
[Pre-Chorus 1: Fergie &,0
will.i.am,0
],0
Fergalicious,0
(So delicious),0
"But, I ain't promiscuous",1
And if you was suspicious,0
All that shit is fictitious,0
I blow kisses (Muah!),0
"That puts them boys on rock, rock",1
And they be lining down the block,0
Just to watch what I got,0
"(Four, tres, two, uno)",0
[Chorus: Fergie],0
"It's so delicious (It's hot, hot)",0
"It's so delicious (I put them boys on rock, rock)",0
It's so delicious (They want a taste of what I got),0
"I'm Fergalicious (T-t-t-t-t-tasty, tasty)",0
[Interlude 1: Fergie],0
Fergalicious def-,0
Fergalicious def-,0
"Fergalicious def- (Def-, def-, def-, def-...)",0
[Verse 2: Fergie &,0
will.i.am,0
],0
"Fergalicious definition, make them boys go crazy",0
They always claim they know me,0
"Comin' to me, call me Stacy (Hey, Stacy!)",1
"I'm the F to the E-R-G the I, the E",0
And can't no other lady put it down like me,0
[Pre-Chorus 2: Fergie &,0
will.i.am,0
],0
I'm fergalicious,0
(So delicious),0
My body stay vicious,0
"I be up in the gym, just working on my fitness",0
He's my witness,0
"(Ooh, wee!)",0
"I put your boy on rock, rock",0
And he be lining down the block,0
Just to watch what I got,0
"(Four, tres, two, uno!)",0
[Chorus: Fergie],0
"It's so delicious (It's hot, hot)",0
"It's so delicious (I put them boys on rock, rock)",0
It's so delicious (They want a taste of what I got),0
I'm fergalicious,0
[Interlude 2: Fergie],0
H-h-h-h-hold up! Check it out!,0
[Bridge: Fergie],0
"Baby, baby, baby",0
If you really wanna play,0
"Honey, get some patience",0
Maybe then you'll get a taste,0
"Of my tasty, tasty",0
I'll be laced with lacey,0
"It's so tasty, tasty",0
It'll make you crazy,0
[Refrain: will.i.am],0
"T to the A to the S-T-E-Y, girl, you tasty",1
"T to the A to the S-T-E-Y, girl, you tasty",1
D to the E to the L-I-C-I-O-U-S,0
"To the D, to the E to the",0
"To the, to the... (Hit it, Fergie)",0
[Verse 3: Fergie],0
"All the time I turn around, brothas gather 'round",1
"Always looking at me up and down, looking at my uhhh",1
"I just wanna say it now, I ain't trying to 'round up",0
"Drama little mama, I don't wanna take your man",0
And I know I'm coming off just a little bit conceited,0
And I keep on repeatin' how the boys wanna eat it,0
"But I'm tryna tell, that I can't be treated like clientele",0
[Pre-Chorus 1: Fergie &,0
will.i.am,0
],0
'Cause they say she delicious,0
(So delicious),0
"But, I ain't promiscuous",1
And if you was suspicious,0
All that shit is fictitious,0
I blow kisses (Muah!),0
"That puts them boys on rock, rock",0
And they be lining down the block,0
Just to watch what I got,0
"(Four, tres, two, uno!)",0
[Chorus Variation: Fergie],0
"It's so delicious (Aye, aye, aye, aye)",0
"It's so delicious (Aye, aye, aye, aye)",0
"It's so delicious (Aye, aye, aye, aye)",0
"I'm Fergalicious (T-t-t-t-t-tasty, tasty)",0
"It's so delicious (Aye, aye, aye, aye)",0
"It's so delicious (Aye, aye, aye, aye)",0
"It's so delicious (Aye, aye, aye, aye)",0
I'm Fergalicious (T-t-t-t-t-t-t-t-t),0
[Outro: will.i.am &,0
(Fergie),0
],0
"T to the A to the S-T-E-Y, girl, you tasty",0
"T to the A to the S-T-E-Y, girl, you tasty",0
"T to the A to the S-T-E-Y, girl, you tasty",0
"T to the A to the, to the, to the, to the",1
"(Four, tres, two, uno)",0
To the D to the E to the L-I-C-I-O-U-S,0
To the D to the E to the L-I-C-I-O-U-S,0
To the D to the E to the L-I-C-I-O-U-S,0
"To the D to the E to the, to the, to the, to the",0
"(Four, tres, two, uno)",0
"T to the A to the S-T-E-Y, girl, you tasty",1
"T to the A to the S-T-E-Y, girl, you tasty",1
"T to the A to the S-T-E-Y, girl, you tasty",1
"T to the A to the, to the, to the, to the",1
"(Four, tres, two, uno)",0
To the D to the E to the L-I-C-I-O-U-S,0
To the D to the E to the L-I-C-I-O-U-S,0
To the D to the E to the L-I-C-I-O-U-S,0
"To the D to the E to the, to the, to the, to the...",0
