line,annotated
[Intro: Porchy &,0
Oxxxymiron,0
],0
"Ye-e-e-ah, it's Porchy, yeah",0
Y'all! Чё,0
[Verse 1: Oxxxymiron],0
"Окна на загаженный бетон, небо...",1
"Цокольный этаж, панельный дом — LEGO",1
"Вечное бодание за кусок хлеба, плод эго —",1
"Вот, как зарождается hip-hop",1
"Я не был там, где Sefyu — Molotov",1
"Booba, Sexion d'assaut",1
", Carlo Cox",0
"Но я рос под вытьё басов, сорняком, всему назло:",0
"Через водостоки, шлакоблоки к стробоскопам",0
"Цепко целясь, как росток — это мой калейдоскоп",0
Двадцать лет Европы — словно срок;,0
Я помню всё: автостоп и Лейтонстоун...,1
"Эй, гарсон, налей по сто, вспомни «Вальс-Бостон»",1
Пока склон под колесом не станет взлётной полосой!,1
"Телик учит пацана: «Делай так, сынок, потребляй»",1
"Кому — марципан, кому — ацетон",1
"А я верил в чудеса, грезил перед сном",0
"Будто мой вéлик — Буцефал, а я — Ланселот!",0
[Hook: Oxxxymiron],0
Это Flashback,0
Этот sound тебя высечет,0
Flashback,0
Назад в Берлин 2000-ых,0
Flashback,0
"Я сказал: ""Время выжечь их!""",0
Flashback,0
Назад в Париж 2000-ых,0
Flashback,0
"Не бывал ни там, ни там",0
Но впитал тот hip-hop; этот sound нас воспитал,0
Помнишь — был подвал? Нынче зал многотысячный,0
И этот sound тебя высечет!,0
[Verse 2: Porchy],0
Keep it righteous in a crisis,0
Stay real until kingdom come,0
You won’t win this if your spineless,0
This is for the glorious,0
"Cops up in the city crooked, trying to frame dozens",0
"We moving like Shinobi boy, I dare you say something",0
I told him he could catch up but he broke a leg,0
And I will always mean it when I show respect,0
"Keep it trill, I ain't stopping until I see a fucking mil",0
"Fuck a deal, I ain't selling what I built",0
I’ma turn it up and pop a pill,0
"I’ma take it all, I give a fuck about how feel",0
Know this shit is hotter than Brazil,0
"You can try to take the throne, but just be ready for the kill",0
I be switching styles Amazonia wild,0
Ready I ain't in it for the thrill,0
[Hook: Oxxxymiron],0
Это Flashback,0
Этот sound тебя высечет,0
Flashback,0
Назад в Берлин 2000-ых,0
Flashback,0
"Я сказал: ""Время выжечь их!""",0
Flashback,0
Назад в Париж 2000-ых,0
Flashback,0
"Не бывал ни там, ни там",0
Но впитал тот hip-hop; этот sound нас воспитал,0
Помнишь — был подвал? Нынче зал многотысячный,0
И этот sound тебя высечет!,0
