line,annotated
Forever on some fly shit,0
"I'mma draw the line, you niggas pick who you gone ride with",0
Simple ass niggas happy because they fucked my side bitch,0
But she just mad at me cause she ain't the one I ride with,0
Drop down and pick yo heart up off the floor girl,0
"And quit tryna convince me that yo ass is not a ho, girl",0
Wonder why I'm not picking up my phone well,0
The last twelve months months I done traveled 'cross the whole world,0
"And niggas hoping I'ma flop but, meanwhile I've been getting paid on every stop",0
Neighborhood nigga still good on every block,0
"Still bust on any nigga acting like he can't be shot, hol' up",0
I got an extra clip for the johnny still,0
"Burner on my lap, only difference is the wheels",0
Murder is a fact when you out here in the field,0
Cause jealous niggas dealing with emotions only bitches feel,0
And nine times out of ten they just want a friend,0
But I've been real before rap so I won't pretend,0
Tell em to they face all flaws all the flaws that I'm noticing,0
I've never fucked with your type and I won't begin,0
"And then its ""oh we on this high horse""",0
But bottom line bitch nigga this is my horse,0
Never kill nothing you just wait on it to die first,0
But this gone be the season that you vulture niggas fly north,0
Drop classic after classic,0
"Streets on fire, soft rappers can't match this",0
I ain't doin features even if they got the cash,0
Me and Blacc Sam ballin out the shop on slauson ave look,0
There's way more profit in these clothes,0
So I give away this music and make double back in shows I,1
360 myself then I exercise control,1
IHussle.com my digital Louis store,1
Tell 'em catch up now or find out later,0
I'm revenge in the form of success to all haters,0
Where a benz is a form of respect to spectators,0
And your friends keep it real for a sec then switch later,0
In this material world where a thought is contagious,0
Insecurity is created cause niggas is less famous than,0
"Most the time, they just in it for these hoes",0
So it's fuckin up their lives once she sees there's no control,0
