line,annotated
[Produced by Milk Dee],1
[Intro],0
"Whoa, ooh",1
Ooh-hooh,1
"No, no, no",1
[Verse 1],0
"See, I don't know why I liked you so much",1
I gave you all of my trust,1
"I told you, I loved you",1
Now that's all down the drain,1
You put me through pain,1
I wanna let you know how I feel,1
[Hook],0
"Fuck what I said, it don't mean shit now",1
"Fuck the presents, might as well throw 'em out",0
"Fuck all those kisses, they didn't mean jack",1
"Fuck you, you ho, I don't want you back",1
"Fuck what I said, it don't mean shit now",1
"Fuck the presents, might as well throw 'em out",0
"Fuck all those kisses, they didn't mean jack",1
"Fuck you, you ho, I don't want you back",1
[Verse 2],0
"You thought you could keep this shit from me, yeah",1
"Ya burnt bitch, I heard the story",1
"You played me, you even gave him head",1
Now you're askin' for me back,1
You're just another act,1
"Look elsewhere, 'cause you're done with me",1
[Hook],0
"Fuck what I said, it don't mean shit now",1
"Fuck the presents, might as well throw 'em out",0
"Fuck all those kisses, they didn't mean jack",1
"Fuck you, you ho, I don't want you back",1
"Fuck what I said, it don't mean shit now",1
"Fuck the presents, might as well throw 'em out",0
"Fuck all those kisses, they didn't mean jack",1
"Fuck you, you ho, I don't want you back",1
[Bridge],0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah",0
[Verse 3],0
"You questioned, did I care?",1
You could ask anyone,1
I even said you were my great one,1
Now it's all over,1
But I do admit I'm sad,1
It hurts real bad,1
"I can't sweat that, 'cause I loved a ho",1
[Hook],0
"Fuck what I said, it don't mean shit now",1
"Fuck the presents, might as well throw 'em out",1
"Fuck all those kisses, they didn't mean jack",1
"Fuck you, you ho, I don't want you back",1
[Outro:],0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah",0
"Oh-oh, oh-oh, uh-uh, yeah (It don't mean shit now)",0
"Oh-oh, oh-oh, uh-uh, yeah (Might as well throw 'em out)",0
"Oh-oh, oh-oh, uh-uh, yeah (They didn't mean jack)",0
"Oh-oh, oh-oh, uh-uh, yeah (I don't want you back)",0
"Oh-oh, oh-oh, uh-uh, yeah (It don't mean shit now)",0
"Oh-oh, oh-oh, uh-uh, yeah (Might as well throw 'em out)",0
"Oh-oh, oh-oh, uh-uh, yeah (They didn't mean jack)",0
