line,annotated
[Intro],0
Got me a new Rollie,1
(You can't even afford that),1
"Gotti Gotti, ah (Take off your headphones)",1
"Gotti Gotti, uh",1
Gotti Gotti (Hahahaha!),1
[Chorus],0
"Came up Blood gang (Gang), 30 bang (Gang)",1
"Scum Gang, big choppa, big thang, let your nuts hang",0
"Who they? (Gang), don't say (Gang, gang)",0
"BBA change your mood, ayy, any day",0
"Gotti Gotti, cookin' up, speed it up",1
"Double cup, Xanny cup, booted up",1
"Mollied up, molly up, break it up",1
"Cop it, then I serve it up, give it up",1
Gotti Gotti,1
[Verse],0
Fuck with my day ones,1
"Yeah, you know I flooded the chain once",1
"Got the money, and I split it with day ones",1
"She ain't fuck me back when I was lame, nah",0
"Yeah, you know I do my dance (Do it)",0
"In the club (Hey), throwin' dough",0
"Rack it up (Rack it), shake it up",0
"Watch me do it, how I bust it up (Ooh), I mix it up",0
"Then I hit her with the blicky, uh",1
"So drip it, drip it, drip it, drip it",0
"You ain't got no money, you can keep her (Pew, pew, pew)",0
"Bitch, I got my Nina, I'ma squeeze her",1
"If you really wanna meet her, she a greeter",1
"It was really nice to meet ya, I don't need ya (I don't need her)",0
I pray to God that my niggas gon' eat (I pray to god),0
I pray to God that my family gon' see (I pray to god),0
Prayin' that the Lord take a chance with me,0
"Wouldn't come when I was up, I was on the wrong things (Mom, please)",0
"I ain't silly, ain't no dumb nigga, are you dumb, nigga?",1
"Are you stayin' with the pump, nigga? Fuck is up, nigga?",1
"Is you mad? You's a fuck nigga, I don't trust niggas",1
"Scum Gang, chew 'em up, nigga, we don't fuck with ya",1
[Chorus],0
"Oh, came up Blood gang (Gang), 30 bang (Gang)",1
"Scum Gang, big choppa, big thang, let your nuts hang",0
"Who they? (Gang), don't say (Gang, gang)",0
"BBA change your mood, ayy, any day",0
"Gotti Gotti, cookin' up, speed it up",1
"Double cup, Xanny cup, booted up",1
"Mollied up, molly up, break it up",1
"Cop it, then I serve it up, give it up",1
Gotti Gotti,1
[Outro],0
The Gotti Gotti,1
"Who, who really with the money, money?",1
"Who, who really with the Gotti Gotti?",1
"Who, who really with the money, money? Who?",1
"Do my dance, hit my dance",0
"Fifty bands, hunnid bands, all my dance",0
"Mollied up, molly up, give it up",1
"Cop it, then I serve it up, give it up",1
"Really with the got it, got it",1
"Who, who really with the Gotti, Gotti?",1
"Who, who really with the?",1
