line,annotated
[Intro: 6ix9ine],0
"Niggas iffy, uh, Blicky got the stiffy, uh",1
"Got the blicky, uh, drum, it holds fifty, uh",1
Scum Gang!,1
[Verse 1: 6ix9ine],0
"Pop these niggas like a wheelie, nigga, you a silly nigga",1
In the hood with them billy niggas and them Hoover niggas,1
"You run up and they shootin' niggas, we ain't hoopin', nigga",1
"Yo KB, you a loser, nigga, up that Uzi, nigga",1
"On the stoop, crills in my drawers, your girl on my phone",1
"She wanna fuck, but keep her clothes on, I only want the jaw",1
Man that's really all I use her for as I kick her out the door,1
"I don't want her, you can keep the whore, she fiendin' for some more",0
"In New York my niggas don't Milly Rock, my niggas money bop",1
"Blow a case, a nigga throwin' shots, I run 'em off they block",1
"Quarter milli in the stash box, I grinded for my spot",1
Niggas talkin' 'bout that cash but my bag worth alot,0
"I don't fuck with no old hoes, only new hoes",1
"Put my dick in her backbone, I pass her to my bro",0
"I don't love her, that's a sad ho, she a bad ho",0
"I'ma fuck her, then I dash home, to the cash ho",0
[Chorus: 6ix9ine],0
"I'm on some rob a nigga shit, take a nigga bitch",1
"Do the dash in the whip, count the cash in the whip",0
"I pull up with a stick, I let that shit hit",1
Shout out ******* but I fucked that niggas bitch,0
[Verse 2: Offset],0
Offset! Diamonds hittin' (Hittin'),0
"When the boss talk, bitch, listen, huh (Hey, hey)",0
"We get ya biscuit, huh (Biscuits)",0
"I sic out my dogs, they vicious, huh (Rr, rr)",0
"Fuck these bitches, huh",0
"Had to run up the bag in the kitchen, huh (Bag, bag)",0
My nigga on stick shift (Stick shift),0
"Get air lift, nigga, on some real shit, huh (Woo!)",0
Blow up the NAWF (NAWF),1
It's all in them drawers (It's all in them drawers),0
"Let me see my opp (Opps), ooh, 30 on my Glock (Glocks)",0
Plug 'em like a sock (Sockets),0
Trap out the pot (Trap out),0
"Carbon grip the cartridge (Car, brr)",0
Trap whip the marks (Hey),0
My rock cost milli' (Milli),0
I take care of village (Village),0
My bitch the realest (Realest),1
Wraith cost half a mili (Wraith),1
"Hermes, Balenci' (Hermes)",1
My bitch Blooded like Clifford (Blooded),1
Lambo speed shiftin' (Lambo),1
Get shot in your back like Ricky (Baow),1
Glock .40'll give you a hickey,0
Smokin' on cook like a hippy (Cookie),0
She smoke up the dope on a visit (Smoke up),0
"We hold it up first, then we blitzin' (Blitz)",0
"R.I.P. to Pistol (Pistol), get whacked off when I whistle",1
"You got caught down back, you a victim",1
Niggas ain't showin' no sympathy,0
Better think twice before you start dissin' me,0
[Verse 3: 6ix9ine],0
"Niggas iffy, uh, Blicky got the stiffy, uh",1
"Got the blicky, uh, drum it holds fifty, uh",1
"Move milli', all my niggas on fifty, uh",0
"Talk down, pew pew pew, you silly, uh",0
"Hit a stain, fifty bands, all hunnids",0
Spinning through ya block like a pop shove-it,1
"Shoot at me I'm shooting back, I'm getting buckets",1
"I ain't wanna take his life but nigga, fuck it",0
[Chorus: 6ix9ine],0
"I'm on some rob a nigga shit, take a nigga bitch",1
"Do the dash in the whip, count the cash in the whip",0
"I pull up with a stick, I let that shit hit",1
Shout out... but I fucked that nigga bitch,0
"I'm on some rob a nigga shit, take a nigga bitch",1
"Do the dash in the whip, count the cash in the whip",0
"I pull up with a stick, I let that shit hit",1
Shout out... but I fucked that nigga bitch,0
[Outro],0
Scum Gang!,1
