line,annotated
[Intro],0
Zeg P on the track ,0
beat,0
[Couplet 1 : Koba LaD],0
La moula,0
(moula),0
", la monnaie",0
(monnaie),0
et l'argent sale nous a maudit,0
(maudit),0
La moula,0
(moula),0
", la monnaie, j’devais sortir de chez moi avant midi",0
(besoin),0
La rue m'a appris d'pas faire confiance et de me mêler que de mes affaires,0
(de mes affaires),0
"Toujours rester à n’pas faire le fier et pour en avoir plus, faut faire plus d'efforts",0
(encore),0
Compagnons depuis l'époque du seum et j'vis plus les intrusions en soum,0
"J'ai pas percé tard, Audi 2018 S3 full options tout noir 'vec un pétard",0
"Ne pas s'faire péter, gonfler le butin, finir riche quoi qu'il arrive même si j’en bute un",0
"Seize heures, j’récupère, vingt heures, j'récupère et j’vais tout arrêter que si j'suis en perte",0
(que si j'suis en perte),0
[Pré-refrain : Koba LaD],0
D'la moula,0
(moula),0
", d’la monnaie",0
(monnaie),0
"L'argent, dans c'bas monde, a pris l'dessus",0
(dessus),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"Si tu montes trop vite, tu t'fais descendre",0
(bang),0
"Crois-moi, l'être humain est hypocrite",0
"Et ça, ça provoque beaucoup de quiproquos",0
(de quiproquos),0
Donc t'es obligé de montrer que,0
"Celui qui s'avance, tu l'allumes à l'AK, oh",0
[Refrain : Heuss L'enfoiré & Koba LaD],0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"L'argent, dans c'bas monde, a pris l'dessus",0
(dessus),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"Si tu montes trop vite, tu t'fais descendre",0
(bang),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"L'argent, dans c'bas monde, a pris l'dessus",0
(dessus),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"Si tu montes trop vite, tu t'fais descendre",0
[Couplet 2 : Heuss L'enfoiré],0
(hé),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"J'm'y remets, tu m'remets un rre-ve",0
"J'la remets, j'suis repeint, j'suis refait, mon re-fré",0
"George Moulaga des Hauts-d'-Seine, tu connais",0
(hé),0
J'propose d'la moula affichée au menu,0
"Tu reconnais ma tenue, langage est soutenu",0
(skch),0
"Le gang est torse velu, cette vie-là, mes gars l'ont tous voulu",0
(skch),0
"Mes esprits ont timba la hnoucha, j'ai benda",1
"Standa, j'suis réglo, c'est réglé (hé)",1
"Viens en Europe, y a d'la drogue et du bénéf', béné', béné', bénéfices",0
"D'la re-pu, d'la végé' passent par les PDG",0
"Le tarot, c'est léger, Versace et DG, Orly ou CDG",0
J'me barre et j'me gare juste avant d'me faire crever,0
"P'tite sœur, passe ton bac, ton Master ou ton brevet",0
"J'ramasse tous les lovés, les lovés, les lovés",0
"George Moulaga, d'la moula et d'la monnaie, béné', béné', bénéfices",0
[Refrain : Heuss L'enfoiré & Koba LaD],0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"L'argent, dans c'bas monde, a pris l'dessus",0
(dessus),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"Si tu montes trop vite, tu t'fais descendre",0
(bang),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"L'argent, dans c'bas monde, a pris l'dessus",0
(dessus),0
D'la moula,0
(moula),0
", d'la monnaie",0
(monnaie),0
"Si tu montes trop vite, tu t'fais descendre",0
(bang),0
[Outro : Heuss L'enfoiré],0
"Heuss L'enfoiré, bande d'enfoirés",0
"Hé, George Moula, gars d'la moula et d'la monnaie",0
"Béné', béné', bénéfices",0
Skch,0
