line,annotated
[Intro: Bryson Tiller],0
Godzilla's still alive!,1
God!,1
[Verse 1: Bryson Tiller],0
Damn a lot of niggas done changed on me,1
(Damn they done changed on me),1
"Fuck if I care, I got Jackson, Grant and Ben Frank on me",1
I don't know why niggas hate on me,1
"I gotta move differently, I got a case on me",0
I got 'em hirin' private investigators on me,0
Sittin' right outside the crib tryna stake on me,0
"Hol' up, wait on it",0
Mmmmm that's a Porsche Cayman,1
Hol' up watch me pull it out the horse stable,1
I remember when we couldn't afford cable,1
That's when I knew I had to put in more labor,1
"Niggas tryna take me out my vibe, dawg",1
"God Tiller, God Tiller, I'm alive, dawg",1
"Still I'm on my way to the top, dawg",1
"Shout out Punch, Isaiah Rashad, and K. Dot, dawg",1
Shit we doin' not regular,0
"Like Hendrix say, we don't do regular",1
"I'm a beast, I'm a predator",0
"I kill, I murk, I slay, et cetera, et cetera",0
I'll cop any gun and kill for my daughter,1
I'll go Rambo for real for my daughter,1
"2015, I made two mil' for my daughter",1
Now these pussy ass niggas tryna steal from my daughter,1
What the fuck,1
"Post T R A P S O U L, gettin' back to it",1
"No, nigga, this ain't no trap music",1
"Soul, rhythm, blues with a slap to it",1
Watch how young Pen Griffey put his bat to it,1
What is niggas on? Man they trippin',0
"They want me to put 'em on, that's my mission",0
"Niggas in a rush, niggas don't listen",0
"I'm still tryna get mine, that's it and done",0
[Verse 2: Young Thug],0
"You was tryna get it, weren't ya?",0
"You was tryna run it through the ceilin', weren't ya? (Huh, huh)",0
"Blue hundreds in your pocket,",1
lean in your kidney,1
Whenever I'm your master ain't no fuckin' limits,1
(Swear),0
"All the foreigns came new, ain't no fuckin' limit (Skrrt)",0
"Play with me, I'll have a massacre in every city",0
I might drive to DC and fuck wit' Meek Milly (Meek),1
"Take a nigga order, I want a chicken Philly (Chicken Philly)",1
"Take a nigga bitch, I wanna fuck her titty (Fuck that bitch)",0
"Speakin' too fast, that's that past tense (Sorry, bae)",1
"My bitch jewelry wet, cost a Patek",1
"She so annoyin', keep askin' for some napkins, (Woo)",0
"Wipe them bitches up, put 'em in a cup (Put in cup)",0
"Shake it then taste it, that's it",0
"Ayy, we got plenty bucks, order what you want (Order that)",0
"I'm a cash cow, I'm just cashin' (Woo!)",1
"I think they put a camera in my pool, but it's on the inside, goddamn, 12 nasty (They did)",1
I used to be like Jay Z and ride factories,1
'Til I found out that you gotta put on Davis (Shoes),0
They scopin' out my house from a cabin (Woo),0
I pissed out the window and start laughin' (Ha),0
The inside of my spot carry water,1
(Ha),0
They should change the street name it cactus (Damn),1
I'm the same Thugger that'll order ten rooms in your town,1
"And don't sleep in none them bitches, uh",1
"We just fuckin' thots and gettin' freaky all in them bitches, ahh",0
"Niggas so mad that they can't leak none of these pictures, ahh",0
"She so bad sometimes I want her features, uh (Woo)",1
"All the shit you do old like beepers, uh (Woo, woo)",1
"All the shit you do old, I see you (I see you)",0
"Even all these Crips don't wanna be you (Wanna be you, be you, be you)",1
[Outro: Bryson Tiller &,0
Young Thug,0
],0
Ayy,0
Ayy,0
"Oh, yeah",0
Still tryna get mine (Still tryna get mine),0
Just still tryna get mine (Still tryna get mine),0
"Just still tryna get mine (Still tryna get mine, Mine, mine, mine)",0
They schemin' on me,0
They still tryna get mine,0
"Oh, they still tryna get mine, oh",0
"(Oh, oh, oh)",0
"Ayy, yeah",0
"(Yeah, yeah, yeah)",0
Oh no,0
"Yeah, still tryna get mine
Said they still tryna get mine, yeah",0
