line,annotated
[Intro],0
Kore kara minna de mechakucha odotte,1
Sawago sawago!,1
"Headbanger, hit me, hit me, hit me, hit me...",0
"Yeah, gimme some new shit",1
Gimme some new shit,0
Gimme some new shit,0
Gimme some new shit,0
[Verse 1],0
"Missy be puttin' it down, I'm the hottest 'round",1
"I told y'all motherfuckers, y'all can't stop me now",1
"Listen to me now, I'm lastin' twenty rounds",1
And if you want me (,0
nigga,0
") then come on, get me now",0
"Is you with me now? Then biggie, biggie bounce",0
I know you dig the way I sw-sw-switch my style,0
Holla,0
People sing around,0
"Now people gather 'round, now people jump around",0
[Hook],0
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on",1
"Go, getcha getcha getcha getcha getcha freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on",1
"Go, getcha getcha getcha getcha getcha freak on",1
[Verse 2],0
Is that your chick?,1
People you know,0
Me and Timbaland,1
been hot since twenty years ago,1
What tha dilly yo? Now what tha drilly yo?,0
If you wanna battle me then (nigga) let me know,1
Holla,0
"Got to feel it, son",0
Lemme throw you some,0
(maut mujhko),1
"People, here I come, now sweat me when I'm done",1
We got the radio shook like we got a gun,1
[Hook],0
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on",1
"Go, getcha getcha getcha getcha getcha freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on",1
"Go, getcha getcha getcha getcha getcha freak on",1
[Verse 3],0
"Quiet! (Shhh) Hush your mouth, silence when I spit it out",0
"(Hah-choo!) In your face, open your mouth, give you a taste",0
Holla,0
"Ain't no stoppin' me,",0
copy written so don't copy me,1
Y'all do it sloppily,1
and y'all can't come close to me,0
"I know you feel me now, I know you hear me loud",0
"I scream it loud and proud, Missy gon' blow it down",0
"People gon' play me now, in and outta town",0
'Cause I'm the best around with this crazy style,0
[Hook],0
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on",1
"Go, getcha getcha getcha getcha getcha freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on, go, get your freak on",1
"Go, get your freak on",1
"Go, getcha getcha getcha getcha getcha freak on",1
[Outro],0
"Ichi, ni, san, shi",1
