line,annotated
[Intro],0
(Bring it),0
Wooooo,0
"Uh, uh, uh, uh",0
"Haha, haha",0
"What, what, what, what",0
Uh,0
[Verse 1],0
"On your mark ready set let's go, dance floor pro",1
I know you know I go psycho,1
"When my new joint hit, just can't sit",1
"Got to get jiggy wit it, ooh, that's it",1
"Now honey honey come ride, DKNY",1
"All up in my eye, you got a Prada",1
"Bag with a lot-a, stuff in it",1
"Give it to your friend let's spin, everybody lookin' at me",0
"Glancin' the kid, wishing they was dancin' a jig",1
"Here with this handsome kid,",1
ciga-cigar,1
"Right from Cuba-Cuba, I just bite it",1
"It's for the look, I don't light it",1
Illway the an-may on the ance-day oor-flay,1
Give it up jiggy make it feel like foreplay,0
"Yo my cardio is infinite, ha-ha",0
Big Willie style's all in it,1
Gettin' jiggy wit it,1
[Hook],0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
[Verse 2],0
What?,1
You want to ball with the kid?,1
Watch your step you might fall,0
Trying to do what I did,0
Mama mama mama come closer,1
"In the middle of the club with the rub-a-dub, uh",0
"No love for the haters, the haters",0
Mad cause I got floor seats at the Lakers,0
See me on the fifty yard line with the Raiders,0
Met Ali he told me I'm the greatest,1
I got the fever for the flavor of a crowd-pleaser,1
DJ play another from the prince of this,1
"Your highness, only mad chicks ride in my whips",0
South to the West to the East to the North,1
Bought my hits and watch them,0
go off a go off,1
"Ah, yes-yes y'all",1
Ya don't stop in the winter or the (Summertime),1
I makes it hot,0
Gettin' jiggy wit 'em,0
[Hook],0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
[Verse 3],0
Eight-fifty I.S. if you need a lift,1
Who's the kid in the drop? Who else Will Smith,1
Living that life some consider a myth,0
Rock from south street to one two fifth,1
"Women used to tease me, give it to me now nice and easy",0
Since I moved up like George and Weezie,1
C.R.E.A.M. to the maximum I be asking 'em,1
Would you like to bounce with the brother that's platinum?,1
Never see Will attacking 'em,1
"Rather play ball with Shaq and 'em, flatten 'em",1
"Psych, kidding",0
Thought I took a spill but I didn't,1
Trust the lady of my life she hitting,0
Hit her with a drop top with the ribbon,0
Crib for my mom on the outskirts of Philly,0
You trying to flex on me?,0
Don't be silly,0
Gettin' jiggy wit it,0
[Outro],0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Gettin' jiggy wit it,0
(Na na na na na na na),0
(Na na na na na na),0
Uh uh,0
(Na na na na na na),0
(Na na na na na na),0
(Na na na na na na na),0
(Na na na na na na),0
(Na na na na na na na),0
(Na na na na na na),0
(Na na na na na na na),0
(Na na na na na na),0
(Na na na na na na na),0
(Na na na na na na),0
