line,annotated
[Hook: Cee-Lo],0
"Nigga, you need to git up, git out and git something",1
Don't let the days of your life pass by,1
"You need to git up, git out and git something",1
Don't spend all your time tryna get high,1
"You need git up, git out and git something",1
How will you make it if you never even try?,1
"You need to git up, git out and git something",1
Cause you and I got to do for you and I,1
[Verse 1: Cee-Lo],1
"I don't recall, ever graduating at all",1
Sometimes I feel I'm just a disappointment to y'all,1
Every day I just lay around then I can't be found,1
"Always asking ""Gimme some,"" living life like a bum",1
"Times is rough, my auntie got enough problems of her own",1
"Nigga, you supposed to be grown",1
"I agree, I try to be the man I'm 'posed to be",1
But negativity is all you seem to ever see,1
"I admit, I've done some dumb shit, and I'm probably gon' do some mo'",1
You shouldn't hold that against me though,1
(Why not?) Why not? My music's all that I got,1
But some time must be invested for this to be manifested,1
"I know you know but I'm gon' say this to you, I",1
Get high but I don't get too high,1
So what's the limit 'posed to be?,1
That must be why you can't get yo ass up out the bed before three,1
"You need to git up, git out, cut that bullshit out",1
Ain't you sick and tired of having to do without?,0
"Damn, what up with all these questions?",0
"You act as though you know something I don't, do you have any suggestions?",0
Cause every job I get is cruel and demeaning,1
Sick of taking trash out and toilet bowl cleaning,1
But I'm also sick and tired of struggling,1
I never ever thought I'd to have resort to drug smuggling,1
"Naw, that ain't what I'm about",1
Cee-Lo will just continue traveling his route,1
Without any doubt or fear,1
I know the Lord ain't brought me this far so he could drop me off here,1
Did I make myself clear?,1
[Hook: Cee-Lo],0
"You need to git up, git out and git something",1
Don't let the days of your life pass by,1
"You need to git up, git out and git something",1
"Don't spend all your time tryna get high, nigga",1
"You need git up, git out and git something",1
How will you make it if you never even try?,1
"You need to git up, git out and git something",1
Cause you and I got to do for you and I,1
That's why,1
[Verse 2: Big Boi],0
"Well, uh, get up, stand up, so what's said, you dickhead?",1
"See when I was a youngster, used to wear them fucking Pro Keds",1
My mama made me do it,1
"but the devil, he made me smart",1
Told me to jack them weak ass niggas for they fucking Starters,1
"In the middle school, I was a bigger fool",0
"I wore with tank tops to show off my tattoo, thought I was cool",1
"I used to hang out with my daddy's brothers, I call them my uncles",0
"They taught me how to smoke herb, I followed them when they ran numbers",0
"So in a sense, I was Rosemary's baby",1
And then I learned the difference between a bitch and a lady,1
"Hell, I treat 'em all like hoes, see I pimped 'em",1
Bitch never had my money so I never whipped 'em,0
See all the playas came and all the playas went,0
"A playa ain't a gangsta but a playa can handle his shit, bitch",1
"You need to git up, git out, git something",0
"Smoke out cause it's all about money, money, money",0
"Yeah I said it, a nigga sporting plaits and a Braves hat",1
"I hang with Rico Wade cause the Dungeon is where the funk's at, boy",1
I'm true to Organized cause they raised me,1
"I'm also down with LaFace cause L.A. Reid, yeah, he pays me",1
"And it's cool, yeah it's real cool getting paid fat pockets
And all that other fat shit like that, ha-ha!",0
[Hook: Cee-Lo],0
"You need to git up, git out and git something",1
Don't let the days of your life pass by,1
"You need to git up, git out and git something",1
"Don't spend all your time tryna get high, nigga",1
"You need git up, git out and git something",1
How will you make it if you never even try?,1
"You need to git up, git out and git something",1
Cause you and I got to do for you and I,1
That's why,1
[Verse 3: Big Gipp],0
"A lot of people in my past tried to do me, screw me",0
"Throw me over in the fire, let me get chunky and charred",0
Like a piece of wood and them spirits got the mutant's mind,0
I'm getting paranoid and steady looking for the time,0
It's eight in the morning and ain't nobody up yet,0
"I got my long johns, get my coat and throw on my ball cap",0
"I'm headed out the door, to get off in my ride",0
"I'm digging through the ashtray, hoping to have a good day",1
"I had Jamaica's best and when I light it up, I hear a voice in my head",1
"(You got to git up, git out and git something)",1
"Now I know it's on, my day is finally started",0
"Back up in my crib, eat my shit, break out quick, in my slick",1
"'84 Sedan DeVille, steady bouncing",1
Out the Point to Campbellton Road,1
The valley of the Southside flow,0
"Everybody know about that killa that we call blow, so",1
Keep your eyes peeled for the COBRA unit,1
Cause they known for jumping out of black Chevy trucks and through the fog,1
"Here come the Red Dogs, I'm busting out around the corner in my hog",1
"Dipping from the area, I'm scared",0
"So one of these bitches might wind up dead, cause I have no time for jail",0
"Fuck Clampett cops, fuck Elgin Bell",1
"And crooked ass Jackson, got the whole country",1
Thinking that my city is the big lick for '96,1
"'94, Big Gipp, Goodie Mo",0
"OutKast, a vision from the past",0
Hootie Hoo!,1
My White Owls are burning kind of slow,1
[Hook: Cee-Lo],0
"You need to git up, git out and git something",1
Don't let the days of your life pass by,1
"You need to git up, git out and git something",1
Don't spend all your time tryna get high nigga,1
"You need git up, git out and git something",1
How will you make it if you never even try?,1
"You need to git up, git out and git something",1
Cause you and I got to do for you and I,1
That's why,1
[Verse 4: André 3000],0
"Y'all telling me that I need to get out and vote, huh, why?",1
"Ain't nobody black running but crac-kers, so, why",1
I got to register?,1
I thinking of better shit to do with my time,1
"Never smelled aroma of diploma, but I write the deep ass rhymes",0
So let me take y'all way,0
"Back to when a nigga stayed in Southwest Atlanta, ay",0
"Y'all could not tell me nothing, thought I hit that bottom rock",0
"At age 13, start working at the loading dock",0
"They laying my mama off of work, General Motors tripping",1
"But I come home banked like Hank, from licking and dipping",1
"Doing dumb shit, not knowing what a nigga know now",1
"Yeah, that petty shit will have you cased up and locked down",1
"I dips, over to East Point still actin' a fool",1
"Wasting my time in the school, I'd rather be shooting pool",1
Cool is how I played the tenth grade,1
I thought it was all about macking hoes and wearing pimp fade,1
"Instead of being in class, I'd rather be up in some ass",1
Not thinking about them six courses that I need to pass,1
Graduation rolled around like rolly-pollies,0
"Damn, that's fucked up, I should've listened when my mama told me",1
"That, if you play now, you gonna suffer later",1
Figured she was talking yang yang so I payed her no attention,1
And kept missing the point she tried to poke me with,1
"The doper that I get, the more I'm feeling broke as shit",1
"Huh, but that don't matter though, I am an O-U-T-Kast",0
So get up off your ass,0
[Hook: Cee-Lo],0
"You need to git up, git out and git something",1
Don't let the days of your life pass by,1
"You need to git up, git out and git something",1
Don't spend all your time tryna get high,1
"You need git up, git out and git something",1
How will you make it if you never even try?,1
"You need to git up, git out and git something",1
Cause you and I got to do for you and I,1
[Outro: Cee-Lo],0
You need to...,0
You need to...,0
You need to...,0
You need to...,0
