line,annotated
[Intro],0
And they wishin' and wishin' and wishin' and wishin',1
"They wishin' on me, yuh",1
[Verse 1],0
"I been movin' calm, don't start no trouble with me",1
Tryna keep it peaceful is a struggle for me,1
Don't pull up at 6 AM to cuddle with me,1
You know how I like it when you lovin' on me,1
I don't wanna die for them to miss me,1
"Yes, I see the things that they wishin' on me",1
Hope I got some brothers that outlive me,1
"They gon' tell the story, shit was different with me",1
[Chorus],0
"God's plan, God's plan",1
"I hold back, sometimes I won't, yuh",1
"I feel good, sometimes I don't, ayy, don't",1
"I finessed down Weston Road, ayy, 'nessed",1
"Might go down a G.O.D., yeah, wait",1
"I go hard on Southside G, yuh, wait",1
I make sure that north-side eat,1
[Post-Chorus],0
"And still, bad things",1
It's a lot of bad things,1
That they wishin' and wishin' and wishin' and wishin',1
They wishin' on me,1
Bad things,1
It's a lot of bad things,1
That they wishin' and wishin' and wishin' and wishin',1
They wishin' on me,1
"Yuh, ayy, ayy",1
[Verse 2],0
"She say, ""Do you love me?"" I tell her, ""Only partly",1
"I only love my bed and my mama, I'm sorry""",1
"Fifty Dub, I even got it tatted on me",1
"81, they'll bring the crashers to the party",1
And you know me,1
"Turn the O2 into the O3, dog",1
"Without 40, Oli, there'd be no me",1
'Magine if I never met the broskies,1
[Chorus],0
"God's plan, God's plan",1
"I can't do this on my own, ayy, no, ayy",1
"Someone watchin' this shit close, yep, close",1
"I've been me since Scarlett Road, ayy, road, ayy",1
"Might go down as G.O.D., yeah, wait",1
"I go hard on Southside G, ayy, wait",1
"I make sure that north-side eat, yuh",1
[Post-Chorus],0
"And still, bad things",1
It's a lot of bad things,1
That they wishin' and wishin' and wishin' and wishin',1
"They wishin' on me, yeah, yeah",1
Bad things,1
It's a lot of bad things,1
That they wishin' and wishin' and wishin' and wishin',1
"They wishin' on me, yeah",1
