line,annotated
[Intro: Paul Wall],0
Rob the jewelry store and tell 'em make me a grill,1
Add the whole top diamond and the bottom row's gold,0
[J.D.],0
Yo we bout to start a epidemic wit this one,1
Y'all know what this is... So So Def,0
[Verse 1: Nelly & Brandy],0
"Got 30 down at the bottom, 30 more at the top",0
All invisible set in little ice cube blocks,0
"If I could call it a drink, call it a smile on the rocks",0
"If I could call out a price, let's say I call out a lot",0
"I got like platinum and white rose, traditional gold",0
"I'm changing grills everyday, like Jay change clothes",1
I might be grilled out nicely (oh) In my white tee (oh),0
Or on South Beach (oh) in my wife beat,0
"VVS studded, you can tell when they cut it",1
"You see my grandmama hate it, but my lil mama love it",1
Cause when I...,0
"Open up ya mouth, ya grill gleaming (say what)",0
Eyes stay low from the chiefing (chiefing),0
"I got a grill they call penny candy, you know what that means",0
"It look like Now and Laters, gum drops, jelly beans",0
I wouldn't leave it for nothing only a crazy man would,0
"So if you catch me in your city, somewhere out in your hood",0
Just say...,0
[Hook],0
Smile for me daddy (What you looking at),0
Let me see ya grill (Let me see my what),0
"Ya, ya grill ya, ya, ya grill (Rob the jewelry store and tell 'em make me a grill)",0
Smile for me daddy (What you looking at),0
I want to see your grill (You wanna see my what),0
"Ya, ya grill ya, ya, ya grill (Had a whole top diamonds and the bottom rows gold)",0
[Verse 2: Paul Wall],0
What it do baby,1
",",0
it's the ice man Paul Wall,1
I got my mouth looking something like a disco ball,0
I got the diamonds and the ice all hand set,1
I might cause a cold front if I take a deep breath,0
My teeth gleaming like I'm chewing on aluminum foil,0
Smiling showing off my diamonds sipping on some potent oil,0
I put my money where my mouth is and bought a grill,0
20 carats 30 stacks let 'em know I'm so for real,0
"My motivation is from 30 pointers, VVS",1
The frontage in my mouth piece simply symbolize success,0
I got the wrist wear and neck wear that's captivating,0
But it's what smile that's got these onlookers spectating,0
My mouth piece simply certified a total package,1
Open up my mouth and you see more carrots than a salad,0
My teeth are mind blowing giving everybody chills,0
Call me George Foreman cause I'm selling everybody grills,0
[Hook],0
Smile for me daddy (What you looking at),0
Let me see ya grill (Let me see my what),0
"Ya, ya grill ya, ya, ya grill (Rob the jewelry store and tell 'em make me a grill)",0
Smile for me daddy (What you looking at),0
I want to see your grill (You wanna see my what),0
"Ya, ya grill ya, ya, ya grill (Had a whole top diamonds and the bottom rows gold)",0
[Verse 3: Ali & Gipp],0
[Gipp],0
"Gipp got them yellows, got them purples, got them reds",0
Lights gon' hit and make you woozy in your head,0
You can catch me in my 2 short drop,0
Mouth got colors like a Fruit Loop box,0
[Ali],0
"It's what it do, in the Lou', ice grill, country grammar",0
Where the hustlers move bricks and the gangsters bang hammers,0
"Where I got 'em you can spot 'em, on the top, on the bottom",0
Got a bill in my mouth like I'm Hillary Rodham,0
[Gipp],0
I ain't dissing nobody but lets bring it to the light,0
Gipp was the first with my mouth bright white,0
Yeah these hoes can't focus cause they eyesight blurry,1
Tipping on some 4's you can see my mouth jewelry,0
[Ali],0
I got four different sets its a fabulous thang,0
"One white, one yellow, like Fabolous chain",0
And the other set the same got my name in the mold,1
(Had a whole top diamonds and the bottom row's gold),1
[Hook],0
Smile for me daddy (What you looking at),0
Let me see ya grill (Let you see my what),0
"Ya, ya grill ya, ya, ya grill (Rob the jewelry store and tell 'em make me a grill)",0
Smile for me daddy (What you looking at),0
I want to see your grill (You wanna see my what),0
"Ya, ya grill ya, ya, ya grill (Had a whole top diamonds and the bottom rows gold)",0
[Brandy],0
"Boy, how you get ya grill that way",0
And how much did you pay,0
Every time I see you,0
"Tha first thing I'm gon' say, hey.....",0
[Hook],0
Smile for me daddy (What you looking at),0
Let me see ya grill (Let me see my what),0
"Ya, ya grill ya, ya, ya grill (Rob the jewelry store and tell 'em make me a grill)",0
Smile for me daddy (What you looking at),0
I want to see your grill (You wanna see my what),0
"Ya, ya grill ya, ya, ya grill (Had a whole top diamonds and the bottom rows gold)",0
