line,annotated
[Intro],0
"30, you a fool for this one",1
Cheeze,0
[Chorus: Bhad Bhabie],0
"Gu-Gucci flip flops, fuck it, hit your bitch in my socks",1
"This a big watch, diamonds drippin' off of the clock",0
"Pull the six out, wintertime, droppin' the top",1
"Give it to that pussy ass, turn the shit up a notch",0
"Gucci flip flops (Fuck it),",0
make it kick rocks (Bust it),1
"This a big clock, check the wrist watch (Check it)",0
"Gucci flip flops, fuck it, hit your bitch in my socks (Bust it)",1
"This a big watch, diamonds drippin' off of the clock (Off of the clock)",0
[Verse 1: Bhad Bhabie],0
Bhad Bhabie got these bitches bustin' for cash (Cash),0
"Do the dash, try to play me, bitch, I'm bustin' yo' ass (Bustin' yo')",0
"Lotta gun sounds, Rollie bust down, know why these bitches mad",1
'Cause they trash and they fuckin' for cash (Cash),1
"Too official, blow the whistle,",0
"Bitch, I'm fly as a bird",1
(Brr),0
"Take a picture, get ya' issue, bitch will die on my word (My word)",1
"Walk in the bank, fuck it up, pokin' that bitch with a shank, fuck it up (Fuck it up)",0
"I bought the lil bitch a bag, make it double back and clear up her tab (Yah)",0
[Chorus: Bhad Bhabie &,0
Lil Yachty,0
],0
"Gu-Gucci flip flops, fuck it, hit your bitch in my socks",1
"This a big watch, diamonds drippin' off of the clock",0
"Pull the 6 out, wintertime, droppin' the top",1
"Give it to that pussy ass, turn the shit up a notch",0
"Gucci flip flops (Fuck it),",0
make it kick rocks (Bust it),1
"This a big clock, check the wrist watch (Check it)",0
"Gucci flip flops, fuck it, hit your bitch in my socks (Bust it)",1
"This a big watch, diamonds drippin' off of the clock (Off of the clock)",0
[Verse 2: Lil Yachty],0
"I got big guap, pussy, yeah, I'm real rich (Yeah)",1
"Six cars, two houses and I'm still rich, uh (Uh)",1
"Think it's sweet? One call, hit the Killswitch (Boom)",1
"Boo, be cool, I ain't worried 'bout yo' lil bitch, nigga",0
"That lil' chain that you rockin', that's so little to me",1
"Talkin' shit, but want a verse? That's a riddle to me",1
"Can't fuck the bitch if she got her virginity (Whoo, yeah)",0
"'Cause then she gon' really be into me (Whoo, yeah)",0
".223 shots, I might run for the enemies (Ah)",0
"Put a few holes in his kidney (Whoo, Lil Boat)",0
[Chorus: Bhad Bhabie],0
"Gu-Gucci flip flops, fuck it, hit your bitch in my socks",1
"This a big watch, diamonds drippin' off of the clock",0
"Pull the 6 out, wintertime, droppin' the top",1
"Give it to that pussy ass, turn the shit up a notch",0
"Gucci flip flops (Fuck it),",0
make it kick rocks (Bust it),1
"This a big clock, check the wrist watch (Check it)",0
"Gucci flip flops, fuck it, hit your bitch in my socks (Bust it)",1
"This a big watch, diamonds drippin' off of the clock (Off of the clock)",0
